dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_celegans_dir,SASB-matched,matched,20260513,0,early,46--89,276,b3fc0ec3958dfc8f87590a67f1ac85a470d6a6395be9a47d8658ecce91a7c844,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""104"", ""438"", ""23"", ""334"", ""400"", ""102"", ""168"", ""277"", ""428"", ""157"", ""89"", ""29"", ""440"", ""422"", ""433"", ""302"", ""27"", ""411"", ""290"", ""396"", ""187"", ""44"", ""128"", ""186"", ""177"", ""259"", ""17"", ""421"", ""215"", ""239"", ""363"", ""391""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_0_1"": 1, ""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 26}","{""0"": 8, ""1"": 7, ""2"": 3, ""3"": 3, ""4"": 3, ""6"": 3, ""7"": 2, ""8"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,237,10,2370,8,0.8888888888888888,5626.337279667126,0.0,0.0004938271604938272
realworld_completed,bio_celegans_dir,SASB-matched,matched,20260513,1,early,46--70,276,fecf66eeaf8261187a1c239e532e6bb472d003c8762cb0ee9654f16d1dfcf600,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""50"", ""449"", ""337"", ""115"", ""27"", ""408"", ""168"", ""187"", ""199"", ""225"", ""396"", ""198"", ""290"", ""54"", ""100"", ""440"", ""48"", ""428"", ""411"", ""39"", ""438"", ""61"", ""53"", ""221"", ""237"", ""219"", ""147"", ""270"", ""3"", ""70"", ""373"", ""404""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_3_4"": 4, ""degree_5_8"": 2, ""degree_9_plus"": 26}","{""0"": 9, ""1"": 10, ""2"": 2, ""3"": 3, ""4"": 1, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 2}",1.0,1.0,0.0,1,1,0,0,236,4,944,2,0.6666666666666666,4951.727018401328,0.0004938271604938272,0.0009876543209876543
realworld_completed,bio_celegans_dir,SASB-matched,matched,20260513,2,early,22--46,276,a6f8c2f0ae72b34c8fd89eeb23cc839cf06e76f97a059d0634623de703b2a64f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""50"", ""277"", ""337"", ""405"", ""413"", ""102"", ""445"", ""449"", ""24"", ""253"", ""39"", ""415"", ""409"", ""17"", ""67"", ""428"", ""399"", ""404"", ""157"", ""394"", ""334"", ""187"", ""141"", ""186"", ""5"", ""305"", ""267"", ""86"", ""22"", ""110"", ""385"", ""25""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 9, ""1"": 10, ""2"": 3, ""3"": 4, ""4"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,3,235,705,2,1.0,4737.89990799001,0.0009876543209876543,0.0014814814814814814
realworld_completed,bio_celegans_dir,SASB-matched,matched,20260513,3,early,46--53,276,ba4360805c51dc7135e982fae324103dc5662b815bb1631b0ac3a565d83fbd6a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""123"", ""93"", ""336"", ""36"", ""27"", ""67"", ""290"", ""334"", ""414"", ""272"", ""88"", ""39"", ""444"", ""23"", ""402"", ""411"", ""399"", ""440"", ""199"", ""198"", ""115"", ""438"", ""53"", ""186"", ""177"", ""249"", ""180"", ""113"", ""349"", ""342"", ""126"", ""331""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 4, ""degree_9_plus"": 25}","{""0"": 10, ""1"": 10, ""2"": 3, ""3"": 3, ""4"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,234,10,2340,5,0.5555555555555556,4875.075282837251,0.0014814814814814814,0.0019753086419753087
realworld_completed,bio_celegans_dir,SASB-matched,matched,20260513,4,early,46--74,275,56957f5f5a00bf114e6cfeb295d215f304720e6e2e13228c1e3629682fd32e37,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""99"", ""61"", ""16"", ""74"", ""27"", ""67"", ""168"", ""36"", ""428"", ""193"", ""198"", ""29"", ""6"", ""337"", ""406"", ""199"", ""48"", ""225"", ""432"", ""394"", ""115"", ""301"", ""128"", ""221"", ""5"", ""2"", ""373"", ""384"", ""247"", ""233"", ""253"", ""69""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_3_4"": 2, ""degree_5_8"": 4, ""degree_9_plus"": 26}","{""0"": 9, ""1"": 10, ""2"": 3, ""3"": 4, ""4"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,233,17,3961,9,0.5625,3391.606527992554,0.0019753086419753087,0.0024691358024691358
realworld_completed,bio_celegans_dir,SASB-matched,matched,20260513,5,early,44--46,275,5f755c02fdb25d5bbc4ad41d7ec9fa9791a1dd749fcb0760000651c7721bf969,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""10"", ""195"", ""61"", ""438"", ""413"", ""433"", ""24"", ""17"", ""435"", ""193"", ""396"", ""88"", ""290"", ""1"", ""67"", ""6"", ""27"", ""302"", ""157"", ""39"", ""169"", ""44"", ""141"", ""221"", ""237"", ""374"", ""23"", ""404"", ""399"", ""324"", ""181"", ""445""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 29}","{""0"": 8, ""1"": 10, ""2"": 3, ""3"": 3, ""4"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,10,232,2320,5,0.5555555555555556,4132.226491523489,0.0024691358024691358,0.002962962962962963
realworld_completed,bio_celegans_dir,SASB-matched,matched,20260513,6,early,30--46,275,eae241495b96d64c0c0ab1911e1ef9917dbfa27dca36b2443ac15d7ca25f44b8,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""10"", ""1"", ""93"", ""451"", ""413"", ""403"", ""157"", ""36"", ""199"", ""444"", ""39"", ""88"", ""440"", ""61"", ""402"", ""435"", ""399"", ""193"", ""24"", ""89"", ""449"", ""17"", ""162"", ""186"", ""237"", ""30"", ""333"", ""164"", ""419"", ""308"", ""255"", ""433""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_3_4"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 27}","{""0"": 8, ""1"": 8, ""2"": 3, ""3"": 4, ""4"": 3, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,7,231,1617,5,0.8333333333333334,4303.361933275678,0.002962962962962963,0.0034567901234567903
realworld_completed,bio_celegans_dir,SASB-matched,matched,20260513,7,early,313--404,275,3778a78a2726d326d472a180cb857f5870b72c691f1e969ac3537d8aa35b5b30,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""12"", ""44"", ""61"", ""16"", ""400"", ""100"", ""24"", ""74"", ""13"", ""409"", ""39"", ""29"", ""290"", ""54"", ""408"", ""272"", ""48"", ""428"", ""440"", ""89"", ""169"", ""438"", ""141"", ""186"", ""5"", ""442"", ""45"", ""9"", ""15"", ""315"", ""452"", ""28""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_3_4"": 4, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 10, ""1"": 8, ""2"": 2, ""3"": 3, ""4"": 2, ""5"": 1, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,5,64,320,1,0.25,6507.634496067194,0.0034567901234567903,0.003950617283950617
realworld_completed,bio_celegans_dir,SASB-matched,matched,20260513,8,early,27--46,275,03b48cee6595d17425566ad3b9716bbda5d2f7e12f607ff101922cb9b00a0868,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""116"", ""449"", ""17"", ""61"", ""419"", ""67"", ""13"", ""74"", ""404"", ""302"", ""89"", ""29"", ""290"", ""169"", ""408"", ""179"", ""413"", ""411"", ""199"", ""394"", ""195"", ""54"", ""53"", ""183"", ""237"", ""316"", ""294"", ""323"", ""441"", ""22"", ""252"", ""159""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 25}","{""0"": 8, ""1"": 9, ""2"": 3, ""3"": 4, ""4"": 2, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,11,230,2530,8,0.8,3916.6782333714164,0.003950617283950617,0.0044444444444444444
realworld_completed,bio_celegans_dir,SASB-matched,matched,20260513,9,early,1--46,275,103ffe25005d9bd80007312f45a28976727e5fd67a9322362a55392b54c47978,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""12"", ""44"", ""337"", ""1"", ""413"", ""402"", ""193"", ""336"", ""290"", ""414"", ""415"", ""88"", ""445"", ""451"", ""67"", ""168"", ""48"", ""444"", ""272"", ""198"", ""93"", ""277"", ""53"", ""221"", ""237"", ""316"", ""245"", ""437"", ""302"", ""311"", ""30"", ""274""]","{""matched_boundary"": 12, ""matched_community_rep"": 4, ""matched_degree_core"": 10, ""matched_random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 7, ""1"": 9, ""2"": 2, ""3"": 5, ""4"": 2, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,123,229,28167,56,0.45901639344262296,3673.0856303534533,0.0044444444444444444,0.0049382716049382715
