dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_celegans_dir,SASB-structured,structured,20260513,0,early,313--404,276,b3fc0ec3958dfc8f87590a67f1ac85a470d6a6395be9a47d8658ecce91a7c844,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""451"", ""296"", ""143"", ""238"", ""7"", ""4""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 1, ""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 26}","{""0"": 9, ""1"": 7, ""2"": 2, ""3"": 3, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,5,64,320,1,0.25,6668.078719108977,0.0,0.0004938271604938272
realworld_completed,bio_celegans_dir,SASB-structured,structured,20260513,1,early,46--68,276,5d8c925962c8ad434d232408313c2aeba2f737eafe8782d415a96a1bce9ab01a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""215"", ""68"", ""120"", ""210"", ""153"", ""253""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 5, ""degree_5_8"": 1, ""degree_9_plus"": 26}","{""0"": 9, ""1"": 9, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,237,5,1185,3,0.75,5034.4023074796405,0.0004938271604938272,0.0009876543209876543
realworld_completed,bio_celegans_dir,SASB-structured,structured,20260513,2,early,27--46,276,e6469d57db6831ffde6351a78ad356b754cbc83745a9c8c659dc8ca29104761e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""340"", ""31"", ""375"", ""242"", ""265"", ""105""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 2, ""degree_9_plus"": 25}","{""0"": 9, ""1"": 9, ""2"": 3, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,0,11,236,2596,8,0.8,3884.963041948096,0.0009876543209876543,0.0014814814814814814
realworld_completed,bio_celegans_dir,SASB-structured,structured,20260513,3,early,25--46,276,8d08d458b85bf03c5132448a6ae2f3e47b406546c27bec2d0386465dcad4b1d4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""387"", ""427"", ""25"", ""439"", ""127"", ""329""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 4, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 9, ""1"": 10, ""2"": 3, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,3,235,705,2,1.0,4261.1936780770375,0.0014814814814814814,0.0019753086419753087
realworld_completed,bio_celegans_dir,SASB-structured,structured,20260513,4,early,27--334,275,179f2bb05ffcbcde2c0ee4f74f1107c99a97e169ed29efd0a37abb664167c748,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""349"", ""357"", ""91"", ""339"", ""444"", ""258""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 9, ""1"": 9, ""2"": 3, ""3"": 4, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,10,109,1090,5,0.5555555555555556,3183.4210233578697,0.0019753086419753087,0.0024691358024691358
realworld_completed,bio_celegans_dir,SASB-structured,structured,20260513,5,early,24--46,275,53f25e9313655545109b0bebb43d37d4cee789d50fe9029abcb627ebc4523b03,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""61"", ""435"", ""413"", ""103"", ""426"", ""199""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 29}","{""0"": 8, ""1"": 10, ""2"": 2, ""3"": 3, ""4"": 2, ""5"": 1, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,36,234,8424,18,0.5142857142857142,3429.226122156244,0.0024691358024691358,0.002962962962962963
realworld_completed,bio_celegans_dir,SASB-structured,structured,20260513,6,early,43--46,275,162dce8259560ba1fad1f6453986df8beaadd45bbb8b16502d39d618452949d7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""352"", ""360"", ""48"", ""191"", ""66"", ""408""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 27}","{""0"": 8, ""1"": 8, ""2"": 3, ""3"": 3, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,21,233,4893,16,0.8,2933.1725695272444,0.002962962962962963,0.0034567901234567903
realworld_completed,bio_celegans_dir,SASB-structured,structured,20260513,7,early,1--46,275,d053cf23501c40ec2c543499b03c24df8952e5e17d0ba012eaa7894b420b44cf,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""222"", ""364"", ""251"", ""316"", ""25"", ""174""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 2, ""degree_9_plus"": 25}","{""0"": 10, ""1"": 7, ""2"": 2, ""3"": 3, ""4"": 2, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,123,232,28536,55,0.45081967213114754,3172.011365003285,0.0034567901234567903,0.003950617283950617
realworld_completed,bio_celegans_dir,SASB-structured,structured,20260513,8,early,13--46,275,5ae09ec82787274c6f2b5f2bad3f3581b0c8d6b1feb4342c2b314b3678c691ee,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""392"", ""386"", ""113"", ""263"", ""216"", ""417""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 25}","{""0"": 8, ""1"": 9, ""2"": 3, ""3"": 4, ""4"": 2, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,57,231,13167,24,0.42857142857142855,2800.6656931765965,0.003950617283950617,0.0044444444444444444
realworld_completed,bio_celegans_dir,SASB-structured,structured,20260513,9,early,301--415,275,1b9ceb9e6ecee6a84b952c566cc5228c73c2c71515268893555f10f97104f7a2,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""46"", ""334"", ""1"", ""449"", ""399"", ""406"", ""404"", ""301"", ""409"", ""431"", ""394"", ""396"", ""13"", ""223"", ""403"", ""24"", ""400"", ""157"", ""179"", ""415"", ""405"", ""36"", ""437"", ""72"", ""43"", ""313"", ""417"", ""141"", ""435"", ""180"", ""244"", ""155""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 7, ""1"": 9, ""2"": 2, ""3"": 5, ""4"": 2, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,63,28,1764,3,0.1111111111111111,2055.8285368271304,0.0044444444444444444,0.0049382716049382715
