dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_celegansneural,SASB-structured,structured,20260513,0,early,187--236,264,ad4a592257bc236fb200a2713c68b5bd87a810d05878a92ed00b495d59064f45,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""220"", ""82"", ""43"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""73"", ""66"", ""289"", ""265"", ""242"", ""279"", ""157"", ""187"", ""41"", ""169""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_5_8"": 4, ""degree_9_plus"": 28}","{""0"": 9, ""1"": 9, ""2"": 3, ""3"": 6, ""4"": 5}",1.0,1.0,0.0,1,1,0,1,5,134,670,2,0.5,1671.7137172266034,0.0,0.0004655493482309125
realworld_completed,bio_celegansneural,SASB-structured,structured,20260513,1,early,103--236,264,90ab6f4d7213f10f0eaa295507a60417d63f17f494da2d9bcf97293c93cd4ed2,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""220"", ""82"", ""43"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""57"", ""168"", ""232"", ""171"", ""219"", ""283"", ""81"", ""292"", ""17"", ""107""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 28}","{""0"": 9, ""1"": 9, ""2"": 2, ""3"": 6, ""4"": 6}",1.0,1.0,0.0,1,1,0,1,31,133,4123,8,0.26666666666666666,1646.892556912123,0.0004655493482309125,0.000931098696461825
realworld_completed,bio_celegansneural,SASB-structured,structured,20260513,2,early,149--236,264,e569c4f8c8517abe96d3e0c643f39fa9127646737851d8a3882195cb9859ed9f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""220"", ""82"", ""43"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""199"", ""113"", ""178"", ""188"", ""38"", ""8"", ""149"", ""248"", ""261"", ""257""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_5_8"": 3, ""degree_9_plus"": 29}","{""0"": 8, ""1"": 8, ""2"": 3, ""3"": 7, ""4"": 6}",1.0,1.0,0.0,1,1,0,1,12,132,1584,7,0.6363636363636364,1186.1480303620592,0.000931098696461825,0.0013966480446927375
realworld_completed,bio_celegansneural,SASB-structured,structured,20260513,3,early,229--236,264,11eb5e19a1a8c5a09b985950656a7b8e41020a2c2ab66e17968b4c0c1c94b925,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""220"", ""82"", ""43"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""229"", ""264"", ""129"", ""76"", ""207"", ""210"", ""240"", ""54"", ""131"", ""68""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 29}","{""0"": 9, ""1"": 8, ""2"": 4, ""3"": 7, ""4"": 4}",1.0,1.0,0.0,1,1,0,1,9,131,1179,4,0.5,1886.0110909191073,0.0013966480446927375,0.00186219739292365
realworld_completed,bio_celegansneural,SASB-structured,structured,20260513,4,early,190--220,264,32b3ac1988af38ec7469f6e68945ff291438abf9c23444b507c834e1ff7e6030,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""220"", ""82"", ""43"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""50"", ""205"", ""190"", ""122"", ""163"", ""97"", ""2"", ""215"", ""36"", ""274""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 1, ""degree_5_8"": 5, ""degree_9_plus"": 26}","{""0"": 10, ""1"": 9, ""2"": 3, ""3"": 6, ""4"": 4}",1.0,1.0,0.0,1,1,0,1,19,52,988,2,0.1111111111111111,823.514712128339,0.00186219739292365,0.0023277467411545625
realworld_completed,bio_celegansneural,SASB-structured,structured,20260513,5,early,24--44,264,148b7dd904d2bf63ae00b18d58891ff757575f02d678535922e58b732af8989f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""82"", ""43"", ""220"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""53"", ""263"", ""137"", ""44"", ""108"", ""138"", ""283"", ""230"", ""189"", ""47""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 28}","{""0"": 12, ""1"": 10, ""2"": 2, ""3"": 4, ""4"": 4}",1.0,1.0,0.0,1,1,0,1,77,12,924,1,0.09090909090909091,1499.4169188266778,0.0023277467411545625,0.002793296089385475
realworld_completed,bio_celegansneural,SASB-structured,structured,20260513,6,early,112--127,264,b0019bd2e0c4dcd5e12f3ae371de842d421099d8d22f8158d4d4c262db0ebe93,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""82"", ""43"", ""220"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""140"", ""127"", ""88"", ""224"", ""109"", ""119"", ""73"", ""176"", ""202"", ""154""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 29}","{""0"": 7, ""1"": 13, ""2"": 3, ""3"": 5, ""4"": 4}",1.0,1.0,0.0,1,1,0,1,74,8,592,2,0.2857142857142857,906.9104053538202,0.002793296089385475,0.0032588454376163874
realworld_completed,bio_celegansneural,SASB-structured,structured,20260513,7,early,235--236,264,82566c57993929e0450b34a0718dc8bcd118630438fb99eda8ebd308148e41e1,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""82"", ""43"", ""220"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""85"", ""271"", ""181"", ""198"", ""97"", ""66"", ""266"", ""259"", ""51"", ""235""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_2"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 27}","{""0"": 9, ""1"": 10, ""2"": 2, ""3"": 6, ""4"": 5}",1.0,1.0,0.0,1,1,0,1,17,130,2210,8,0.5,1556.2982881049911,0.0032588454376163874,0.0037243947858473
realworld_completed,bio_celegansneural,SASB-structured,structured,20260513,8,early,236--293,264,aa388cc58f24d9c3104be343b5feee53d3faa9688fc8830e078a7a2febca0d5e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""82"", ""43"", ""220"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""151"", ""117"", ""259"", ""70"", ""71"", ""9"", ""293"", ""96"", ""36"", ""147""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_5_8"": 2, ""degree_9_plus"": 30}","{""0"": 8, ""1"": 12, ""2"": 2, ""3"": 4, ""4"": 6}",1.0,1.0,0.0,1,1,0,1,129,7,903,2,0.3333333333333333,1529.7134064055235,0.0037243947858473,0.004189944134078212
realworld_completed,bio_celegansneural,SASB-structured,structured,20260513,9,early,257--277,264,34ac5b68c80dde19b14c9b7f6c04fb9da9b25a37d69be06fb1c6eabac1984928,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""236"", ""24"", ""112"", ""280"", ""282"", ""231"", ""82"", ""43"", ""220"", ""30"", ""22"", ""21"", ""49"", ""253"", ""18"", ""252"", ""35"", ""102"", ""103"", ""295"", ""1"", ""23"", ""277"", ""283"", ""104"", ""145"", ""217"", ""29"", ""221"", ""207"", ""293"", ""120""]","{""boundary"": 12, ""degree_core"": 10, ""random_fill"": 10}","{""degree_0_1"": 2, ""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 8, ""1"": 9, ""2"": 4, ""3"": 4, ""4"": 7}",1.0,1.0,0.0,1,1,0,1,26,3,78,0,0.0,1551.254879738451,0.004189944134078212,0.004655493482309125
