dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_diseasome,SASB-matched,matched,20260513,0,early,175--493,216,f05f6bc9ba95cddf1b9f4cb8d530e4ec4a8bb8b6ddd4f614763d84e319df9634,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""397"", ""73"", ""9"", ""149"", ""96"", ""294"", ""508"", ""380"", ""484"", ""230"", ""239"", ""25"", ""98"", ""3"", ""373"", ""16"", ""303"", ""234"", ""77"", ""286"", ""154"", ""206"", ""18"", ""176"", ""458"", ""117"", ""507"", ""39"", ""476"", ""93"", ""308"", ""444""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 26}","{""10"": 1, ""11"": 1, ""14"": 1, ""17"": 1, ""18"": 1, ""2"": 1, ""20"": 2, ""21"": 1, ""23"": 1, ""3"": 4, ""6"": 2, ""8"": 3, ""9"": 13}",1.0,1.0,0.0,1,1,0,1,8,15,120,1,0.14285714285714285,94835.38660714285,0.0,0.0008417508417508417
realworld_completed,bio_diseasome,SASB-matched,matched,20260513,1,early,40--493,216,894c1e17fdc06577671982912bab4899557bddb103098fa841ad97809c1faf96,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""373"", ""73"", ""478"", ""303"", ""239"", ""374"", ""96"", ""380"", ""206"", ""117"", ""3"", ""25"", ""42"", ""286"", ""98"", ""459"", ""404"", ""508"", ""45"", ""218"", ""437"", ""234"", ""18"", ""111"", ""484"", ""174"", ""12"", ""372"", ""224"", ""106"", ""32"", ""294""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 26}","{""10"": 2, ""11"": 2, ""16"": 1, ""18"": 1, ""2"": 2, ""20"": 2, ""21"": 1, ""23"": 1, ""24"": 1, ""3"": 2, ""6"": 1, ""8"": 4, ""9"": 12}",1.0,1.0,0.0,1,1,0,1,2,14,28,0,0.0,93272.10625,0.0008417508417508417,0.0016835016835016834
realworld_completed,bio_diseasome,SASB-matched,matched,20260513,2,early,332--407,216,308c9016dd700ca438daf45cd2190a22baacae651276963b0590b2956898f37b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""484"", ""73"", ""149"", ""12"", ""437"", ""499"", ""373"", ""380"", ""96"", ""117"", ""397"", ""25"", ""247"", ""174"", ""508"", ""218"", ""9"", ""286"", ""184"", ""56"", ""98"", ""42"", ""18"", ""176"", ""63"", ""459"", ""234"", ""111"", ""425"", ""399"", ""57"", ""55""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 1, ""10"": 1, ""11"": 1, ""18"": 1, ""2"": 2, ""20"": 4, ""21"": 2, ""23"": 1, ""3"": 2, ""5"": 1, ""6"": 1, ""8"": 3, ""9"": 12}",1.0,0.687984496124031,0.312015503875969,1,2,1,0,16,3,48,0,0.0,104973.75,0.0016835016835016834,0.0025252525252525255
realworld_completed,bio_diseasome,SASB-matched,matched,20260513,3,early,25--96,171,8598f8c6cc60aca2210c84516fc87f6a131d26bb409df60f6d9cc626d23c7956,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""184"", ""149"", ""283"", ""73"", ""437"", ""71"", ""77"", ""247"", ""478"", ""374"", ""42"", ""404"", ""117"", ""3"", ""397"", ""25"", ""12"", ""284"", ""206"", ""373"", ""484"", ""97"", ""18"", ""111"", ""39"", ""417"", ""81"", ""508"", ""315"", ""338"", ""301"", ""198""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_3_4"": 1, ""degree_5_8"": 7, ""degree_9_plus"": 24}","{""1"": 2, ""16"": 2, ""17"": 1, ""2"": 2, ""3"": 1, ""4"": 7, ""5"": 9, ""6"": 4, ""7"": 2, ""8"": 1, ""9"": 1}",0.687984496124031,0.687984496124031,0.0,2,2,0,1,24,16,384,1,0.06666666666666667,14607.895239605972,0.0025252525252525255,0.003367003367003367
realworld_completed,bio_diseasome,SASB-matched,matched,20260513,4,early,25--77,171,80c7c79b2cd7a85cf077c16645e9abbd1cf88649c50ce68723075eb1f97a7735,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""247"", ""12"", ""286"", ""73"", ""9"", ""77"", ""184"", ""478"", ""42"", ""499"", ""283"", ""508"", ""146"", ""239"", ""484"", ""230"", ""458"", ""404"", ""379"", ""3"", ""96"", ""332"", ""18"", ""111"", ""92"", ""417"", ""81"", ""174"", ""14"", ""312"", ""428"", ""419""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 24}","{""1"": 1, ""10"": 3, ""11"": 1, ""12"": 1, ""16"": 2, ""17"": 1, ""2"": 2, ""3"": 1, ""4"": 6, ""5"": 9, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",0.687984496124031,0.687984496124031,0.0,2,2,0,1,23,14,322,3,0.23076923076923078,22133.047041423142,0.003367003367003367,0.004208754208754209
realworld_completed,bio_diseasome,SASB-matched,matched,20260513,5,early,48--77,171,2a5769b2c7d1d9a949c35c6b930def04fd28527474cbfe3c8e34f1ad3be43fa1,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""247"", ""12"", ""239"", ""73"", ""9"", ""508"", ""184"", ""283"", ""478"", ""374"", ""286"", ""77"", ""437"", ""230"", ""42"", ""117"", ""149"", ""404"", ""332"", ""373"", ""98"", ""97"", ""18"", ""111"", ""92"", ""304"", ""81"", ""397"", ""124"", ""254"", ""465"", ""338""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 5, ""degree_9_plus"": 24}","{""0"": 1, ""1"": 2, ""10"": 1, ""16"": 3, ""17"": 1, ""2"": 2, ""3"": 1, ""4"": 6, ""5"": 8, ""6"": 4, ""7"": 1, ""8"": 1, ""9"": 1}",0.687984496124031,0.6472868217054264,0.04069767441860461,2,3,1,1,5,13,65,0,0.0,10927.34375,0.004208754208754209,0.005050505050505051
realworld_completed,bio_diseasome,SASB-matched,matched,20260513,6,early,191--479,165,9bfd5a0ddf30a2aab46179028f8575c6feaa698c0cfd3c31401ed162d6b6cc60,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""247"", ""12"", ""286"", ""73"", ""71"", ""284"", ""77"", ""458"", ""294"", ""174"", ""478"", ""508"", ""283"", ""230"", ""96"", ""117"", ""146"", ""404"", ""98"", ""484"", ""379"", ""437"", ""18"", ""111"", ""372"", ""314"", ""81"", ""221"", ""72"", ""183"", ""6"", ""327""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 2, ""degree_5_8"": 6, ""degree_9_plus"": 24}","{""1"": 2, ""11"": 1, ""16"": 2, ""17"": 1, ""2"": 3, ""3"": 2, ""4"": 6, ""5"": 9, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 1}",0.6472868217054264,0.6182170542635659,0.029069767441860517,3,4,1,1,6,8,48,0,0.0,11356.0,0.005050505050505051,0.005892255892255892
realworld_completed,bio_diseasome,SASB-matched,matched,20260513,7,early,146--168,161,addd5dfc57db13466838602b350775888e5b40809bb1e117effa863b56950f07,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""77"", ""303"", ""373"", ""73"", ""149"", ""247"", ""397"", ""404"", ""294"", ""42"", ""478"", ""96"", ""206"", ""146"", ""283"", ""117"", ""71"", ""284"", ""458"", ""508"", ""174"", ""239"", ""97"", ""18"", ""304"", ""81"", ""184"", ""473"", ""85"", ""496"", ""126"", ""211""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 4, ""degree_9_plus"": 24}","{""0"": 1, ""12"": 1, ""13"": 2, ""2"": 1, ""3"": 1, ""4"": 8, ""5"": 9, ""6"": 4, ""7"": 2, ""8"": 2, ""9"": 1}",0.6182170542635659,0.6182170542635659,0.0,4,4,0,1,15,11,165,1,0.1,9854.713923916144,0.005892255892255892,0.006734006734006734
realworld_completed,bio_diseasome,SASB-matched,matched,20260513,8,early,170--176,161,bc73fbec30b9f2ee175e3a0d8e89cd3fe176cd5859e95da704ea7cc986cd2f51,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""478"", ""12"", ""286"", ""73"", ""71"", ""77"", ""484"", ""184"", ""499"", ""321"", ""247"", ""174"", ""458"", ""117"", ""96"", ""9"", ""25"", ""508"", ""283"", ""404"", ""437"", ""176"", ""18"", ""373"", ""314"", ""81"", ""284"", ""347"", ""2"", ""379"", ""500"", ""302""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 5, ""degree_9_plus"": 25}","{""0"": 1, ""12"": 3, ""13"": 2, ""2"": 1, ""4"": 7, ""5"": 10, ""6"": 4, ""7"": 1, ""8"": 2, ""9"": 1}",0.6182170542635659,0.6182170542635659,0.0,4,4,0,1,26,10,260,0,0.0,8871.507672556201,0.006734006734006734,0.007575757575757576
realworld_completed,bio_diseasome,SASB-matched,matched,20260513,9,early,170--338,161,36dfb67b81d6a948fd582af3376a79f74af50ac4440083d1b7bf55102053f20a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""478"", ""149"", ""283"", ""73"", ""9"", ""508"", ""321"", ""284"", ""103"", ""484"", ""247"", ""206"", ""98"", ""230"", ""42"", ""239"", ""117"", ""404"", ""437"", ""184"", ""373"", ""176"", ""458"", ""18"", ""417"", ""81"", ""111"", ""374"", ""43"", ""270"", ""499"", ""307""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_5_8"": 5, ""degree_9_plus"": 24}","{""0"": 1, ""11"": 2, ""12"": 1, ""13"": 2, ""2"": 2, ""4"": 7, ""5"": 10, ""6"": 2, ""7"": 1, ""8"": 3, ""9"": 1}",0.6182170542635659,0.6182170542635659,0.0,4,4,0,1,25,8,200,1,0.14285714285714285,9786.357356800028,0.007575757575757576,0.008417508417508417
