dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_diseasome,SASB-random,random,20260513,0,early,175--493,216,f05f6bc9ba95cddf1b9f4cb8d530e4ec4a8bb8b6ddd4f614763d84e319df9634,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""70"", ""291"", ""347"", ""55"", ""93"", ""253"", ""2"", ""375"", ""432"", ""319"", ""176"", ""423"", ""10"", ""316"", ""181"", ""469"", ""62"", ""27"", ""222"", ""407"", ""100"", ""289"", ""156"", ""501"", ""444"", ""361"", ""149"", ""18"", ""381"", ""136"", ""48"", ""202""]","{""uniform_random"": 32}","{""degree_0_1"": 4, ""degree_2"": 4, ""degree_3_4"": 9, ""degree_5_8"": 12, ""degree_9_plus"": 3}","{""0"": 1, ""1"": 1, ""11"": 2, ""14"": 3, ""16"": 2, ""17"": 3, ""18"": 4, ""2"": 3, ""20"": 2, ""21"": 2, ""24"": 1, ""6"": 2, ""7"": 1, ""8"": 4, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,8,15,120,1,0.14285714285714285,113338.38127278426,0.0,0.0008417508417508417
realworld_completed,bio_diseasome,SASB-random,random,20260513,1,early,40--493,216,894c1e17fdc06577671982912bab4899557bddb103098fa841ad97809c1faf96,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""468"", ""257"", ""195"", ""67"", ""129"", ""50"", ""475"", ""311"", ""70"", ""95"", ""255"", ""337"", ""109"", ""395"", ""511"", ""8"", ""145"", ""412"", ""301"", ""157"", ""282"", ""28"", ""325"", ""406"", ""387"", ""419"", ""336"", ""313"", ""478"", ""342"", ""249"", ""480""]","{""uniform_random"": 32}","{""degree_0_1"": 6, ""degree_2"": 5, ""degree_3_4"": 12, ""degree_5_8"": 8, ""degree_9_plus"": 1}","{""0"": 4, ""10"": 1, ""11"": 2, ""12"": 1, ""13"": 1, ""14"": 3, ""17"": 1, ""19"": 1, ""2"": 1, ""21"": 3, ""24"": 3, ""3"": 2, ""5"": 2, ""6"": 3, ""8"": 4}",1.0,1.0,0.0,1,1,0,1,2,14,28,0,0.0,92704.73705882352,0.0008417508417508417,0.0016835016835016834
realworld_completed,bio_diseasome,SASB-random,random,20260513,2,early,332--407,216,308c9016dd700ca438daf45cd2190a22baacae651276963b0590b2956898f37b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""204"", ""142"", ""467"", ""101"", ""14"", ""149"", ""313"", ""94"", ""356"", ""397"", ""48"", ""263"", ""226"", ""18"", ""5"", ""116"", ""66"", ""451"", ""461"", ""9"", ""194"", ""426"", ""470"", ""329"", ""353"", ""8"", ""416"", ""491"", ""270"", ""281"", ""285"", ""413""]","{""uniform_random"": 32}","{""degree_0_1"": 6, ""degree_2"": 4, ""degree_3_4"": 7, ""degree_5_8"": 10, ""degree_9_plus"": 5}","{""0"": 1, ""1"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""16"": 1, ""17"": 1, ""2"": 3, ""20"": 3, ""21"": 2, ""23"": 1, ""24"": 2, ""3"": 5, ""6"": 2, ""8"": 4, ""9"": 3}",1.0,0.687984496124031,0.312015503875969,1,2,1,0,16,3,48,0,0.0,108102.0,0.0016835016835016834,0.0025252525252525255
realworld_completed,bio_diseasome,SASB-random,random,20260513,3,early,25--96,171,8598f8c6cc60aca2210c84516fc87f6a131d26bb409df60f6d9cc626d23c7956,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""429"", ""265"", ""317"", ""325"", ""179"", ""385"", ""372"", ""241"", ""327"", ""248"", ""112"", ""333"", ""94"", ""458"", ""89"", ""396"", ""207"", ""495"", ""299"", ""109"", ""255"", ""476"", ""453"", ""93"", ""270"", ""384"", ""513"", ""106"", ""50"", ""104"", ""264"", ""220""]","{""uniform_random"": 32}","{""degree_0_1"": 8, ""degree_2"": 7, ""degree_3_4"": 10, ""degree_5_8"": 5, ""degree_9_plus"": 2}","{""1"": 1, ""10"": 5, ""11"": 4, ""13"": 1, ""15"": 1, ""16"": 3, ""17"": 1, ""2"": 5, ""3"": 2, ""4"": 3, ""5"": 4, ""7"": 1, ""8"": 1}",0.687984496124031,0.687984496124031,0.0,2,2,0,1,24,16,384,1,0.06666666666666667,19188.838379502446,0.0025252525252525255,0.003367003367003367
realworld_completed,bio_diseasome,SASB-random,random,20260513,4,early,25--77,171,80c7c79b2cd7a85cf077c16645e9abbd1cf88649c50ce68723075eb1f97a7735,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""223"", ""66"", ""256"", ""476"", ""291"", ""430"", ""417"", ""86"", ""372"", ""219"", ""327"", ""306"", ""123"", ""315"", ""68"", ""207"", ""106"", ""184"", ""112"", ""421"", ""114"", ""21"", ""359"", ""116"", ""229"", ""383"", ""233"", ""127"", ""410"", ""270"", ""401"", ""313""]","{""uniform_random"": 32}","{""degree_0_1"": 9, ""degree_2"": 7, ""degree_3_4"": 7, ""degree_5_8"": 8, ""degree_9_plus"": 1}","{""0"": 2, ""1"": 3, ""10"": 1, ""11"": 4, ""15"": 2, ""16"": 2, ""2"": 4, ""3"": 2, ""4"": 5, ""5"": 2, ""7"": 3, ""9"": 2}",0.687984496124031,0.687984496124031,0.0,2,2,0,1,23,14,322,3,0.23076923076923078,21162.961743205702,0.003367003367003367,0.004208754208754209
realworld_completed,bio_diseasome,SASB-random,random,20260513,5,early,146--168,171,2a5769b2c7d1d9a949c35c6b930def04fd28527474cbfe3c8e34f1ad3be43fa1,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""241"", ""119"", ""512"", ""143"", ""84"", ""126"", ""188"", ""212"", ""292"", ""122"", ""513"", ""230"", ""81"", ""141"", ""487"", ""173"", ""8"", ""88"", ""213"", ""2"", ""102"", ""93"", ""486"", ""149"", ""286"", ""164"", ""348"", ""276"", ""430"", ""359"", ""257"", ""101""]","{""uniform_random"": 32}","{""degree_0_1"": 6, ""degree_2"": 5, ""degree_3_4"": 12, ""degree_5_8"": 6, ""degree_9_plus"": 3}","{""0"": 2, ""1"": 1, ""10"": 4, ""11"": 6, ""16"": 5, ""17"": 3, ""2"": 2, ""5"": 2, ""6"": 3, ""8"": 3, ""9"": 1}",0.687984496124031,0.687984496124031,0.0,2,2,0,1,15,11,165,1,0.1,15881.679323048462,0.004208754208754209,0.005050505050505051
realworld_completed,bio_diseasome,SASB-random,random,20260513,6,early,146--351,170,4c2ca0917a3890dc7878135c5991915305c597f62f008885da5896e413799077,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""501"", ""443"", ""6"", ""430"", ""189"", ""135"", ""352"", ""486"", ""233"", ""397"", ""120"", ""207"", ""321"", ""439"", ""350"", ""371"", ""157"", ""354"", ""340"", ""238"", ""96"", ""264"", ""242"", ""403"", ""89"", ""18"", ""84"", ""146"", ""506"", ""104"", ""476"", ""156""]","{""uniform_random"": 32}","{""degree_0_1"": 8, ""degree_2"": 9, ""degree_3_4"": 6, ""degree_5_8"": 4, ""degree_9_plus"": 5}","{""0"": 2, ""1"": 1, ""10"": 3, ""11"": 8, ""13"": 1, ""16"": 2, ""17"": 2, ""2"": 5, ""3"": 1, ""4"": 2, ""5"": 5}",0.687984496124031,0.687984496124031,0.0,2,2,0,1,14,7,98,0,0.0,22423.91151780012,0.005050505050505051,0.005892255892255892
realworld_completed,bio_diseasome,SASB-random,random,20260513,7,early,230--396,170,1736c6001dea3c0a1912a933f4eb302b398ba46d837b4704cd8d251d659d99b3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""335"", ""401"", ""84"", ""498"", ""308"", ""89"", ""25"", ""292"", ""169"", ""513"", ""430"", ""94"", ""267"", ""24"", ""317"", ""483"", ""122"", ""126"", ""187"", ""78"", ""177"", ""183"", ""283"", ""397"", ""436"", ""54"", ""321"", ""204"", ""95"", ""121"", ""464"", ""203""]","{""uniform_random"": 32}","{""degree_0_1"": 5, ""degree_2"": 9, ""degree_3_4"": 6, ""degree_5_8"": 8, ""degree_9_plus"": 4}","{""0"": 2, ""1"": 2, ""10"": 1, ""11"": 6, ""16"": 2, ""17"": 1, ""2"": 3, ""3"": 1, ""4"": 3, ""5"": 6, ""6"": 1, ""7"": 1, ""8"": 3}",0.687984496124031,0.687984496124031,0.0,2,2,0,1,10,7,70,0,0.0,22890.613308407854,0.005892255892255892,0.006734006734006734
realworld_completed,bio_diseasome,SASB-random,random,20260513,8,early,170--176,170,049a84b2720ac9f48612ec9059b956550ac423ee3235babeb42f783f005ace52,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""24"", ""319"", ""348"", ""190"", ""124"", ""138"", ""23"", ""419"", ""88"", ""327"", ""270"", ""476"", ""104"", ""283"", ""433"", ""496"", ""135"", ""212"", ""167"", ""80"", ""59"", ""361"", ""498"", ""514"", ""414"", ""21"", ""421"", ""484"", ""245"", ""232"", ""120"", ""481""]","{""uniform_random"": 32}","{""degree_0_1"": 8, ""degree_2"": 7, ""degree_3_4"": 11, ""degree_5_8"": 4, ""degree_9_plus"": 2}","{""0"": 1, ""1"": 4, ""10"": 1, ""11"": 3, ""12"": 1, ""15"": 2, ""16"": 2, ""2"": 4, ""3"": 3, ""4"": 4, ""5"": 4, ""7"": 1, ""8"": 1, ""9"": 1}",0.687984496124031,0.687984496124031,0.0,2,2,0,1,26,10,260,0,0.0,21279.545231099466,0.006734006734006734,0.007575757575757576
realworld_completed,bio_diseasome,SASB-random,random,20260513,9,early,188--332,170,64f7fe23849cb514664d3048dd800136465cd6f2b87807cb85336a7fc5a0eb97,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""477"", ""385"", ""295"", ""329"", ""444"", ""29"", ""299"", ""70"", ""496"", ""224"", ""86"", ""502"", ""453"", ""156"", ""67"", ""130"", ""399"", ""292"", ""310"", ""138"", ""90"", ""425"", ""279"", ""345"", ""91"", ""317"", ""244"", ""12"", ""429"", ""249"", ""441"", ""360""]","{""uniform_random"": 32}","{""degree_0_1"": 10, ""degree_2"": 3, ""degree_3_4"": 10, ""degree_5_8"": 7, ""degree_9_plus"": 2}","{""0"": 2, ""1"": 2, ""10"": 2, ""11"": 3, ""12"": 2, ""14"": 2, ""15"": 1, ""16"": 2, ""17"": 1, ""2"": 5, ""4"": 3, ""5"": 1, ""6"": 2, ""7"": 1, ""8"": 2, ""9"": 1}",0.687984496124031,0.687984496124031,0.0,2,2,0,0,7,15,105,1,0.16666666666666666,14917.13169642857,0.007575757575757576,0.008417508417508417
