dataset,graph_id,graph_name,graph_type,community_strength,method,source_policy,seed,step,removed_edges,remove_ratio,gcc_ratio,gcc_size
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,0,0,0.0,1.0,516
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,1,1,0.0008417508417508417,1.0,516
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,2,2,0.0016835016835016834,1.0,516
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,3,3,0.0025252525252525255,0.687984496124031,355
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,4,4,0.003367003367003367,0.687984496124031,355
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,5,5,0.004208754208754209,0.687984496124031,355
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,6,6,0.005050505050505051,0.6472868217054264,334
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,7,7,0.005892255892255892,0.6472868217054264,334
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,8,8,0.006734006734006734,0.6472868217054264,334
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,9,9,0.007575757575757576,0.6472868217054264,334
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,10,10,0.008417508417508417,0.6472868217054264,334
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,11,11,0.009259259259259259,0.6472868217054264,334
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,12,12,0.010101010101010102,0.6472868217054264,334
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,13,13,0.010942760942760943,0.5658914728682171,292
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,14,14,0.011784511784511785,0.5658914728682171,292
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,15,15,0.012626262626262626,0.5658914728682171,292
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,16,16,0.013468013468013467,0.5658914728682171,292
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,17,17,0.01430976430976431,0.5368217054263565,277
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,18,18,0.015151515151515152,0.5368217054263565,277
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,19,19,0.015993265993265993,0.5368217054263565,277
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,20,20,0.016835016835016835,0.5368217054263565,277
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,21,21,0.017676767676767676,0.5368217054263565,277
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,22,22,0.018518518518518517,0.5135658914728682,265
realworld_completed,bio_diseasome,bio-diseasome,biological,unknown,SASB-structured,structured,20260513,23,23,0.01936026936026936,0.5135658914728682,265
