dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_grid_mouse,SASB-matched,matched,20260513,0,early,139--546,222,12024e2dbf7f24f0252992c64c0794892fdbdd14796f0397994d9ef5bd814d9b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""295"", ""414"", ""252"", ""729"", ""261"", ""0"", ""96"", ""598"", ""447"", ""708"", ""268"", ""244"", ""365"", ""494"", ""442"", ""327"", ""533"", ""615"", ""139"", ""585"", ""434"", ""440"", ""655"", ""329"", ""417"", ""741"", ""509"", ""72"", ""714"", ""356"", ""12"", ""216""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 7, ""1"": 1, ""10"": 1, ""13"": 1, ""16"": 1, ""17"": 1, ""18"": 2, ""20"": 6, ""21"": 1, ""24"": 1, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""8"": 1}",1.0,1.0,0.0,1,1,0,0,28,6,168,0,0.0,170962.31237671495,0.0,0.0009107468123861566
realworld_completed,bio_grid_mouse,SASB-matched,matched,20260513,1,early,494--495,222,58012135ce88aabbf880ec1fa1ece3349ad8148c7730d6cff4d5f9828fc35092,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""295"", ""252"", ""365"", ""729"", ""261"", ""414"", ""96"", ""0"", ""447"", ""708"", ""284"", ""598"", ""327"", ""555"", ""442"", ""494"", ""533"", ""440"", ""329"", ""244"", ""434"", ""559"", ""131"", ""433"", ""662"", ""741"", ""509"", ""72"", ""789"", ""255"", ""103"", ""768""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 8, ""1"": 2, ""10"": 1, ""13"": 2, ""17"": 1, ""2"": 1, ""20"": 7, ""21"": 1, ""24"": 2, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,15,6,90,0,0.0,117644.98441262123,0.0009107468123861566,0.0018214936247723133
realworld_completed,bio_grid_mouse,SASB-matched,matched,20260513,2,early,494--498,221,57f2322c50587a745ab1d5d0c08e12f4f19b199cab5610709680186661c095ce,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""295"", ""365"", ""598"", ""729"", ""261"", ""0"", ""96"", ""252"", ""708"", ""284"", ""414"", ""440"", ""433"", ""442"", ""494"", ""139"", ""555"", ""447"", ""469"", ""615"", ""434"", ""533"", ""655"", ""327"", ""764"", ""244"", ""507"", ""72"", ""270"", ""497"", ""662"", ""491""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 3, ""degree_5_8"": 7, ""degree_9_plus"": 22}","{""0"": 7, ""1"": 1, ""13"": 2, ""15"": 1, ""17"": 1, ""18"": 1, ""20"": 7, ""21"": 1, ""24"": 2, ""3"": 3, ""4"": 1, ""6"": 4, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,14,3,42,0,0.0,90125.24257586792,0.0018214936247723133,0.00273224043715847
realworld_completed,bio_grid_mouse,SASB-matched,matched,20260513,3,early,139--591,221,f452885d09dd3377c330672a1ea1ca7335deb32095f1d403553061155c21c119,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""295"", ""244"", ""598"", ""252"", ""261"", ""414"", ""96"", ""0"", ""708"", ""110"", ""729"", ""72"", ""447"", ""442"", ""555"", ""494"", ""329"", ""533"", ""440"", ""434"", ""585"", ""559"", ""397"", ""139"", ""694"", ""365"", ""509"", ""521"", ""539"", ""395"", ""290"", ""156""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 7, ""1"": 1, ""16"": 1, ""17"": 2, ""19"": 1, ""2"": 1, ""20"": 6, ""21"": 2, ""22"": 1, ""24"": 1, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 3, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,27,7,189,0,0.0,149261.10151452545,0.00273224043715847,0.0036429872495446266
realworld_completed,bio_grid_mouse,SASB-matched,matched,20260513,4,early,521--527,221,279bf254c1d92b06a37622426403c9ae6579bf51f052649c8f6178fcbff0e267,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""295"", ""365"", ""0"", ""244"", ""261"", ""598"", ""252"", ""96"", ""708"", ""110"", ""414"", ""72"", ""494"", ""447"", ""555"", ""442"", ""533"", ""440"", ""327"", ""434"", ""139"", ""329"", ""655"", ""585"", ""436"", ""433"", ""591"", ""521"", ""175"", ""762"", ""481"", ""519""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 7, ""1"": 1, ""13"": 1, ""16"": 1, ""17"": 1, ""19"": 1, ""20"": 7, ""21"": 2, ""24"": 3, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 3, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,5,7,35,0,0.0,122163.71353492375,0.0036429872495446266,0.004553734061930784
realworld_completed,bio_grid_mouse,SASB-matched,matched,20260513,5,early,139--316,221,3a2c36e11a210d75dfd1f84ebb07631630ecb2fbee1353bf2195e8777f416e70,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""295"", ""244"", ""252"", ""598"", ""261"", ""0"", ""729"", ""96"", ""708"", ""268"", ""414"", ""72"", ""365"", ""442"", ""447"", ""494"", ""469"", ""533"", ""615"", ""434"", ""433"", ""440"", ""131"", ""139"", ""662"", ""329"", ""591"", ""495"", ""783"", ""700"", ""53"", ""593""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 8, ""1"": 1, ""13"": 1, ""15"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""20"": 5, ""21"": 1, ""23"": 1, ""24"": 2, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 3, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,26,8,208,0,0.0,131189.98241777928,0.004553734061930784,0.00546448087431694
realworld_completed,bio_grid_mouse,SASB-matched,matched,20260513,6,early,507--527,221,0b66fb0583efa95416263450fd4e97b8ff953f2f080a3726102fd8386ae07a4f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""295"", ""252"", ""598"", ""244"", ""261"", ""0"", ""414"", ""96"", ""708"", ""284"", ""729"", ""72"", ""559"", ""494"", ""555"", ""447"", ""327"", ""442"", ""440"", ""585"", ""139"", ""434"", ""131"", ""433"", ""26"", ""329"", ""591"", ""495"", ""223"", ""430"", ""269"", ""573""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 7, ""1"": 1, ""13"": 1, ""15"": 2, ""16"": 1, ""17"": 1, ""2"": 1, ""20"": 5, ""21"": 1, ""24"": 2, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 3, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,6,6,36,0,0.0,165895.3588541666,0.00546448087431694,0.006375227686703097
realworld_completed,bio_grid_mouse,SASB-matched,matched,20260513,7,early,485--487,221,f8827468eb31e666bcc61949c6cfad5f3b902ac0a53b6b6c7419b7c368b87538,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""295"", ""414"", ""729"", ""244"", ""261"", ""598"", ""0"", ""96"", ""708"", ""764"", ""252"", ""72"", ""434"", ""447"", ""533"", ""442"", ""365"", ""555"", ""139"", ""494"", ""559"", ""741"", ""397"", ""329"", ""41"", ""433"", ""507"", ""499"", ""20"", ""247"", ""197"", ""641""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 9, ""1"": 3, ""10"": 1, ""13"": 1, ""17"": 1, ""2"": 1, ""20"": 5, ""21"": 1, ""24"": 2, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 3, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,5,3,15,0,0.0,134284.20587612226,0.006375227686703097,0.007285974499089253
realworld_completed,bio_grid_mouse,SASB-matched,matched,20260513,8,early,333--388,221,5b2381f4dba08bd22f44311feb4a030780717e3e1d863fb1fe4fdf4000bcfd89,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""295"", ""365"", ""244"", ""729"", ""261"", ""598"", ""414"", ""96"", ""708"", ""110"", ""0"", ""72"", ""494"", ""555"", ""440"", ""442"", ""252"", ""533"", ""433"", ""615"", ""559"", ""434"", ""397"", ""139"", ""359"", ""585"", ""591"", ""495"", ""51"", ""479"", ""462"", ""671""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_3_4"": 2, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 7, ""1"": 1, ""11"": 1, ""13"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""2"": 1, ""20"": 5, ""21"": 1, ""23"": 1, ""24"": 2, ""3"": 2, ""4"": 2, ""6"": 3, ""7"": 1, ""8"": 1}",1.0,0.820480404551201,0.17951959544879903,1,2,1,1,5,2,10,0,0.0,174984.03125,0.007285974499089253,0.00819672131147541
realworld_completed,bio_grid_mouse,SASB-matched,matched,20260513,9,early,615--616,196,b0fdd182aa5d06d4b0d8a57cda9c254759b849715aa7a1cde79c051f023efaaf,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""414"", ""252"", ""295"", ""0"", ""244"", ""365"", ""598"", ""261"", ""139"", ""499"", ""708"", ""729"", ""96"", ""741"", ""615"", ""327"", ""433"", ""434"", ""329"", ""559"", ""585"", ""460"", ""373"", ""662"", ""131"", ""72"", ""495"", ""384"", ""280"", ""258"", ""500"", ""477""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 9, ""degree_9_plus"": 19}","{""0"": 8, ""1"": 1, ""10"": 1, ""13"": 1, ""15"": 1, ""16"": 2, ""17"": 1, ""18"": 2, ""19"": 1, ""2"": 3, ""20"": 1, ""3"": 1, ""5"": 4, ""6"": 1, ""7"": 1, ""8"": 2, ""9"": 1}",0.820480404551201,0.820480404551201,0.0,2,2,0,1,9,3,27,0,0.0,72627.15625,0.00819672131147541,0.009107468123861567
