dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_grid_mouse,SASB-structured,structured,20260513,0,early,139--546,222,12024e2dbf7f24f0252992c64c0794892fdbdd14796f0397994d9ef5bd814d9b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""139"", ""244"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""533"", ""585"", ""447"", ""559"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""328"", ""357"", ""454"", ""355""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 6, ""1"": 1, ""10"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 6, ""21"": 1, ""24"": 1, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 2, ""8"": 1}",1.0,1.0,0.0,1,1,0,0,28,6,168,0,0.0,176043.96121378097,0.0,0.0009107468123861566
realworld_completed,bio_grid_mouse,SASB-structured,structured,20260513,1,early,139--585,222,58012135ce88aabbf880ec1fa1ece3349ad8148c7730d6cff4d5f9828fc35092,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""139"", ""244"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""533"", ""585"", ""447"", ""559"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""556"", ""249"", ""171"", ""616""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 7, ""1"": 2, ""10"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 6, ""21"": 1, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,27,13,351,1,0.08333333333333333,107671.70035836262,0.0009107468123861566,0.0018214936247723133
realworld_completed,bio_grid_mouse,SASB-structured,structured,20260513,2,early,494--495,221,e9f28e63114b6c73e8687138fc133fefb77d67b5c630e3d990ad22b6998504da,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""494"", ""359"", ""546"", ""365"", ""329"", ""440"", ""533"", ""447"", ""559"", ""585"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""743"", ""786"", ""649"", ""677""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_5_8"": 7, ""degree_9_plus"": 22}","{""0"": 6, ""1"": 1, ""10"": 1, ""13"": 2, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 6, ""21"": 1, ""24"": 1, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,15,6,90,0,0.0,83268.39491738199,0.0018214936247723133,0.00273224043715847
realworld_completed,bio_grid_mouse,SASB-structured,structured,20260513,3,early,139--591,221,889605023b3b1ceed6b8fec404294613ff2d17a9a0f8656053911a247f001a11,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""359"", ""546"", ""365"", ""494"", ""329"", ""440"", ""533"", ""447"", ""559"", ""585"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""778"", ""487"", ""127"", ""163""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 6, ""1"": 1, ""10"": 1, ""12"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 2, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 5, ""21"": 2, ""24"": 1, ""3"": 3, ""4"": 1, ""5"": 1, ""6"": 2}",1.0,1.0,0.0,1,1,0,1,26,7,182,0,0.0,81649.60036660275,0.00273224043715847,0.0036429872495446266
realworld_completed,bio_grid_mouse,SASB-structured,structured,20260513,4,early,494--498,221,97f196cfafbd50bcf4d7550512fddb9c51044e5267f3a377f8ea06e75e7dad42,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""359"", ""546"", ""365"", ""494"", ""329"", ""440"", ""533"", ""447"", ""559"", ""585"", ""741"", ""327"", ""433"", ""442"", ""373"", ""615"", ""574"", ""469"", ""508"", ""576"", ""584"", ""552"", ""3"", ""358""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 22}","{""0"": 7, ""1"": 1, ""10"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 2, ""2"": 1, ""20"": 6, ""21"": 2, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2}",1.0,1.0,0.0,1,1,0,1,14,3,42,0,0.0,94875.52009104205,0.0036429872495446266,0.004553734061930784
realworld_completed,bio_grid_mouse,SASB-structured,structured,20260513,5,early,615--616,221,26e5c6cbb5860e84c40dfe8224da59ea799973a1a7fbee65de6be35f8c9ce207,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""359"", ""546"", ""365"", ""576"", ""329"", ""440"", ""494"", ""533"", ""447"", ""559"", ""585"", ""741"", ""327"", ""433"", ""373"", ""615"", ""574"", ""469"", ""508"", ""354"", ""405"", ""547"", ""448"", ""595""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 7, ""degree_9_plus"": 21}","{""0"": 7, ""1"": 1, ""10"": 1, ""13"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 2, ""2"": 1, ""20"": 4, ""21"": 1, ""23"": 1, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,9,3,27,0,0.0,84810.03125,0.004553734061930784,0.00546448087431694
realworld_completed,bio_grid_mouse,SASB-structured,structured,20260513,6,early,295--301,221,2542d8cc511f4cc5c90960976c615e6b0d56d1089eaa16333a3577ff594c007e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""261"", ""598"", ""414"", ""0"", ""295"", ""252"", ""244"", ""139"", ""359"", ""546"", ""365"", ""576"", ""329"", ""440"", ""494"", ""533"", ""447"", ""559"", ""585"", ""741"", ""327"", ""433"", ""373"", ""615"", ""574"", ""469"", ""508"", ""354"", ""355"", ""562"", ""553"", ""468""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_3_4"": 1, ""degree_5_8"": 8, ""degree_9_plus"": 20}","{""0"": 7, ""1"": 1, ""10"": 1, ""13"": 1, ""15"": 3, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 4, ""21"": 1, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,34,4,136,0,0.0,115269.0395983225,0.00546448087431694,0.006375227686703097
realworld_completed,bio_grid_mouse,SASB-structured,structured,20260513,7,early,205--598,221,892789c39232da33a7d9c10f54ae7a72a795aa75ecec674b3a37c43a41408167,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""261"", ""598"", ""414"", ""0"", ""252"", ""295"", ""244"", ""139"", ""359"", ""546"", ""365"", ""576"", ""329"", ""440"", ""494"", ""533"", ""447"", ""559"", ""585"", ""741"", ""327"", ""433"", ""373"", ""615"", ""574"", ""469"", ""508"", ""354"", ""6"", ""93"", ""665"", ""738""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_5_8"": 8, ""degree_9_plus"": 20}","{""0"": 7, ""1"": 3, ""10"": 1, ""13"": 2, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 1, ""20"": 4, ""21"": 1, ""24"": 1, ""3"": 2, ""4"": 1, ""5"": 1, ""6"": 2, ""8"": 1}",1.0,0.8495575221238938,0.1504424778761062,1,2,1,1,2,111,222,0,0.0,135137.40625,0.006375227686703097,0.007285974499089253
realworld_completed,bio_grid_mouse,SASB-structured,structured,20260513,8,early,139--316,202,4c5f534857683145e75ce05dcea925d20f9cbfd4035b49468e92b2858d307b5d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""598"", ""261"", ""252"", ""244"", ""414"", ""295"", ""729"", ""159"", ""1"", ""139"", ""303"", ""629"", ""0"", ""329"", ""365"", ""440"", ""494"", ""533"", ""447"", ""559"", ""585"", ""741"", ""373"", ""574"", ""469"", ""508"", ""354"", ""72"", ""434"", ""264"", ""527"", ""2""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 1, ""degree_5_8"": 10, ""degree_9_plus"": 20}","{""0"": 8, ""1"": 2, ""13"": 1, ""14"": 1, ""15"": 1, ""16"": 1, ""17"": 5, ""2"": 1, ""20"": 1, ""3"": 1, ""4"": 3, ""5"": 3, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1}",0.8495575221238938,0.8495575221238938,0.0,2,2,0,1,25,8,200,0,0.0,57603.52944051132,0.007285974499089253,0.00819672131147541
realworld_completed,bio_grid_mouse,SASB-structured,structured,20260513,9,early,521--527,202,544f1b6c0302fb50b7ccc9c741c27ab4963692870b55010d9e19895239e1cd95,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""598"", ""261"", ""252"", ""244"", ""414"", ""295"", ""729"", ""159"", ""1"", ""303"", ""629"", ""678"", ""0"", ""139"", ""329"", ""365"", ""440"", ""494"", ""533"", ""447"", ""559"", ""585"", ""373"", ""574"", ""469"", ""508"", ""354"", ""72"", ""189"", ""674"", ""633"", ""395""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_3_4"": 2, ""degree_5_8"": 10, ""degree_9_plus"": 18}","{""0"": 8, ""1"": 3, ""13"": 1, ""14"": 1, ""15"": 1, ""16"": 1, ""17"": 4, ""2"": 1, ""20"": 1, ""3"": 1, ""4"": 4, ""5"": 2, ""6"": 1, ""7"": 1, ""8"": 2}",0.8495575221238938,0.8495575221238938,0.0,2,2,0,1,5,7,35,0,0.0,71036.44979182785,0.00819672131147541,0.009107468123861567
