dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_grid_plant,SASB-matched,matched,20260513,0,early,50--592,374,4bb4d3ca8fb2338571abf28c3dd0dd351ba26fc051c424ed84294a2dfa9f6ce3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""27"", ""388"", ""377"", ""551"", ""968"", ""688"", ""687"", ""607"", ""95"", ""251"", ""1011"", ""868"", ""564"", ""768"", ""1128"", ""1038"", ""993"", ""42"", ""25"", ""566"", ""278"", ""1127"", ""632"", ""1089"", ""619"", ""554"", ""342"", ""266"", ""539"", ""354"", ""854"", ""1097""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 3, ""degree_9_plus"": 29}","{""1"": 4, ""10"": 6, ""12"": 2, ""16"": 1, ""18"": 1, ""2"": 9, ""20"": 1, ""21"": 1, ""22"": 1, ""24"": 1, ""4"": 1, ""5"": 1, ""8"": 3}",1.0,1.0,0.0,1,1,0,0,10,71,710,6,0.6666666666666666,222110.6715995833,0.0,0.00036683785766691124
realworld_completed,bio_grid_plant,SASB-matched,matched,20260513,1,early,330--599,374,b4084bae75523a98a91adafb31892d6d3c130cd7ea1af01a4cb9dc998c7d341b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1261"", ""95"", ""450"", ""1038"", ""471"", ""211"", ""760"", ""607"", ""344"", ""97"", ""327"", ""634"", ""564"", ""767"", ""1035"", ""551"", ""1001"", ""592"", ""429"", ""1191"", ""909"", ""562"", ""601"", ""1089"", ""619"", ""723"", ""342"", ""490"", ""416"", ""610"", ""1019"", ""65""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 28}","{""1"": 4, ""10"": 6, ""12"": 1, ""16"": 1, ""18"": 1, ""2"": 9, ""20"": 1, ""22"": 1, ""24"": 3, ""3"": 1, ""4"": 1, ""5"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,12,9,108,0,0.0,196209.92184367258,0.00036683785766691124,0.0007336757153338225
realworld_completed,bio_grid_plant,SASB-matched,matched,20260513,2,early,1089--1096,374,15538405be378f9a3bbf64a65f8313fba8732a6e51eaa4c955f00f3af6a91eb4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1250"", ""551"", ""95"", ""1261"", ""596"", ""616"", ""973"", ""241"", ""1111"", ""450"", ""388"", ""211"", ""999"", ""767"", ""566"", ""327"", ""562"", ""983"", ""429"", ""630"", ""659"", ""592"", ""623"", ""1089"", ""1168"", ""554"", ""342"", ""256"", ""346"", ""695"", ""185"", ""559""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_9_plus"": 28}","{""1"": 4, ""10"": 6, ""12"": 1, ""16"": 2, ""17"": 1, ""18"": 1, ""2"": 9, ""20"": 1, ""22"": 2, ""24"": 1, ""4"": 2, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,23,5,115,0,0.0,157796.5019945779,0.0007336757153338225,0.0011005135730007337
realworld_completed,bio_grid_plant,SASB-matched,matched,20260513,3,early,3--881,374,f08c906d9fcb263ca9433c3e99ebe6136daee468e2fb3591f7d0f9c4f8386e1f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1177"", ""551"", ""1250"", ""1011"", ""1168"", ""868"", ""763"", ""593"", ""36"", ""27"", ""1111"", ""687"", ""571"", ""886"", ""50"", ""344"", ""566"", ""980"", ""198"", ""1259"", ""768"", ""991"", ""632"", ""1089"", ""117"", ""554"", ""342"", ""254"", ""269"", ""1159"", ""289"", ""750""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 28}","{""1"": 4, ""10"": 6, ""12"": 2, ""15"": 1, ""16"": 1, ""18"": 1, ""2"": 8, ""20"": 1, ""22"": 1, ""24"": 1, ""25"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,59,2,118,0,0.0,156588.77791137915,0.0011005135730007337,0.001467351430667645
realworld_completed,bio_grid_plant,SASB-matched,matched,20260513,4,early,270--679,373,7c6731c9a74741f810454e3f947774124f5f5e56cab09049e1393fba1b8f57ae,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""551"", ""450"", ""344"", ""1168"", ""1177"", ""737"", ""607"", ""763"", ""495"", ""95"", ""3"", ""688"", ""1001"", ""768"", ""574"", ""1038"", ""1186"", ""980"", ""193"", ""565"", ""278"", ""1036"", ""623"", ""1089"", ""253"", ""723"", ""342"", ""256"", ""483"", ""244"", ""531"", ""995""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_9_plus"": 28}","{""1"": 4, ""10"": 7, ""12"": 1, ""16"": 1, ""18"": 2, ""2"": 8, ""20"": 2, ""22"": 1, ""24"": 1, ""4"": 1, ""6"": 1, ""7"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,6,23,138,0,0.0,177367.69314989913,0.001467351430667645,0.001834189288334556
realworld_completed,bio_grid_plant,SASB-matched,matched,20260513,5,early,592--981,373,aeea543f5c10a51551e727a58cfecf37f8ca2b701a3eabaa9dbb824809f07e5a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1011"", ""36"", ""95"", ""596"", ""551"", ""241"", ""634"", ""27"", ""377"", ""450"", ""687"", ""767"", ""983"", ""985"", ""327"", ""1128"", ""991"", ""193"", ""565"", ""278"", ""784"", ""1126"", ""623"", ""1089"", ""801"", ""723"", ""342"", ""255"", ""299"", ""111"", ""1130"", ""1157""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 28}","{""1"": 6, ""10"": 8, ""12"": 1, ""16"": 1, ""18"": 1, ""2"": 8, ""20"": 1, ""22"": 1, ""24"": 2, ""4"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,70,2,140,0,0.0,158403.74492522032,0.001834189288334556,0.0022010271460014674
realworld_completed,bio_grid_plant,SASB-matched,matched,20260513,6,early,342--926,373,3145bbb9c5995ddd0f7c92230f70ae7e4b092be5bf04b895a89ecaa27a46dc7e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""27"", ""1250"", ""551"", ""968"", ""251"", ""688"", ""760"", ""36"", ""450"", ""344"", ""801"", ""1085"", ""1127"", ""565"", ""1038"", ""991"", ""571"", ""775"", ""564"", ""1063"", ""573"", ""1259"", ""601"", ""1089"", ""744"", ""554"", ""342"", ""249"", ""840"", ""405"", ""473"", ""276""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 28}","{""1"": 4, ""10"": 7, ""12"": 1, ""16"": 1, ""18"": 1, ""2"": 8, ""20"": 2, ""22"": 2, ""24"": 2, ""4"": 1, ""7"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,0,12,6,72,0,0.0,193835.19937820267,0.0022010271460014674,0.0025678650036683784
realworld_completed,bio_grid_plant,SASB-matched,matched,20260513,7,early,714--722,373,50cedf3b393ee0b542f1cf3618dc3975e2da512182c719924627a33ee5b02776,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1038"", ""551"", ""450"", ""465"", ""27"", ""801"", ""211"", ""1261"", ""495"", ""36"", ""688"", ""659"", ""983"", ""1126"", ""377"", ""980"", ""991"", ""429"", ""1036"", ""768"", ""999"", ""42"", ""1211"", ""1089"", ""1011"", ""554"", ""342"", ""249"", ""1097"", ""423"", ""108"", ""1140""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_9_plus"": 29}","{""1"": 3, ""10"": 7, ""12"": 2, ""16"": 1, ""17"": 1, ""18"": 1, ""2"": 9, ""20"": 1, ""22"": 1, ""24"": 2, ""4"": 1, ""7"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,5,6,30,0,0.0,181014.80128837106,0.0025678650036683784,0.00293470286133529
realworld_completed,bio_grid_plant,SASB-matched,matched,20260513,8,early,639--757,373,dacc8fd0f99be73ba5ea0ba84bbf06a4f4abb248732518bacf7ba0e013dbcc78,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""450"", ""1038"", ""3"", ""471"", ""251"", ""679"", ""241"", ""36"", ""551"", ""1250"", ""744"", ""659"", ""1259"", ""1191"", ""388"", ""1006"", ""571"", ""775"", ""50"", ""1063"", ""993"", ""1126"", ""1031"", ""1089"", ""344"", ""723"", ""342"", ""256"", ""331"", ""187"", ""739"", ""313""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_9_plus"": 29}","{""1"": 5, ""10"": 7, ""12"": 1, ""16"": 2, ""18"": 1, ""2"": 9, ""20"": 1, ""22"": 1, ""24"": 1, ""4"": 1, ""8"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,8,5,40,0,0.0,178701.84321686253,0.00293470286133529,0.003301540719002201
realworld_completed,bio_grid_plant,SASB-matched,matched,20260513,9,early,1111--1138,373,2215d80299d58960d7037f350fa2c495be3c30bfcaad561315f595b319e31d46,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""388"", ""344"", ""1038"", ""597"", ""1177"", ""616"", ""679"", ""1250"", ""3"", ""377"", ""607"", ""278"", ""1126"", ""52"", ""1111"", ""983"", ""1001"", ""193"", ""999"", ""659"", ""562"", ""1185"", ""1267"", ""1089"", ""615"", ""554"", ""342"", ""266"", ""790"", ""1222"", ""1086"", ""320""]","{""matched_boundary"": 12, ""matched_community_rep"": 6, ""matched_degree_core"": 10, ""matched_random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_9_plus"": 28}","{""1"": 3, ""10"": 8, ""12"": 2, ""16"": 1, ""18"": 1, ""2"": 8, ""20"": 3, ""22"": 1, ""24"": 1, ""3"": 1, ""4"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,27,2,54,0,0.0,195422.9445034326,0.003301540719002201,0.003668378576669112
