dataset,graph_id,graph_name,graph_type,community_strength,method,source_policy,seed,step,removed_edges,remove_ratio,gcc_ratio,gcc_size
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,0,0,0.0,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,1,1,0.00036683785766691124,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,2,2,0.0007336757153338225,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,3,3,0.0011005135730007337,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,4,4,0.001467351430667645,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,5,5,0.001834189288334556,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,6,6,0.0022010271460014674,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,7,7,0.0025678650036683784,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,8,8,0.00293470286133529,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,9,9,0.003301540719002201,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,10,10,0.003668378576669112,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,11,11,0.004035216434336023,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,12,12,0.004402054292002935,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,13,13,0.004768892149669846,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,14,14,0.005135730007336757,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,15,15,0.005502567865003668,1.0,1272
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,16,16,0.00586940572267058,0.97562893081761,1241
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,17,17,0.0062362435803374906,0.97562893081761,1241
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,18,18,0.006603081438004402,0.97562893081761,1241
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,19,19,0.006969919295671314,0.97562893081761,1241
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,20,20,0.007336757153338224,0.97562893081761,1241
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,21,21,0.007703595011005136,0.9591194968553459,1220
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,22,22,0.008070432868672046,0.9591194968553459,1220
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,23,23,0.008437270726338958,0.9591194968553459,1220
realworld_completed,bio_grid_plant,bio-grid-plant,biological,unknown,SASB-random,random,20260513,24,24,0.00880410858400587,0.9591194968553459,1220
