dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_grid_plant,SASB-random,random,20260513,0,early,330--599,374,4bb4d3ca8fb2338571abf28c3dd0dd351ba26fc051c424ed84294a2dfa9f6ce3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""697"", ""164"", ""25"", ""159"", ""315"", ""307"", ""181"", ""48"", ""1037"", ""724"", ""908"", ""24"", ""305"", ""870"", ""698"", ""278"", ""1174"", ""1049"", ""1120"", ""506"", ""295"", ""1153"", ""400"", ""327"", ""954"", ""1"", ""872"", ""268"", ""824"", ""62"", ""356"", ""1200""]","{""uniform_random"": 32}","{""degree_0_1"": 12, ""degree_2"": 3, ""degree_3_4"": 3, ""degree_5_8"": 10, ""degree_9_plus"": 4}","{""0"": 2, ""1"": 2, ""11"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""2"": 4, ""20"": 2, ""21"": 1, ""22"": 1, ""23"": 3, ""24"": 4, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 4}",1.0,1.0,0.0,1,1,0,1,12,9,108,0,0.0,232017.7249360675,0.0,0.00036683785766691124
realworld_completed,bio_grid_plant,SASB-random,random,20260513,1,early,50--592,374,2608f968d8a46fa944c295103a01bc358a9689973174d79c219163e03b6450cf,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1212"", ""1030"", ""587"", ""356"", ""556"", ""979"", ""1207"", ""180"", ""350"", ""961"", ""518"", ""866"", ""632"", ""634"", ""71"", ""245"", ""103"", ""1104"", ""264"", ""799"", ""81"", ""696"", ""670"", ""778"", ""61"", ""175"", ""710"", ""802"", ""1235"", ""93"", ""1221"", ""1234""]","{""uniform_random"": 32}","{""degree_0_1"": 13, ""degree_2"": 6, ""degree_3_4"": 3, ""degree_5_8"": 7, ""degree_9_plus"": 3}","{""1"": 2, ""10"": 2, ""14"": 1, ""15"": 1, ""16"": 3, ""18"": 3, ""2"": 6, ""20"": 2, ""21"": 1, ""22"": 1, ""23"": 1, ""24"": 2, ""27"": 1, ""3"": 1, ""5"": 1, ""7"": 2, ""9"": 2}",1.0,1.0,0.0,1,1,0,0,10,71,710,6,0.6666666666666666,198969.7626583886,0.00036683785766691124,0.0007336757153338225
realworld_completed,bio_grid_plant,SASB-random,random,20260513,2,early,3--881,374,15538405be378f9a3bbf64a65f8313fba8732a6e51eaa4c955f00f3af6a91eb4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1179"", ""417"", ""608"", ""1077"", ""1161"", ""918"", ""546"", ""93"", ""1075"", ""446"", ""1248"", ""223"", ""767"", ""466"", ""1100"", ""373"", ""17"", ""719"", ""118"", ""101"", ""733"", ""28"", ""683"", ""108"", ""381"", ""630"", ""512"", ""1133"", ""823"", ""479"", ""330"", ""171""]","{""uniform_random"": 32}","{""degree_0_1"": 16, ""degree_2"": 5, ""degree_5_8"": 4, ""degree_9_plus"": 7}","{""1"": 3, ""10"": 1, ""11"": 2, ""12"": 3, ""15"": 1, ""16"": 1, ""17"": 1, ""19"": 1, ""2"": 4, ""20"": 1, ""21"": 2, ""23"": 1, ""24"": 3, ""27"": 3, ""8"": 4, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,59,2,118,0,0.0,197629.61861512798,0.0007336757153338225,0.0011005135730007337
realworld_completed,bio_grid_plant,SASB-random,random,20260513,3,early,270--679,374,601b75b0b4cd796ba798da189cf47fdc150b2ab986b5013ffab983ac890f9800,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1175"", ""1251"", ""1070"", ""577"", ""1113"", ""919"", ""185"", ""800"", ""281"", ""600"", ""1095"", ""1007"", ""184"", ""907"", ""327"", ""1124"", ""426"", ""108"", ""999"", ""601"", ""238"", ""151"", ""815"", ""1270"", ""105"", ""12"", ""1086"", ""639"", ""178"", ""299"", ""420"", ""736""]","{""uniform_random"": 32}","{""degree_0_1"": 12, ""degree_2"": 3, ""degree_3_4"": 11, ""degree_5_8"": 2, ""degree_9_plus"": 4}","{""1"": 4, ""10"": 4, ""12"": 3, ""14"": 1, ""15"": 1, ""17"": 3, ""19"": 1, ""2"": 2, ""20"": 2, ""22"": 1, ""23"": 1, ""24"": 2, ""5"": 1, ""8"": 5, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,6,23,138,0,0.0,211944.8487907333,0.0011005135730007337,0.001467351430667645
realworld_completed,bio_grid_plant,SASB-random,random,20260513,4,early,1111--1138,373,4b166f09995c24b748a28f9bd19dfa9f23ba9458b64b03c9e3aff4d46087a9c0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""123"", ""12"", ""996"", ""952"", ""387"", ""9"", ""716"", ""494"", ""704"", ""34"", ""861"", ""916"", ""662"", ""255"", ""8"", ""564"", ""14"", ""178"", ""359"", ""1265"", ""1127"", ""519"", ""616"", ""264"", ""1237"", ""76"", ""351"", ""120"", ""671"", ""771"", ""189"", ""216""]","{""uniform_random"": 32}","{""degree_0_1"": 9, ""degree_2"": 8, ""degree_3_4"": 7, ""degree_5_8"": 3, ""degree_9_plus"": 5}","{""1"": 6, ""10"": 4, ""15"": 3, ""16"": 1, ""18"": 3, ""2"": 1, ""20"": 2, ""21"": 1, ""22"": 1, ""23"": 1, ""24"": 1, ""25"": 1, ""27"": 1, ""5"": 4, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,27,2,54,0,0.0,143398.94504177922,0.001467351430667645,0.001834189288334556
realworld_completed,bio_grid_plant,SASB-random,random,20260513,5,early,592--981,373,99539c97ce8586a05aadd33a120ff186f34e0db4dae07f9a28c4f1cf4d7e0903,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""542"", ""865"", ""1130"", ""463"", ""774"", ""196"", ""1003"", ""8"", ""93"", ""1118"", ""175"", ""191"", ""962"", ""968"", ""444"", ""389"", ""242"", ""165"", ""535"", ""151"", ""216"", ""451"", ""1231"", ""78"", ""785"", ""597"", ""454"", ""1032"", ""804"", ""295"", ""132"", ""746""]","{""uniform_random"": 32}","{""degree_0_1"": 14, ""degree_2"": 7, ""degree_3_4"": 5, ""degree_5_8"": 4, ""degree_9_plus"": 2}","{""0"": 2, ""1"": 5, ""10"": 2, ""14"": 1, ""15"": 1, ""16"": 1, ""17"": 1, ""2"": 5, ""20"": 1, ""22"": 1, ""23"": 1, ""24"": 2, ""27"": 2, ""4"": 2, ""5"": 1, ""8"": 2, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,70,2,140,0,0.0,134587.91623403894,0.001834189288334556,0.0022010271460014674
realworld_completed,bio_grid_plant,SASB-random,random,20260513,6,early,342--926,373,21c1211b9e02fb233a8f4400fa3ebfd68df045bf82f96c0f621ea473c2babab4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""49"", ""126"", ""704"", ""591"", ""925"", ""769"", ""833"", ""646"", ""110"", ""1109"", ""1004"", ""82"", ""1023"", ""343"", ""37"", ""215"", ""1011"", ""802"", ""1219"", ""903"", ""173"", ""504"", ""1065"", ""561"", ""58"", ""485"", ""1263"", ""653"", ""5"", ""242"", ""190"", ""1191""]","{""uniform_random"": 32}","{""degree_0_1"": 14, ""degree_2"": 8, ""degree_3_4"": 5, ""degree_5_8"": 1, ""degree_9_plus"": 4}","{""1"": 3, ""10"": 3, ""11"": 3, ""15"": 3, ""16"": 1, ""2"": 3, ""20"": 1, ""22"": 2, ""23"": 1, ""24"": 1, ""26"": 1, ""27"": 1, ""5"": 1, ""8"": 4, ""9"": 4}",1.0,1.0,0.0,1,1,0,1,12,6,72,0,0.0,173173.19117769864,0.0022010271460014674,0.0025678650036683784
realworld_completed,bio_grid_plant,SASB-random,random,20260513,7,early,714--722,373,4225f286cc888e9d8d9d11ac1b755b32bdb21a88f715118fdf2a17227f85542d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1119"", ""1072"", ""338"", ""708"", ""619"", ""1226"", ""1246"", ""859"", ""596"", ""68"", ""443"", ""371"", ""439"", ""339"", ""782"", ""804"", ""501"", ""29"", ""1008"", ""798"", ""920"", ""1156"", ""1219"", ""1028"", ""185"", ""184"", ""28"", ""1071"", ""666"", ""574"", ""807"", ""803""]","{""uniform_random"": 32}","{""degree_0_1"": 14, ""degree_2"": 4, ""degree_3_4"": 5, ""degree_5_8"": 4, ""degree_9_plus"": 5}","{""1"": 3, ""10"": 4, ""11"": 1, ""12"": 4, ""16"": 1, ""17"": 1, ""21"": 2, ""22"": 2, ""23"": 3, ""24"": 2, ""27"": 3, ""4"": 1, ""5"": 1, ""7"": 1, ""8"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,5,6,30,0,0.0,215717.90428684087,0.0025678650036683784,0.00293470286133529
realworld_completed,bio_grid_plant,SASB-random,random,20260513,8,early,639--757,373,19b90ae81a420eff3b399a74ba72c350a05d739b0811b4f86728a53e8d6befcb,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1153"", ""1099"", ""598"", ""1166"", ""799"", ""749"", ""1169"", ""808"", ""37"", ""684"", ""745"", ""1101"", ""91"", ""748"", ""550"", ""759"", ""640"", ""408"", ""1093"", ""638"", ""1205"", ""513"", ""804"", ""773"", ""1163"", ""605"", ""760"", ""496"", ""580"", ""480"", ""701"", ""295""]","{""uniform_random"": 32}","{""degree_0_1"": 9, ""degree_2"": 6, ""degree_3_4"": 5, ""degree_5_8"": 9, ""degree_9_plus"": 3}","{""0"": 2, ""1"": 4, ""12"": 4, ""14"": 2, ""15"": 1, ""18"": 1, ""2"": 2, ""20"": 1, ""21"": 1, ""22"": 3, ""24"": 2, ""4"": 2, ""5"": 5, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,8,5,40,0,0.0,185633.2167907946,0.00293470286133529,0.003301540719002201
realworld_completed,bio_grid_plant,SASB-random,random,20260513,9,early,194--679,373,640e7a7245306f66aebc3c8f180cda58b965732d2345d1325e457a36db70772d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""953"", ""182"", ""314"", ""866"", ""942"", ""89"", ""501"", ""878"", ""594"", ""574"", ""1083"", ""1143"", ""44"", ""502"", ""1001"", ""976"", ""1163"", ""761"", ""16"", ""448"", ""758"", ""566"", ""1150"", ""842"", ""971"", ""688"", ""1184"", ""456"", ""1162"", ""1046"", ""987"", ""795""]","{""uniform_random"": 32}","{""degree_0_1"": 16, ""degree_2"": 5, ""degree_3_4"": 4, ""degree_5_8"": 1, ""degree_9_plus"": 6}","{""0"": 1, ""1"": 1, ""10"": 4, ""11"": 2, ""12"": 1, ""14"": 2, ""18"": 1, ""2"": 4, ""20"": 2, ""22"": 4, ""24"": 1, ""26"": 1, ""27"": 1, ""4"": 1, ""5"": 1, ""7"": 1, ""8"": 4}",1.0,1.0,0.0,1,1,0,1,5,22,110,1,0.25,235884.2676465401,0.003301540719002201,0.003668378576669112
