dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_grid_plant,SASB-structured,structured,20260513,0,early,50--592,374,4bb4d3ca8fb2338571abf28c3dd0dd351ba26fc051c424ed84294a2dfa9f6ce3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1111"", ""1011"", ""495"", ""3"", ""738"", ""973"", ""679"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""592"", ""1063"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""615"", ""1061"", ""599"", ""955"", ""940"", ""259"", ""432"", ""681"", ""536"", ""1073""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_9_plus"": 29}","{""1"": 4, ""10"": 6, ""12"": 2, ""16"": 1, ""18"": 1, ""2"": 9, ""20"": 1, ""21"": 1, ""22"": 1, ""24"": 1, ""4"": 1, ""5"": 1, ""8"": 3}",1.0,1.0,0.0,1,1,0,0,10,71,710,6,0.6666666666666666,207943.4159034471,0.0,0.00036683785766691124
realworld_completed,bio_grid_plant,SASB-structured,structured,20260513,1,early,330--599,374,b4084bae75523a98a91adafb31892d6d3c130cd7ea1af01a4cb9dc998c7d341b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1111"", ""1011"", ""495"", ""3"", ""738"", ""973"", ""679"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""592"", ""1063"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""615"", ""1061"", ""599"", ""955"", ""940"", ""259"", ""400"", ""1157"", ""71"", ""312""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 28}","{""1"": 4, ""10"": 6, ""12"": 1, ""16"": 1, ""18"": 1, ""2"": 9, ""20"": 1, ""22"": 1, ""24"": 3, ""3"": 1, ""4"": 1, ""5"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,12,9,108,0,0.0,185416.87675628648,0.00036683785766691124,0.0007336757153338225
realworld_completed,bio_grid_plant,SASB-structured,structured,20260513,2,early,3--881,374,15538405be378f9a3bbf64a65f8313fba8732a6e51eaa4c955f00f3af6a91eb4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1111"", ""1011"", ""495"", ""3"", ""738"", ""973"", ""679"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""592"", ""1063"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""348"", ""1045"", ""150"", ""331""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_9_plus"": 28}","{""1"": 4, ""10"": 6, ""12"": 1, ""16"": 2, ""17"": 1, ""18"": 1, ""2"": 9, ""20"": 1, ""22"": 2, ""24"": 1, ""4"": 1, ""5"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,59,2,118,0,0.0,143944.1799697505,0.0007336757153338225,0.0011005135730007337
realworld_completed,bio_grid_plant,SASB-structured,structured,20260513,3,early,270--679,374,601b75b0b4cd796ba798da189cf47fdc150b2ab986b5013ffab983ac890f9800,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1111"", ""1011"", ""495"", ""738"", ""3"", ""973"", ""679"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""592"", ""1063"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""1240"", ""673"", ""686"", ""96""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 28}","{""1"": 4, ""10"": 6, ""12"": 2, ""16"": 1, ""18"": 1, ""2"": 8, ""20"": 1, ""22"": 1, ""24"": 1, ""25"": 1, ""3"": 1, ""4"": 1, ""5"": 2, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,6,23,138,0,0.0,184140.801611587,0.0011005135730007337,0.001467351430667645
realworld_completed,bio_grid_plant,SASB-structured,structured,20260513,4,early,592--981,373,4b166f09995c24b748a28f9bd19dfa9f23ba9458b64b03c9e3aff4d46087a9c0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1111"", ""1011"", ""495"", ""738"", ""3"", ""973"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""1063"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""979"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""788"", ""1140"", ""533"", ""581""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_9_plus"": 28}","{""1"": 3, ""10"": 8, ""12"": 1, ""16"": 1, ""18"": 1, ""2"": 8, ""20"": 2, ""22"": 1, ""24"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,70,2,140,0,0.0,189959.51210307525,0.001467351430667645,0.001834189288334556
realworld_completed,bio_grid_plant,SASB-structured,structured,20260513,5,early,342--926,373,976f005b4feab95608a7032d4af1bcd2d023ad376f0703aedf0ae98038db71db,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1111"", ""1011"", ""495"", ""738"", ""3"", ""973"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""1063"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""979"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""793"", ""756"", ""576"", ""1156""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 28}","{""1"": 5, ""10"": 8, ""12"": 1, ""16"": 1, ""18"": 1, ""2"": 8, ""20"": 1, ""22"": 1, ""24"": 2, ""4"": 1, ""5"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,0,12,6,72,0,0.0,187640.74024214022,0.001834189288334556,0.0022010271460014674
realworld_completed,bio_grid_plant,SASB-structured,structured,20260513,6,early,714--722,373,df005ba2f5153709ea035f1da855d22c5a9ac43a9a47c3d9c2add3e23971145e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1111"", ""1011"", ""495"", ""738"", ""3"", ""973"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""1063"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""979"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""866"", ""413"", ""470"", ""805""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 28}","{""1"": 3, ""10"": 7, ""12"": 1, ""16"": 1, ""18"": 1, ""2"": 8, ""20"": 2, ""22"": 2, ""24"": 2, ""4"": 1, ""5"": 1, ""7"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,5,6,30,0,0.0,171814.6845638149,0.0022010271460014674,0.0025678650036683784
realworld_completed,bio_grid_plant,SASB-structured,structured,20260513,7,early,639--757,373,9b2309e2874b6b7c3421a1934fe7432fe25bdae8b5ed6b82260c7343d14a4d71,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1111"", ""1011"", ""495"", ""738"", ""3"", ""973"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""1063"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""979"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""1088"", ""428"", ""813"", ""1255""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_9_plus"": 29}","{""1"": 3, ""10"": 7, ""12"": 2, ""16"": 1, ""17"": 1, ""18"": 1, ""2"": 8, ""20"": 1, ""22"": 1, ""24"": 2, ""4"": 1, ""5"": 1, ""7"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,8,5,40,0,0.0,167616.77575431115,0.0025678650036683784,0.00293470286133529
realworld_completed,bio_grid_plant,SASB-structured,structured,20260513,8,early,1111--1138,373,d5c6514a2dee9f5acd5603f983b67b8644e3675b18991486acb6acbcae296899,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1111"", ""1011"", ""495"", ""738"", ""3"", ""973"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""1063"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""979"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""1023"", ""1135"", ""737"", ""447""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_9_plus"": 29}","{""1"": 5, ""10"": 7, ""12"": 1, ""16"": 2, ""18"": 1, ""2"": 8, ""20"": 1, ""22"": 1, ""24"": 1, ""4"": 1, ""5"": 1, ""8"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,27,2,54,0,0.0,183829.70161808646,0.00293470286133529,0.003301540719002201
realworld_completed,bio_grid_plant,SASB-structured,structured,20260513,9,early,194--679,373,640e7a7245306f66aebc3c8f180cda58b965732d2345d1325e457a36db70772d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1011"", ""1111"", ""495"", ""738"", ""3"", ""973"", ""687"", ""551"", ""595"", ""1038"", ""739"", ""1063"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1085"", ""1185"", ""979"", ""615"", ""1061"", ""619"", ""955"", ""940"", ""259"", ""8"", ""575"", ""1094"", ""1164""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_9_plus"": 28}","{""1"": 3, ""10"": 8, ""12"": 2, ""16"": 1, ""18"": 1, ""2"": 8, ""20"": 2, ""22"": 1, ""24"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,5,22,110,1,0.25,180697.53877931394,0.003301540719002201,0.003668378576669112
realworld_completed,bio_grid_plant,SASB-structured,structured,20260513,10,early,194--801,373,067f91353754abffe0c299b4284f827ee6fa726acf2558ded57e9d5b54ecf4f6,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1011"", ""1111"", ""495"", ""738"", ""3"", ""1063"", ""973"", ""1085"", ""687"", ""551"", ""595"", ""1038"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1185"", ""979"", ""993"", ""615"", ""1061"", ""619"", ""955"", ""259"", ""770"", ""1149"", ""704"", ""207"", ""99""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_3_4"": 4, ""degree_9_plus"": 28}","{""1"": 3, ""10"": 8, ""12"": 1, ""17"": 1, ""19"": 1, ""2"": 9, ""21"": 1, ""23"": 1, ""24"": 2, ""28"": 2, ""4"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,4,15,60,0,0.0,214139.22383758432,0.003668378576669112,0.004035216434336023
realworld_completed,bio_grid_plant,SASB-structured,structured,20260513,11,early,189--674,373,0e410bab008bb62db107081aeec80804b55262cc49e36a5f5b816a4da776b8fa,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1011"", ""1111"", ""495"", ""738"", ""3"", ""1063"", ""973"", ""1085"", ""687"", ""551"", ""595"", ""1038"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1185"", ""979"", ""993"", ""615"", ""1061"", ""619"", ""955"", ""259"", ""770"", ""778"", ""310"", ""824"", ""118""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 3, ""degree_5_8"": 1, ""degree_9_plus"": 28}","{""1"": 2, ""10"": 8, ""12"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 8, ""21"": 1, ""23"": 2, ""24"": 2, ""28"": 1, ""4"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,3,6,18,0,0.0,220535.8209739571,0.004035216434336023,0.004402054292002935
realworld_completed,bio_grid_plant,SASB-structured,structured,20260513,12,early,592--594,373,d0852f1b4813158d5ef411ac4e5b35ed17e62dd890e00ef646284bf9eb39f33a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1011"", ""1111"", ""495"", ""738"", ""3"", ""1063"", ""973"", ""1085"", ""687"", ""551"", ""595"", ""1038"", ""592"", ""999"", ""1177"", ""1012"", ""566"", ""425"", ""1001"", ""1185"", ""979"", ""993"", ""615"", ""1061"", ""619"", ""955"", ""259"", ""770"", ""760"", ""708"", ""1236"", ""972""]","{""boundary"": 12, ""community_rep"": 6, ""degree_core"": 10, ""random_fill"": 4}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_9_plus"": 29}","{""1"": 4, ""10"": 8, ""12"": 1, ""14"": 1, ""17"": 2, ""19"": 1, ""2"": 8, ""21"": 1, ""23"": 1, ""24"": 1, ""28"": 1, ""4"": 1, ""8"": 2}",1.0,1.0,0.0,1,1,0,1,69,10,690,0,0.0,185423.1401882025,0.004402054292002935,0.004768892149669846
