dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_sc_ts,SASB-random,random,20260513,0,early,2--20,198,eb18b2b110e383e8a1c83fb45776fb6fb6ea37ea806f69e4b68233b7ceb94635,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""24"", ""18"", ""26"", ""45"", ""4"", ""53"", ""32"", ""16"", ""65"", ""25"", ""6"", ""59"", ""64"", ""30"", ""46"", ""54"", ""19"", ""44"", ""14"", ""36"", ""48"", ""3"", ""20"", ""41"", ""29"", ""28"", ""50"", ""66"", ""42"", ""40"", ""2"", ""58""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,66,66,4356,65,1.0,4.1875,0.0,0.0004522840343735866
realworld_completed,bio_sc_ts,SASB-random,random,20260513,1,early,0--2,198,260d8ae0c27afc6b2192e66d30b27c1d4005cc4953bd6c9f4399e3a1c15cebb2,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""25"", ""39"", ""11"", ""7"", ""0"", ""46"", ""41"", ""24"", ""36"", ""19"", ""61"", ""2"", ""56"", ""44"", ""55"", ""23"", ""63"", ""57"", ""51"", ""33"", ""66"", ""54"", ""30"", ""45"", ""9"", ""58"", ""17"", ""48"", ""62"", ""29"", ""37"", ""43""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,66,65,4290,64,1.0,4.219711538461539,0.0004522840343735866,0.0009045680687471732
realworld_completed,bio_sc_ts,SASB-random,random,20260513,2,early,0--1,198,e371217e0ec8363aaaeb256c55f04bd5cb25775c30d19b2f3480fe2979383ae7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""36"", ""20"", ""30"", ""31"", ""48"", ""45"", ""0"", ""37"", ""12"", ""47"", ""6"", ""17"", ""57"", ""51"", ""58"", ""1"", ""35"", ""59"", ""43"", ""29"", ""66"", ""34"", ""27"", ""52"", ""18"", ""24"", ""10"", ""65"", ""38"", ""33"", ""11"", ""23""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,65,66,4290,64,1.0,4.22021484375,0.0009045680687471732,0.0013568521031207597
realworld_completed,bio_sc_ts,SASB-random,random,20260513,3,early,3--6,198,119458c0ebaad6b173a03f3e629f4b4cee491c20fdc75f022693b0f1e97d123b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""19"", ""30"", ""21"", ""35"", ""61"", ""60"", ""43"", ""24"", ""49"", ""36"", ""32"", ""25"", ""64"", ""42"", ""31"", ""27"", ""65"", ""22"", ""3"", ""47"", ""9"", ""54"", ""33"", ""56"", ""20"", ""28"", ""6"", ""58"", ""63"", ""8"", ""18"", ""59""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,66,66,4356,65,1.0,4.1875,0.0013568521031207597,0.0018091361374943465
realworld_completed,bio_sc_ts,SASB-random,random,20260513,4,early,1--20,198,c7970286b6ceb33889a9c8b9da721a6cb71f3b210901f95875bcc79eb59b069f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""61"", ""16"", ""12"", ""30"", ""59"", ""44"", ""26"", ""29"", ""21"", ""42"", ""13"", ""54"", ""37"", ""46"", ""33"", ""62"", ""28"", ""22"", ""35"", ""20"", ""65"", ""38"", ""49"", ""27"", ""5"", ""10"", ""4"", ""55"", ""51"", ""58"", ""11"", ""53""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,65,65,4225,63,0.984375,2.12646484375,0.0018091361374943465,0.002261420171867933
realworld_completed,bio_sc_ts,SASB-random,random,20260513,5,early,1--6,198,eed7fad3e9571c9d86bfbc1258986c03587476bc220550faff24ac5fe884d299,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""44"", ""54"", ""7"", ""45"", ""17"", ""40"", ""21"", ""55"", ""23"", ""37"", ""41"", ""34"", ""13"", ""1"", ""53"", ""12"", ""66"", ""48"", ""11"", ""50"", ""8"", ""33"", ""42"", ""26"", ""6"", ""52"", ""28"", ""30"", ""24"", ""39"", ""43"", ""38""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,64,65,4160,62,0.9841269841269841,4.286179792429792,0.002261420171867933,0.0027137042062415195
realworld_completed,bio_sc_ts,SASB-random,random,20260513,6,early,1--11,198,61c6bf447e95c4615eedac4bc5d7587bf18308f71db9215c3cec0cb1171fe23e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""51"", ""9"", ""48"", ""45"", ""21"", ""44"", ""65"", ""1"", ""14"", ""35"", ""55"", ""42"", ""2"", ""4"", ""60"", ""0"", ""19"", ""54"", ""11"", ""50"", ""59"", ""20"", ""27"", ""63"", ""61"", ""43"", ""30"", ""5"", ""3"", ""66"", ""40"", ""7""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,63,66,4158,62,1.0,4.356350806451613,0.0027137042062415195,0.003165988240615106
realworld_completed,bio_sc_ts,SASB-random,random,20260513,7,early,1--13,198,69d7b446e640f433c04901e48146b951e7bc4d896e35c775137ee3011d3d33a6,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""19"", ""23"", ""9"", ""52"", ""42"", ""33"", ""30"", ""22"", ""47"", ""32"", ""4"", ""64"", ""40"", ""13"", ""36"", ""5"", ""54"", ""11"", ""46"", ""59"", ""1"", ""25"", ""39"", ""17"", ""51"", ""27"", ""63"", ""14"", ""35"", ""61"", ""57"", ""37""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,62,66,4092,61,1.0,4.358011634056055,0.003165988240615106,0.003618272274988693
realworld_completed,bio_sc_ts,SASB-random,random,20260513,8,early,1--18,198,634c21fe226caf86c13c67949723a988d87c46feea4c4584b4d81f3c15e9d912,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""59"", ""36"", ""58"", ""46"", ""9"", ""65"", ""47"", ""41"", ""1"", ""32"", ""56"", ""50"", ""42"", ""4"", ""62"", ""7"", ""64"", ""0"", ""33"", ""29"", ""25"", ""18"", ""55"", ""2"", ""31"", ""37"", ""8"", ""3"", ""39"", ""53"", ""51"", ""6""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,61,66,4026,60,1.0,4.430626707650274,0.003618272274988693,0.004070556309362279
realworld_completed,bio_sc_ts,SASB-random,random,20260513,9,early,0--3,198,2532d3fcfb1b5663c5de2d418abf4d2e0c045257d26c628b9e068666645ea452,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""49"", ""41"", ""66"", ""13"", ""54"", ""51"", ""5"", ""40"", ""59"", ""3"", ""33"", ""56"", ""39"", ""61"", ""30"", ""38"", ""22"", ""9"", ""12"", ""62"", ""28"", ""64"", ""44"", ""4"", ""16"", ""6"", ""53"", ""60"", ""8"", ""32"", ""0"", ""63""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,64,65,4160,62,0.9841269841269841,4.32165110261972,0.004070556309362279,0.004522840343735866
