dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,bio_sc_ts,SASB-structured,structured,20260513,0,early,0--1,198,eb18b2b110e383e8a1c83fb45776fb6fb6ea37ea806f69e4b68233b7ceb94635,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""9"", ""53"", ""39"", ""59"", ""3"", ""60"", ""38"", ""7"", ""56"", ""36""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,66,66,4356,65,1.0,4.1875,0.0,0.0004522840343735866
realworld_completed,bio_sc_ts,SASB-structured,structured,20260513,1,early,2--20,198,1aa56206e7e5b3dc3a2ae651a431f728630da615041154cd01906a660119f762,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""9"", ""58"", ""51"", ""5"", ""45"", ""6"", ""8"", ""53"", ""46"", ""4""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,66,66,4356,65,1.0,4.1875,0.0004522840343735866,0.0009045680687471732
realworld_completed,bio_sc_ts,SASB-structured,structured,20260513,2,early,0--10,198,25f45aea6f7bae6c18ebe33490eb31bacd25b73450688c4971d64ef40f6fd9ed,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""31"", ""9"", ""64"", ""52"", ""38"", ""66"", ""50"", ""33"", ""41"", ""65"", ""59""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,65,66,4290,64,1.0,2.09375,0.0009045680687471732,0.0013568521031207597
realworld_completed,bio_sc_ts,SASB-structured,structured,20260513,3,early,3--7,198,9759ee9c192ed2b41335f0645b9cf187854c42f3ccd3c9b37274de13fc5b0f10,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""31"", ""32"", ""9"", ""7"", ""38"", ""54"", ""66"", ""34"", ""49"", ""41"", ""48"", ""57""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,66,66,4356,65,1.0,4.1875,0.0013568521031207597,0.0018091361374943465
realworld_completed,bio_sc_ts,SASB-structured,structured,20260513,4,early,0--7,198,a5c029e8a80808be129d4ab970c3011c8ea2a93ed3f4809c56932342cbc2060f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""9"", ""41"", ""34"", ""63"", ""4"", ""58"", ""7"", ""46"", ""6"", ""45""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,64,65,4160,62,0.9841269841269841,2.1259615384615382,0.0018091361374943465,0.002261420171867933
realworld_completed,bio_sc_ts,SASB-structured,structured,20260513,5,early,0--11,198,92999af481ffee9d13f211139abba05c5885134affee69bfc45799204f8d6240,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""9"", ""47"", ""37"", ""35"", ""6"", ""42"", ""0"", ""52"", ""40"", ""44""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,63,66,4158,62,1.0,4.287738415258577,0.002261420171867933,0.0027137042062415195
realworld_completed,bio_sc_ts,SASB-structured,structured,20260513,6,early,0--12,198,601fc8a7340f57d6e1cfc2aa524594f2165fe9c6def8c67261b6cf6e739cf0ec,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""9"", ""45"", ""39"", ""8"", ""51"", ""62"", ""10"", ""48"", ""0"", ""43""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,62,66,4092,61,1.0,4.356904415653093,0.0027137042062415195,0.003165988240615106
realworld_completed,bio_sc_ts,SASB-structured,structured,20260513,7,early,3--9,198,365a955a0d52edea5bb46a9664ab876079d236b188aea8fe7ee7c5c26f215af9,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""9"", ""55"", ""20"", ""56"", ""3"", ""48"", ""57"", ""53"", ""63"", ""50""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,65,66,4290,64,1.0,4.22021484375,0.003165988240615106,0.003618272274988693
realworld_completed,bio_sc_ts,SASB-structured,structured,20260513,8,early,1--20,198,1accaee6b2c2d0d8e8c82bfb238a2cb114fd79e296e2433cda2dd4466b956b9a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""8"", ""20"", ""53"", ""56"", ""46"", ""59"", ""55"", ""1"", ""41"", ""11""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,65,65,4225,63,0.984375,4.254035308953341,0.003618272274988693,0.004070556309362279
realworld_completed,bio_sc_ts,SASB-structured,structured,20260513,9,early,0--9,198,9a03df9ce5f4ae676c1815b7e7c8944b1e939f53ea62a451eabd77fce434f328,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""8"", ""56"", ""64"", ""39"", ""47"", ""42"", ""66"", ""11"", ""40"", ""9""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_9_plus"": 32}","{""0"": 32}",1.0,1.0,0.0,1,1,0,0,61,65,3965,59,0.9833333333333333,2.1607886142418034,0.004070556309362279,0.004522840343735866
