dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,ca_csphd,SASB-random,random,20260513,0,early,430--576,224,13974d1edc088668fe4d293298a4d5ead2ae25a50085a2627e2c0c4bdccc5c69,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""778"", ""690"", ""398"", ""352"", ""112"", ""788"", ""380"", ""104"", ""387"", ""517"", ""897"", ""296"", ""258"", ""852"", ""25"", ""277"", ""250"", ""1017"", ""184"", ""894"", ""604"", ""422"", ""532"", ""629"", ""427"", ""687"", ""771"", ""327"", ""964"", ""506"", ""421"", ""848""]","{""uniform_random"": 32}","{""degree_0_1"": 23, ""degree_2"": 6, ""degree_3_4"": 2, ""degree_5_8"": 1}","{""0"": 1, ""1"": 1, ""13"": 1, ""14"": 1, ""15"": 1, ""16"": 2, ""18"": 1, ""19"": 3, ""2"": 1, ""22"": 1, ""23"": 2, ""25"": 1, ""26"": 1, ""27"": 1, ""28"": 1, ""29"": 3, ""3"": 1, ""30"": 3, ""4"": 1, ""5"": 1, ""7"": 1, ""8"": 1, ""9"": 2}",1.0,1.0,0.0,1,1,0,1,24,4,96,0,0.0,240775.703125,0.0,0.0009587727708533077
realworld_completed,ca_csphd,SASB-random,random,20260513,1,early,22--596,224,014ca85f01c23da72483b3e66a402980e4f4ec00e96a7457c6763a55c4373cf4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""666"", ""335"", ""941"", ""348"", ""809"", ""693"", ""593"", ""595"", ""842"", ""915"", ""155"", ""860"", ""774"", ""70"", ""154"", ""48"", ""636"", ""479"", ""511"", ""801"", ""428"", ""920"", ""1004"", ""470"", ""813"", ""657"", ""592"", ""108"", ""158"", ""337"", ""799"", ""64""]","{""uniform_random"": 32}","{""degree_0_1"": 25, ""degree_2"": 2, ""degree_3_4"": 4, ""degree_5_8"": 1}","{""0"": 2, ""1"": 2, ""10"": 1, ""12"": 1, ""16"": 1, ""19"": 1, ""2"": 2, ""21"": 1, ""22"": 4, ""23"": 1, ""26"": 3, ""27"": 1, ""28"": 2, ""29"": 4, ""30"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,10,15,150,0,0.0,275162.1651785714,0.0009587727708533077,0.0019175455417066154
realworld_completed,ca_csphd,SASB-random,random,20260513,2,early,608--964,224,06e3a55285fc71eae024b321246accbef1cb42fd8063191c2394b976c5391eab,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""0"", ""344"", ""49"", ""883"", ""543"", ""928"", ""334"", ""165"", ""540"", ""523"", ""880"", ""430"", ""551"", ""848"", ""584"", ""805"", ""242"", ""741"", ""66"", ""874"", ""801"", ""501"", ""412"", ""342"", ""918"", ""889"", ""405"", ""410"", ""401"", ""260"", ""126"", ""14""]","{""uniform_random"": 32}","{""degree_0_1"": 21, ""degree_2"": 6, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 3}","{""0"": 2, ""1"": 1, ""10"": 1, ""11"": 1, ""13"": 2, ""16"": 2, ""18"": 1, ""19"": 1, ""20"": 2, ""21"": 3, ""22"": 1, ""26"": 2, ""27"": 1, ""28"": 1, ""29"": 1, ""3"": 1, ""30"": 4, ""31"": 1, ""5"": 1, ""8"": 2, ""9"": 1}",1.0,0.7697560975609756,0.23024390243902437,1,2,1,1,17,2,34,0,0.0,330466.40625,0.0019175455417066154,0.0028763183125599234
realworld_completed,ca_csphd,SASB-random,random,20260513,3,early,414--430,190,d0df1c012a73f74995c98000a4193e172a87ba967b74dfb69e52f13789f3da11,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""255"", ""248"", ""321"", ""961"", ""573"", ""570"", ""976"", ""533"", ""73"", ""285"", ""282"", ""633"", ""16"", ""163"", ""592"", ""29"", ""14"", ""683"", ""807"", ""681"", ""544"", ""994"", ""33"", ""27"", ""509"", ""607"", ""345"", ""442"", ""621"", ""995"", ""234"", ""446""]","{""uniform_random"": 32}","{""degree_0_1"": 20, ""degree_2"": 3, ""degree_3_4"": 6, ""degree_5_8"": 1, ""degree_9_plus"": 2}","{""0"": 1, ""1"": 1, ""11"": 1, ""12"": 2, ""14"": 1, ""16"": 7, ""17"": 1, ""19"": 2, ""20"": 2, ""22"": 1, ""23"": 2, ""24"": 1, ""27"": 1, ""6"": 2, ""7"": 2, ""8"": 3, ""9"": 2}",0.7697560975609756,0.7697560975609756,0.0,2,2,0,1,4,23,92,0,0.0,164278.42968749997,0.0028763183125599234,0.003835091083413231
realworld_completed,ca_csphd,SASB-random,random,20260513,4,early,575--607,190,4908ed34cfbf3c54ad5708af0f10389ab6fdf8c6e0f6cf885a93eb4b38806fc5,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""789"", ""933"", ""1011"", ""926"", ""609"", ""634"", ""909"", ""892"", ""267"", ""111"", ""445"", ""32"", ""608"", ""269"", ""415"", ""424"", ""885"", ""704"", ""895"", ""42"", ""414"", ""653"", ""491"", ""214"", ""866"", ""380"", ""765"", ""99"", ""452"", ""222"", ""67"", ""299""]","{""uniform_random"": 32}","{""degree_0_1"": 24, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 2}","{""1"": 3, ""10"": 1, ""11"": 3, ""12"": 1, ""15"": 1, ""18"": 2, ""19"": 1, ""2"": 2, ""21"": 3, ""22"": 2, ""23"": 1, ""27"": 1, ""3"": 2, ""6"": 6, ""7"": 1, ""8"": 1, ""9"": 1}",0.7697560975609756,0.7697560975609756,0.0,2,2,0,1,9,3,27,0,0.0,137552.6984375,0.003835091083413231,0.004793863854266539
realworld_completed,ca_csphd,SASB-random,random,20260513,5,early,575--857,189,5e7ca210a41a56deff1868e345e0a52d62ff8eb0c596dcc5456ad462cded02c7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""38"", ""396"", ""608"", ""436"", ""555"", ""267"", ""631"", ""1009"", ""893"", ""611"", ""408"", ""3"", ""851"", ""597"", ""272"", ""202"", ""688"", ""93"", ""18"", ""724"", ""171"", ""513"", ""774"", ""926"", ""562"", ""692"", ""864"", ""606"", ""945"", ""681"", ""778"", ""217""]","{""uniform_random"": 32}","{""degree_0_1"": 22, ""degree_2"": 3, ""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 2}","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 3, ""14"": 2, ""15"": 1, ""16"": 2, ""18"": 2, ""20"": 1, ""21"": 2, ""22"": 2, ""23"": 1, ""24"": 1, ""25"": 1, ""26"": 3, ""27"": 1, ""3"": 1, ""6"": 1, ""7"": 2, ""9"": 1}",0.7697560975609756,0.7697560975609756,0.0,2,2,0,1,8,3,24,0,0.0,193442.253125,0.004793863854266539,0.005752636625119847
realworld_completed,ca_csphd,SASB-random,random,20260513,6,early,545--617,189,3c02604afaca2f67e955b9d1ec81249f9928d78c4e5732bc12e39eb3ef090577,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""431"", ""278"", ""593"", ""1001"", ""343"", ""516"", ""896"", ""410"", ""319"", ""624"", ""679"", ""586"", ""490"", ""592"", ""782"", ""126"", ""454"", ""665"", ""321"", ""77"", ""583"", ""892"", ""374"", ""29"", ""935"", ""953"", ""112"", ""982"", ""660"", ""877"", ""694"", ""786""]","{""uniform_random"": 32}","{""degree_0_1"": 25, ""degree_2"": 4, ""degree_5_8"": 1, ""degree_9_plus"": 2}","{""0"": 2, ""1"": 3, ""11"": 1, ""14"": 3, ""15"": 2, ""16"": 1, ""17"": 1, ""19"": 2, ""2"": 3, ""20"": 1, ""21"": 2, ""22"": 1, ""23"": 1, ""26"": 2, ""27"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""8"": 3}",0.7697560975609756,0.7697560975609756,0.0,2,2,0,1,19,10,190,0,0.0,224708.84374999997,0.005752636625119847,0.006711409395973154
realworld_completed,ca_csphd,SASB-random,random,20260513,7,early,545--762,189,2162e9745fb3706f48b5c0a08ab7758ffc908e832ada6f144e27bebe87519da9,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""708"", ""227"", ""428"", ""541"", ""1009"", ""611"", ""525"", ""683"", ""820"", ""144"", ""79"", ""924"", ""976"", ""397"", ""80"", ""503"", ""89"", ""133"", ""731"", ""408"", ""712"", ""1007"", ""670"", ""361"", ""948"", ""960"", ""396"", ""928"", ""127"", ""766"", ""746"", ""200""]","{""uniform_random"": 32}","{""degree_0_1"": 24, ""degree_2"": 7, ""degree_5_8"": 1}","{""10"": 2, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 4, ""15"": 2, ""16"": 2, ""18"": 1, ""19"": 2, ""21"": 4, ""22"": 2, ""23"": 1, ""24"": 1, ""26"": 1, ""4"": 1, ""6"": 2, ""8"": 1, ""9"": 3}",0.7697560975609756,0.7697560975609756,0.0,2,2,0,0,18,5,90,0,0.0,274830.890625,0.006711409395973154,0.007670182166826462
realworld_completed,ca_csphd,SASB-random,random,20260513,8,early,390--545,189,b87099bacc4f6f85980362e8b0d06bbefe7dd2c5c2ad9d8e005f18dde05c906e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""500"", ""812"", ""712"", ""707"", ""469"", ""99"", ""468"", ""540"", ""891"", ""791"", ""992"", ""581"", ""50"", ""240"", ""202"", ""361"", ""231"", ""801"", ""355"", ""569"", ""504"", ""852"", ""872"", ""913"", ""895"", ""372"", ""426"", ""351"", ""537"", ""638"", ""994"", ""562""]","{""uniform_random"": 32}","{""degree_0_1"": 22, ""degree_2"": 3, ""degree_3_4"": 6, ""degree_9_plus"": 1}","{""10"": 1, ""11"": 1, ""13"": 3, ""14"": 3, ""16"": 2, ""17"": 1, ""18"": 1, ""19"": 1, ""2"": 3, ""20"": 2, ""23"": 2, ""24"": 2, ""25"": 1, ""26"": 1, ""3"": 1, ""5"": 3, ""6"": 1, ""7"": 3}",0.7697560975609756,0.39707317073170734,0.3726829268292683,2,3,1,1,2,17,34,0,0.0,309411.28125,0.007670182166826462,0.00862895493767977
realworld_completed,ca_csphd,SASB-random,random,20260513,9,early,383--586,122,88ce0b09af038350e6780d5a282abec2ed3316c3ddef945a558915f604b3f49c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""301"", ""837"", ""99"", ""179"", ""373"", ""633"", ""782"", ""1009"", ""948"", ""916"", ""31"", ""402"", ""158"", ""145"", ""981"", ""694"", ""430"", ""215"", ""575"", ""568"", ""888"", ""882"", ""943"", ""242"", ""78"", ""330"", ""555"", ""165"", ""466"", ""749"", ""168"", ""15""]","{""uniform_random"": 32}","{""degree_0_1"": 21, ""degree_2"": 5, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 1}","{""0"": 3, ""10"": 4, ""11"": 1, ""13"": 2, ""14"": 2, ""15"": 2, ""17"": 2, ""3"": 1, ""4"": 4, ""5"": 3, ""6"": 5, ""8"": 1, ""9"": 2}",0.39707317073170734,0.39707317073170734,0.0,3,3,0,1,10,14,140,0,0.0,50790.20833333332,0.00862895493767977,0.009587727708533078
