dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,ca_netscience,SASB-random,random,20260513,0,early,168--373,180,15b4dcb2f7181514e3886d4b3a59e4d8c5aa6b2ac0ea455c9029106fae93837d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""44"", ""141"", ""349"", ""170"", ""96"", ""67"", ""8"", ""102"", ""36"", ""255"", ""222"", ""234"", ""295"", ""231"", ""293"", ""2"", ""341"", ""191"", ""235"", ""94"", ""149"", ""99"", ""151"", ""75"", ""288"", ""100"", ""163"", ""319"", ""159"", ""249"", ""91"", ""144""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 7, ""degree_3_4"": 11, ""degree_5_8"": 9, ""degree_9_plus"": 3}","{""0"": 2, ""1"": 2, ""10"": 3, ""12"": 1, ""13"": 1, ""14"": 2, ""15"": 4, ""16"": 3, ""17"": 4, ""3"": 3, ""4"": 2, ""5"": 1, ""8"": 1, ""9"": 3}",1.0,1.0,0.0,1,1,0,1,27,17,459,0,0.0,35160.04388163918,0.0,0.0010940919037199124
realworld_completed,ca_netscience,SASB-random,random,20260513,1,early,317--341,180,5a98b4b4413e93d1617c2b0e0c3796fdeb1dcc6c1ccfc2087ca053e8dc193cfe,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""324"", ""48"", ""352"", ""357"", ""287"", ""12"", ""70"", ""91"", ""342"", ""206"", ""187"", ""269"", ""170"", ""148"", ""154"", ""354"", ""60"", ""236"", ""108"", ""349"", ""69"", ""175"", ""327"", ""291"", ""210"", ""279"", ""355"", ""263"", ""302"", ""67"", ""216"", ""118""]","{""uniform_random"": 32}","{""degree_0_1"": 3, ""degree_2"": 9, ""degree_3_4"": 13, ""degree_5_8"": 6, ""degree_9_plus"": 1}","{""0"": 2, ""10"": 1, ""13"": 1, ""14"": 1, ""15"": 4, ""16"": 2, ""17"": 9, ""2"": 1, ""3"": 4, ""4"": 2, ""5"": 4, ""7"": 1}",1.0,1.0,0.0,1,1,0,1,4,6,24,0,0.0,37745.165745192324,0.0010940919037199124,0.002188183807439825
realworld_completed,ca_netscience,SASB-random,random,20260513,2,early,147--313,180,d18edb9d3b0e2d09a6557cce2585894ff6b45a0871fff7e2a3da8a80369bcd08,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""68"", ""166"", ""53"", ""364"", ""372"", ""16"", ""304"", ""112"", ""58"", ""335"", ""274"", ""250"", ""169"", ""225"", ""292"", ""213"", ""111"", ""365"", ""119"", ""305"", ""50"", ""248"", ""244"", ""230"", ""234"", ""146"", ""239"", ""363"", ""59"", ""299"", ""187"", ""275""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 10, ""degree_3_4"": 11, ""degree_5_8"": 4, ""degree_9_plus"": 5}","{""0"": 8, ""1"": 2, ""10"": 3, ""11"": 2, ""12"": 3, ""13"": 1, ""16"": 2, ""17"": 4, ""3"": 3, ""5"": 1, ""7"": 2, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,14,27,378,4,0.3076923076923077,56400.66177944861,0.002188183807439825,0.0032822757111597373
realworld_completed,ca_netscience,SASB-random,random,20260513,3,early,147--149,180,8f1f1e4c2f1359b7817325e02f8fc357b00018e130b753415fbb49123cb9a6cf,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""113"", ""22"", ""189"", ""164"", ""319"", ""273"", ""229"", ""195"", ""33"", ""334"", ""238"", ""34"", ""23"", ""19"", ""95"", ""27"", ""317"", ""70"", ""52"", ""244"", ""375"", ""327"", ""352"", ""149"", ""251"", ""166"", ""106"", ""105"", ""259"", ""357"", ""77"", ""336""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 4, ""degree_3_4"": 13, ""degree_5_8"": 11, ""degree_9_plus"": 3}","{""0"": 6, ""1"": 2, ""10"": 1, ""11"": 1, ""13"": 1, ""15"": 4, ""16"": 2, ""17"": 6, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 2, ""6"": 1, ""8"": 1, ""9"": 1}",1.0,1.0,0.0,1,1,0,1,13,5,65,1,0.25,37218.984375,0.0032822757111597373,0.00437636761487965
realworld_completed,ca_netscience,SASB-random,random,20260513,4,early,147--148,180,4f1ae0a98f67d9b27ec7fce29fa36d12d05e93a675197eb7f663a4e0bd05f917,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""107"", ""11"", ""342"", ""337"", ""1"", ""359"", ""312"", ""336"", ""46"", ""177"", ""49"", ""332"", ""287"", ""100"", ""131"", ""352"", ""306"", ""295"", ""29"", ""375"", ""194"", ""285"", ""319"", ""50"", ""207"", ""152"", ""135"", ""238"", ""169"", ""347"", ""372"", ""349""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 5, ""degree_3_4"": 10, ""degree_5_8"": 10, ""degree_9_plus"": 5}","{""0"": 6, ""1"": 2, ""10"": 2, ""11"": 3, ""12"": 1, ""15"": 3, ""16"": 3, ""17"": 2, ""3"": 3, ""4"": 2, ""5"": 3, ""7"": 2}",1.0,0.5277044854881267,0.47229551451187335,1,2,1,1,12,5,60,0,0.0,71323.0625,0.00437636761487965,0.005470459518599562
realworld_completed,ca_netscience,SASB-random,random,20260513,5,early,147--168,118,d51326dc64380396ee8a1213269b71596f6ef01f11fdd2b9dbe3df43b7a75fd3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""41"", ""304"", ""86"", ""96"", ""37"", ""217"", ""274"", ""90"", ""319"", ""222"", ""320"", ""288"", ""174"", ""63"", ""360"", ""365"", ""184"", ""166"", ""337"", ""173"", ""53"", ""42"", ""121"", ""85"", ""258"", ""43"", ""1"", ""18"", ""54"", ""30"", ""170"", ""103""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 10, ""degree_3_4"": 9, ""degree_5_8"": 9, ""degree_9_plus"": 2}","{""0"": 3, ""1"": 9, ""10"": 1, ""11"": 4, ""12"": 2, ""13"": 4, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2, ""7"": 1, ""9"": 2}",0.5277044854881267,0.5277044854881267,0.0,2,2,0,1,11,26,286,2,0.2,9763.561538650549,0.005470459518599562,0.006564551422319475
realworld_completed,ca_netscience,SASB-random,random,20260513,6,early,168--346,118,734ab92e1bf7cbb3c8f7d18ad15ba887a639bf75e46709a4ba5a347cabe746a2,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""65"", ""151"", ""319"", ""153"", ""82"", ""290"", ""39"", ""182"", ""203"", ""365"", ""31"", ""29"", ""176"", ""43"", ""205"", ""114"", ""324"", ""370"", ""7"", ""282"", ""183"", ""271"", ""201"", ""249"", ""288"", ""36"", ""53"", ""362"", ""284"", ""164"", ""220"", ""6""]","{""uniform_random"": 32}","{""degree_0_1"": 3, ""degree_2"": 7, ""degree_3_4"": 8, ""degree_5_8"": 10, ""degree_9_plus"": 4}","{""0"": 1, ""1"": 2, ""10"": 4, ""11"": 3, ""12"": 6, ""13"": 2, ""2"": 3, ""4"": 2, ""6"": 1, ""7"": 1, ""8"": 5, ""9"": 2}",0.5277044854881267,0.5277044854881267,0.0,2,2,0,1,25,12,300,0,0.0,7246.557029045516,0.006564551422319475,0.007658643326039387
realworld_completed,ca_netscience,SASB-random,random,20260513,7,early,0--313,118,f003b9429c6e3afd5e86e3b3c89f4555f14faee4ee914c72dab1945dafaf0a33,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""59"", ""282"", ""33"", ""64"", ""369"", ""228"", ""90"", ""364"", ""241"", ""155"", ""98"", ""226"", ""333"", ""36"", ""304"", ""360"", ""41"", ""109"", ""221"", ""153"", ""270"", ""0"", ""73"", ""39"", ""154"", ""229"", ""168"", ""272"", ""283"", ""104"", ""362"", ""9""]","{""uniform_random"": 32}","{""degree_0_1"": 3, ""degree_2"": 4, ""degree_3_4"": 11, ""degree_5_8"": 9, ""degree_9_plus"": 5}","{""0"": 2, ""1"": 5, ""11"": 3, ""12"": 4, ""13"": 4, ""2"": 4, ""4"": 3, ""7"": 1, ""8"": 3, ""9"": 3}",0.5277044854881267,0.5277044854881267,0.0,2,2,0,0,10,26,260,4,0.4444444444444444,10690.16520013802,0.007658643326039387,0.0087527352297593
realworld_completed,ca_netscience,SASB-random,random,20260513,8,early,0--16,118,a8423a5e449874a0102885fa4aabcb03a61b82b25e91028de4bce23103d499e6,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""156"", ""238"", ""57"", ""271"", ""41"", ""240"", ""108"", ""301"", ""234"", ""61"", ""221"", ""86"", ""0"", ""28"", ""94"", ""168"", ""333"", ""317"", ""110"", ""173"", ""274"", ""199"", ""304"", ""360"", ""233"", ""324"", ""102"", ""198"", ""237"", ""32"", ""225"", ""367""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 11, ""degree_3_4"": 9, ""degree_5_8"": 7, ""degree_9_plus"": 4}","{""0"": 3, ""1"": 9, ""10"": 1, ""11"": 3, ""12"": 1, ""13"": 5, ""2"": 1, ""3"": 3, ""4"": 2, ""7"": 1, ""8"": 1, ""9"": 2}",0.5277044854881267,0.5277044854881267,0.0,2,2,0,1,9,15,135,2,0.25,10824.521750501819,0.0087527352297593,0.009846827133479213
realworld_completed,ca_netscience,SASB-random,random,20260513,9,early,0--36,118,540fddecac4979d893a5b60ea71f1888815db4307d8fc788981a322057e0b2e0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""220"", ""33"", ""103"", ""8"", ""150"", ""259"", ""317"", ""367"", ""112"", ""193"", ""1"", ""296"", ""225"", ""114"", ""198"", ""115"", ""174"", ""57"", ""151"", ""86"", ""194"", ""313"", ""121"", ""102"", ""366"", ""233"", ""40"", ""166"", ""258"", ""36"", ""52"", ""190""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 8, ""degree_3_4"": 13, ""degree_5_8"": 3, ""degree_9_plus"": 6}","{""0"": 1, ""1"": 10, ""10"": 3, ""11"": 2, ""12"": 2, ""13"": 4, ""2"": 2, ""3"": 1, ""5"": 3, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 1}",0.5277044854881267,0.5277044854881267,0.0,2,2,0,0,8,12,96,1,0.14285714285714285,9416.50183150183,0.009846827133479213,0.010940919037199124
