dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,ia_enron_only,SASB-matched,matched,20260513,0,early,37--89,124,479c947e9cd496a64a9e0018e19d323a86d5bf1fd2493ecc53b630cee0d66dde,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""27"", ""98"", ""37"", ""121"", ""142"", ""15"", ""44"", ""57"", ""6"", ""51"", ""89"", ""115"", ""53"", ""104"", ""55"", ""52"", ""111"", ""66"", ""67"", ""114"", ""49"", ""54"", ""126"", ""105"", ""41"", ""45"", ""103"", ""93"", ""29"", ""99"", ""136"", ""1""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 28}","{""0"": 4, ""1"": 7, ""3"": 11, ""4"": 1, ""5"": 6, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,19,11,209,0,0.0,991.8701826995612,0.0,0.0016051364365971107
realworld_completed,ia_enron_only,SASB-matched,matched,20260513,1,early,47--68,124,db24cb089419b94030a6dfe0469cb289cfb40ed07b478b2d95c7ae37113e7bfa,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""9"", ""6"", ""1"", ""55"", ""80"", ""25"", ""84"", ""7"", ""26"", ""96"", ""88"", ""115"", ""63"", ""111"", ""52"", ""85"", ""67"", ""37"", ""54"", ""86"", ""49"", ""108"", ""126"", ""3"", ""75"", ""81"", ""95"", ""113"", ""48"", ""41"", ""28"", ""87""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 29}","{""0"": 5, ""1"": 4, ""2"": 1, ""3"": 11, ""4"": 1, ""5"": 6, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,9,17,153,0,0.0,810.8199920949738,0.0016051364365971107,0.0032102728731942215
realworld_completed,ia_enron_only,SASB-matched,matched,20260513,2,early,34--89,124,6f0af2f6b47b8e4113c62054f685a1e59ad52a0ca892bbcc474ffb47f002332a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""71"", ""18"", ""55"", ""26"", ""141"", ""4"", ""44"", ""7"", ""75"", ""28"", ""84"", ""137"", ""108"", ""54"", ""104"", ""52"", ""41"", ""63"", ""111"", ""105"", ""115"", ""57"", ""126"", ""113"", ""90"", ""13"", ""134"", ""93"", ""140"", ""132"", ""106"", ""37""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 6, ""1"": 5, ""3"": 10, ""4"": 3, ""5"": 4, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,9,10,90,0,0.0,1398.9236496742471,0.0032102728731942215,0.004815409309791332
realworld_completed,ia_enron_only,SASB-matched,matched,20260513,3,early,30--57,124,44753f6c7d7aea3e97e65fed62bf23d791b6da1f8508e3dee6ffde8f30e5a157,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""112"", ""6"", ""53"", ""35"", ""80"", ""11"", ""44"", ""49"", ""96"", ""18"", ""61"", ""15"", ""52"", ""106"", ""62"", ""41"", ""55"", ""54"", ""111"", ""88"", ""73"", ""48"", ""75"", ""101"", ""69"", ""95"", ""21"", ""97"", ""58"", ""66"", ""120"", ""47""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 4, ""1"": 5, ""2"": 2, ""3"": 9, ""4"": 1, ""5"": 5, ""6"": 6}",1.0,1.0,0.0,1,1,0,1,5,14,70,0,0.0,999.6147626586845,0.004815409309791332,0.006420545746388443
realworld_completed,ia_enron_only,SASB-matched,matched,20260513,4,early,33--39,124,06b6f725b44b057e0d04fbc0a46567c004198ad423f4ea5656e2d5bce1c88487,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""71"", ""18"", ""1"", ""11"", ""25"", ""3"", ""89"", ""35"", ""75"", ""51"", ""94"", ""15"", ""67"", ""106"", ""63"", ""55"", ""111"", ""54"", ""52"", ""88"", ""86"", ""27"", ""142"", ""85"", ""95"", ""140"", ""99"", ""23"", ""66"", ""72"", ""120"", ""34""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 2, ""degree_5_8"": 5, ""degree_9_plus"": 25}","{""0"": 4, ""1"": 5, ""2"": 1, ""3"": 10, ""4"": 2, ""5"": 3, ""6"": 7}",1.0,1.0,0.0,1,1,0,1,6,7,42,1,0.2,1100.629159292129,0.006420545746388443,0.008025682182985553
realworld_completed,ia_enron_only,SASB-matched,matched,20260513,5,early,32--51,124,1535c61ae4b1740b13a950408a9702d527ebd2d44e7deaf3012f5ca8317d031b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""21"", ""28"", ""64"", ""25"", ""4"", ""141"", ""88"", ""50"", ""51"", ""96"", ""44"", ""15"", ""111"", ""55"", ""67"", ""53"", ""41"", ""106"", ""1"", ""42"", ""114"", ""57"", ""26"", ""86"", ""63"", ""18"", ""2"", ""3"", ""107"", ""138"", ""142"", ""120""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 29}","{""0"": 5, ""1"": 6, ""3"": 9, ""4"": 1, ""5"": 4, ""6"": 7}",1.0,1.0,0.0,1,1,0,1,3,30,90,0,0.0,635.7823735086848,0.008025682182985553,0.009630818619582664
realworld_completed,ia_enron_only,SASB-matched,matched,20260513,6,early,51--85,124,1cc9dda755afb47594469ba8ccbf929085bb3e761097056312dbadc3802d2f55,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""107"", ""52"", ""6"", ""111"", ""80"", ""141"", ""94"", ""71"", ""51"", ""75"", ""88"", ""15"", ""62"", ""37"", ""108"", ""106"", ""63"", ""53"", ""85"", ""84"", ""121"", ""50"", ""1"", ""41"", ""116"", ""4"", ""127"", ""43"", ""27"", ""35"", ""72"", ""81""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 27}","{""0"": 6, ""1"": 4, ""2"": 1, ""3"": 11, ""4"": 1, ""5"": 5, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,29,20,580,5,0.2631578947368421,698.778454640512,0.009630818619582664,0.011235955056179775
realworld_completed,ia_enron_only,SASB-matched,matched,20260513,7,early,85--98,124,aee5231ff0f4922d669eb2928eb8a347559e7481081ac00c1b0482339c128b4b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""49"", ""108"", ""26"", ""75"", ""117"", ""15"", ""73"", ""48"", ""98"", ""96"", ""114"", ""131"", ""1"", ""62"", ""67"", ""104"", ""85"", ""66"", ""41"", ""84"", ""88"", ""35"", ""52"", ""132"", ""125"", ""120"", ""140"", ""83"", ""123"", ""109"", ""29"", ""86""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 2, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 6, ""1"": 5, ""2"": 1, ""3"": 9, ""4"": 2, ""5"": 4, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,19,14,266,3,0.23076923076923078,567.0165793787958,0.011235955056179775,0.012841091492776886
realworld_completed,ia_enron_only,SASB-matched,matched,20260513,8,early,85--96,124,708990c492a11aca124273714f3a31121a4c4d8ca37c865036291f6a9dfde987,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""107"", ""141"", ""6"", ""131"", ""106"", ""142"", ""105"", ""7"", ""75"", ""96"", ""24"", ""3"", ""62"", ""104"", ""54"", ""41"", ""37"", ""52"", ""64"", ""73"", ""89"", ""57"", ""51"", ""80"", ""21"", ""72"", ""77"", ""2"", ""129"", ""8"", ""128"", ""44""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 26}","{""0"": 5, ""1"": 6, ""2"": 2, ""3"": 8, ""5"": 5, ""6"": 6}",1.0,1.0,0.0,1,1,0,1,18,9,162,1,0.125,534.8973007116576,0.012841091492776886,0.014446227929373997
realworld_completed,ia_enron_only,SASB-matched,matched,20260513,9,early,75--85,123,541f53493cdc50c8dfb88978ddb19b6b0610b490f4e0eeb20716158695ae39d8,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""35"", ""51"", ""98"", ""11"", ""37"", ""15"", ""86"", ""57"", ""75"", ""18"", ""88"", ""131"", ""64"", ""53"", ""111"", ""106"", ""54"", ""62"", ""1"", ""42"", ""73"", ""103"", ""80"", ""70"", ""100"", ""19"", ""55"", ""40"", ""110"", ""67"", ""142"", ""41""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 4, ""1"": 4, ""2"": 2, ""3"": 11, ""5"": 4, ""6"": 7}",1.0,1.0,0.0,1,1,0,1,9,17,153,0,0.0,729.7105055925102,0.014446227929373997,0.016051364365971106
