dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,ia_enron_only,SASB-random,random,20260513,0,early,47--68,124,479c947e9cd496a64a9e0018e19d323a86d5bf1fd2493ecc53b630cee0d66dde,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""79"", ""67"", ""42"", ""43"", ""129"", ""15"", ""59"", ""33"", ""100"", ""99"", ""133"", ""52"", ""74"", ""25"", ""27"", ""91"", ""63"", ""11"", ""0"", ""80"", ""138"", ""142"", ""32"", ""82"", ""125"", ""36"", ""75"", ""122"", ""44"", ""3"", ""76"", ""134""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 5, ""degree_3_4"": 5, ""degree_5_8"": 5, ""degree_9_plus"": 15}","{""0"": 5, ""1"": 4, ""2"": 4, ""3"": 3, ""4"": 5, ""5"": 3, ""6"": 8}",1.0,1.0,0.0,1,1,0,1,9,17,153,0,0.0,1666.404708135161,0.0,0.0016051364365971107
realworld_completed,ia_enron_only,SASB-random,random,20260513,1,early,34--89,124,ddc45d918ef392371fd2d3f06e6118745cf2221ba575f7bdae624239976ac2d4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""111"", ""116"", ""61"", ""48"", ""41"", ""85"", ""123"", ""87"", ""54"", ""34"", ""24"", ""18"", ""135"", ""106"", ""138"", ""74"", ""6"", ""32"", ""76"", ""118"", ""10"", ""92"", ""46"", ""126"", ""42"", ""30"", ""102"", ""96"", ""21"", ""4"", ""2"", ""133""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 7, ""degree_9_plus"": 18}","{""0"": 5, ""1"": 4, ""2"": 4, ""3"": 6, ""4"": 6, ""5"": 4, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,9,11,99,0,0.0,1418.8251088563256,0.0016051364365971107,0.0032102728731942215
realworld_completed,ia_enron_only,SASB-random,random,20260513,2,early,30--57,124,aea9a46409481f224c6091dd4926b44cdf1beac753838e05e23d23c79317cd9a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""67"", ""47"", ""135"", ""31"", ""112"", ""4"", ""21"", ""71"", ""46"", ""111"", ""18"", ""30"", ""99"", ""33"", ""72"", ""106"", ""139"", ""41"", ""39"", ""53"", ""66"", ""90"", ""80"", ""15"", ""124"", ""12"", ""92"", ""73"", ""58"", ""2"", ""13"", ""83""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 12, ""degree_9_plus"": 14}","{""0"": 4, ""1"": 5, ""2"": 1, ""3"": 7, ""4"": 5, ""5"": 4, ""6"": 6}",1.0,1.0,0.0,1,1,0,1,5,14,70,0,0.0,2080.6002556198237,0.0032102728731942215,0.004815409309791332
realworld_completed,ia_enron_only,SASB-random,random,20260513,3,early,33--39,124,a41663449322f520a4ff77b989006752142721cbb4cba8a9fcefadf3839a5d78,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""22"", ""65"", ""59"", ""140"", ""122"", ""54"", ""141"", ""111"", ""68"", ""61"", ""42"", ""32"", ""115"", ""67"", ""131"", ""49"", ""26"", ""123"", ""16"", ""112"", ""83"", ""106"", ""107"", ""7"", ""119"", ""66"", ""21"", ""38"", ""132"", ""77"", ""98"", ""33""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 4, ""degree_3_4"": 4, ""degree_5_8"": 5, ""degree_9_plus"": 18}","{""0"": 4, ""1"": 4, ""2"": 3, ""3"": 5, ""4"": 5, ""5"": 7, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,6,7,42,1,0.2,1368.3583088557302,0.004815409309791332,0.006420545746388443
realworld_completed,ia_enron_only,SASB-random,random,20260513,4,early,32--51,124,a0dc4c2cf178686a9355260cba654e9aa310dee58fc860ffa74b497178401cb7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""23"", ""37"", ""59"", ""94"", ""9"", ""72"", ""44"", ""140"", ""85"", ""20"", ""78"", ""91"", ""135"", ""15"", ""22"", ""53"", ""99"", ""121"", ""139"", ""45"", ""109"", ""7"", ""49"", ""122"", ""101"", ""68"", ""30"", ""4"", ""75"", ""105"", ""77"", ""57""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 6, ""degree_3_4"": 1, ""degree_5_8"": 8, ""degree_9_plus"": 16}","{""0"": 5, ""1"": 7, ""2"": 2, ""3"": 3, ""4"": 2, ""5"": 8, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,3,30,90,0,0.0,625.6961286419881,0.006420545746388443,0.008025682182985553
realworld_completed,ia_enron_only,SASB-random,random,20260513,5,early,7--90,124,25bc8e939b25bf2d768e96781c02013b776a8112d1d10a9e2a42d5da202bff04,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""33"", ""5"", ""40"", ""83"", ""118"", ""26"", ""28"", ""60"", ""82"", ""50"", ""75"", ""49"", ""74"", ""17"", ""78"", ""104"", ""12"", ""136"", ""129"", ""88"", ""90"", ""115"", ""63"", ""140"", ""114"", ""84"", ""57"", ""97"", ""102"", ""19"", ""13"", ""132""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 3, ""degree_3_4"": 7, ""degree_5_8"": 8, ""degree_9_plus"": 12}","{""0"": 7, ""1"": 6, ""2"": 3, ""3"": 2, ""4"": 2, ""5"": 6, ""6"": 6}",1.0,1.0,0.0,1,1,0,1,42,2,84,1,1.0,579.1680674700438,0.008025682182985553,0.009630818619582664
realworld_completed,ia_enron_only,SASB-random,random,20260513,6,early,18--23,124,32b55a9174a4ab31a59eb65fd68a5421fcbfc1b28283d787b8dd3ba5ee53066b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""29"", ""128"", ""90"", ""68"", ""38"", ""110"", ""103"", ""61"", ""57"", ""39"", ""3"", ""65"", ""95"", ""18"", ""21"", ""124"", ""32"", ""104"", ""5"", ""114"", ""142"", ""23"", ""78"", ""92"", ""49"", ""94"", ""25"", ""129"", ""106"", ""122"", ""79"", ""74""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 5, ""degree_3_4"": 3, ""degree_5_8"": 7, ""degree_9_plus"": 15}","{""0"": 3, ""1"": 4, ""2"": 6, ""3"": 3, ""4"": 2, ""5"": 6, ""6"": 8}",1.0,1.0,0.0,1,1,0,1,10,7,70,2,0.3333333333333333,500.54740782076715,0.009630818619582664,0.011235955056179775
realworld_completed,ia_enron_only,SASB-random,random,20260513,7,early,107--133,124,dfb1cb4e855632ff309fc097b5a27101f3eba48d0a913511bb2632f69e252a55,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""111"", ""55"", ""40"", ""33"", ""16"", ""26"", ""45"", ""34"", ""125"", ""93"", ""10"", ""80"", ""24"", ""4"", ""107"", ""14"", ""132"", ""75"", ""47"", ""142"", ""27"", ""3"", ""29"", ""133"", ""121"", ""127"", ""137"", ""63"", ""123"", ""53"", ""23"", ""104""]","{""uniform_random"": 32}","{""degree_2"": 3, ""degree_3_4"": 3, ""degree_5_8"": 8, ""degree_9_plus"": 18}","{""0"": 4, ""1"": 2, ""2"": 4, ""3"": 5, ""4"": 6, ""5"": 5, ""6"": 6}",1.0,1.0,0.0,1,1,0,1,11,18,198,2,0.2,762.2970916539879,0.011235955056179775,0.012841091492776886
realworld_completed,ia_enron_only,SASB-random,random,20260513,8,early,85--98,124,d916c3dd61caf41b334c800d106ee6dce930f82e6d73ac71c07f83db8e865617,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""111"", ""94"", ""60"", ""112"", ""119"", ""65"", ""11"", ""49"", ""24"", ""83"", ""118"", ""6"", ""0"", ""90"", ""86"", ""84"", ""43"", ""120"", ""2"", ""79"", ""30"", ""74"", ""98"", ""21"", ""126"", ""115"", ""85"", ""38"", ""103"", ""105"", ""61"", ""127""]","{""uniform_random"": 32}","{""degree_0_1"": 3, ""degree_2"": 3, ""degree_3_4"": 6, ""degree_5_8"": 3, ""degree_9_plus"": 17}","{""0"": 5, ""1"": 8, ""2"": 4, ""3"": 2, ""4"": 4, ""5"": 4, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,20,14,280,4,0.3076923076923077,472.2729758632272,0.012841091492776886,0.014446227929373997
realworld_completed,ia_enron_only,SASB-random,random,20260513,9,early,7--81,123,eb638ab51fd3d1423aa8fdb02fe91d2cf0cd8e02e584c4022cf19faa157ae95f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""141"", ""9"", ""50"", ""14"", ""57"", ""88"", ""18"", ""53"", ""21"", ""32"", ""81"", ""140"", ""22"", ""127"", ""102"", ""124"", ""0"", ""3"", ""48"", ""75"", ""105"", ""28"", ""80"", ""109"", ""104"", ""39"", ""4"", ""45"", ""110"", ""7"", ""12"", ""97""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 4, ""degree_3_4"": 2, ""degree_5_8"": 7, ""degree_9_plus"": 17}","{""0"": 7, ""1"": 3, ""2"": 2, ""3"": 2, ""4"": 3, ""5"": 10, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,41,4,164,2,0.6666666666666666,554.9719232978279,0.014446227929373997,0.016051364365971106
realworld_completed,ia_enron_only,SASB-random,random,20260513,10,early,37--89,123,8e15a0cd8d70bf71712971fb617dd09d9a87a651f659ae71614ced7f07060c4b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""86"", ""74"", ""5"", ""78"", ""10"", ""36"", ""130"", ""41"", ""106"", ""12"", ""25"", ""61"", ""4"", ""123"", ""15"", ""50"", ""115"", ""34"", ""117"", ""98"", ""139"", ""39"", ""94"", ""122"", ""49"", ""89"", ""51"", ""120"", ""47"", ""101"", ""62"", ""81""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 4, ""degree_3_4"": 4, ""degree_5_8"": 7, ""degree_9_plus"": 16}","{""0"": 7, ""1"": 3, ""2"": 5, ""3"": 8, ""4"": 3, ""5"": 4, ""6"": 2}",1.0,1.0,0.0,1,1,0,1,19,10,190,0,0.0,609.0774206744865,0.016051364365971106,0.01765650080256822
realworld_completed,ia_enron_only,SASB-random,random,20260513,11,early,4--7,123,1f72d9db2b08b7820e5fc8ed5eaefc21f5fa17e7c7fdc507c9ebd0784164c5d6,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""141"", ""10"", ""7"", ""52"", ""96"", ""125"", ""46"", ""100"", ""98"", ""119"", ""74"", ""24"", ""115"", ""120"", ""62"", ""76"", ""48"", ""45"", ""81"", ""110"", ""140"", ""106"", ""122"", ""4"", ""34"", ""124"", ""108"", ""65"", ""1"", ""30"", ""17"", ""132""]","{""uniform_random"": 32}","{""degree_0_1"": 3, ""degree_2"": 3, ""degree_3_4"": 8, ""degree_5_8"": 5, ""degree_9_plus"": 13}","{""0"": 2, ""1"": 3, ""2"": 5, ""3"": 8, ""4"": 5, ""5"": 4, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,9,40,360,4,0.5,624.2799173638754,0.01765650080256822,0.019261637239165328
realworld_completed,ia_enron_only,SASB-random,random,20260513,12,early,25--85,123,365515086c6b79a3c0fd7f9d5c5c383f4bdd8483379f5c0cf8cd3a1979424169,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""126"", ""39"", ""45"", ""26"", ""25"", ""21"", ""121"", ""98"", ""50"", ""99"", ""141"", ""30"", ""115"", ""105"", ""64"", ""8"", ""2"", ""54"", ""13"", ""83"", ""75"", ""114"", ""69"", ""112"", ""36"", ""32"", ""52"", ""119"", ""76"", ""116"", ""94"", ""29""]","{""uniform_random"": 32}","{""degree_2"": 2, ""degree_3_4"": 6, ""degree_5_8"": 6, ""degree_9_plus"": 18}","{""0"": 9, ""1"": 6, ""2"": 5, ""3"": 4, ""4"": 3, ""5"": 2, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,12,19,228,1,0.09090909090909091,497.82728096879765,0.019261637239165328,0.02086677367576244
realworld_completed,ia_enron_only,SASB-random,random,20260513,13,early,75--85,123,d6ec7a0fc48e11eb735896a8bcfc8c7bfdf4caaaa7422dafe68039c4e851303a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""45"", ""111"", ""98"", ""31"", ""12"", ""124"", ""61"", ""127"", ""77"", ""48"", ""46"", ""108"", ""17"", ""38"", ""133"", ""43"", ""64"", ""23"", ""54"", ""115"", ""66"", ""102"", ""84"", ""117"", ""7"", ""135"", ""21"", ""6"", ""5"", ""11"", ""75"", ""18""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 5, ""degree_3_4"": 2, ""degree_5_8"": 5, ""degree_9_plus"": 18}","{""0"": 3, ""1"": 6, ""2"": 7, ""3"": 5, ""4"": 5, ""5"": 2, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,9,18,162,2,0.25,458.70627549458095,0.02086677367576244,0.02247191011235955
realworld_completed,ia_enron_only,SASB-random,random,20260513,14,early,51--85,123,f82ba84feed01ba59b0d227c2d6015f4b5fdf016212618673220cd767450702b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""10"", ""48"", ""46"", ""111"", ""122"", ""99"", ""128"", ""104"", ""117"", ""5"", ""78"", ""100"", ""103"", ""60"", ""1"", ""50"", ""89"", ""21"", ""49"", ""113"", ""27"", ""139"", ""102"", ""138"", ""38"", ""90"", ""136"", ""106"", ""2"", ""72"", ""62"", ""76""]","{""uniform_random"": 32}","{""degree_0_1"": 3, ""degree_2"": 4, ""degree_3_4"": 3, ""degree_5_8"": 9, ""degree_9_plus"": 13}","{""0"": 4, ""1"": 8, ""2"": 4, ""3"": 6, ""4"": 5, ""5"": 2, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,29,17,493,2,0.125,634.1648431797773,0.02247191011235955,0.024077046548956663
realworld_completed,ia_enron_only,SASB-random,random,20260513,15,early,112--132,123,d02669096767cfd2d406b9f3a6694cf8795c51143fd63ae8326aa1d6a2e069bb,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""31"", ""109"", ""28"", ""130"", ""126"", ""93"", ""117"", ""120"", ""4"", ""84"", ""53"", ""69"", ""123"", ""63"", ""68"", ""97"", ""34"", ""46"", ""111"", ""119"", ""132"", ""26"", ""56"", ""92"", ""6"", ""138"", ""15"", ""135"", ""35"", ""62"", ""89"", ""88""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 3, ""degree_3_4"": 5, ""degree_5_8"": 7, ""degree_9_plus"": 15}","{""0"": 5, ""1"": 1, ""2"": 8, ""3"": 6, ""4"": 5, ""5"": 2, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,17,8,136,1,0.14285714285714285,828.3440318251618,0.024077046548956663,0.025682182985553772
realworld_completed,ia_enron_only,SASB-random,random,20260513,16,early,39--67,123,f925d947aa6f765c3a32ff0337d219c1694dc14d8c482672e215511dec5a2191,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""118"", ""51"", ""14"", ""64"", ""133"", ""136"", ""26"", ""87"", ""29"", ""127"", ""135"", ""50"", ""66"", ""31"", ""83"", ""70"", ""115"", ""80"", ""60"", ""117"", ""30"", ""100"", ""47"", ""129"", ""138"", ""42"", ""54"", ""6"", ""121"", ""62"", ""96"", ""103""]","{""uniform_random"": 32}","{""degree_2"": 3, ""degree_3_4"": 5, ""degree_5_8"": 6, ""degree_9_plus"": 18}","{""0"": 3, ""1"": 4, ""2"": 5, ""3"": 7, ""4"": 4, ""5"": 4, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,6,18,108,1,0.2,821.7329379631407,0.025682182985553772,0.027287319422150885
realworld_completed,ia_enron_only,SASB-random,random,20260513,17,early,27--65,123,f3f54c8bfe5886eef6ad90161d99af52a17b0556b5e5c980b17c6d54e243211a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""11"", ""41"", ""42"", ""31"", ""18"", ""30"", ""97"", ""115"", ""27"", ""82"", ""25"", ""65"", ""29"", ""117"", ""60"", ""32"", ""22"", ""37"", ""78"", ""46"", ""54"", ""40"", ""100"", ""106"", ""47"", ""101"", ""135"", ""134"", ""62"", ""53"", ""137"", ""116""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 4, ""degree_3_4"": 6, ""degree_5_8"": 5, ""degree_9_plus"": 15}","{""0"": 3, ""1"": 5, ""2"": 4, ""3"": 7, ""4"": 6, ""5"": 1, ""6"": 6}",1.0,1.0,0.0,1,1,0,0,13,4,52,1,0.3333333333333333,410.6000819530713,0.027287319422150885,0.028892455858747994
realworld_completed,ia_enron_only,SASB-random,random,20260513,18,early,123--137,123,26e535eed003e794993167b67a7f1d1b71530e29c9b3b8a424955e4cf46e38a9,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""109"", ""28"", ""122"", ""37"", ""123"", ""35"", ""24"", ""19"", ""142"", ""80"", ""10"", ""40"", ""119"", ""126"", ""1"", ""104"", ""26"", ""77"", ""33"", ""129"", ""47"", ""76"", ""55"", ""57"", ""63"", ""16"", ""58"", ""36"", ""113"", ""117"", ""11"", ""112""]","{""uniform_random"": 32}","{""degree_2"": 5, ""degree_3_4"": 4, ""degree_5_8"": 7, ""degree_9_plus"": 16}","{""0"": 2, ""1"": 6, ""2"": 4, ""3"": 7, ""4"": 5, ""5"": 4, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,7,23,161,1,0.16666666666666666,417.61067744256894,0.028892455858747994,0.030497592295345103
realworld_completed,ia_enron_only,SASB-random,random,20260513,19,early,85--96,122,40d5ebc095f87252f8648b8d3827a7deec33a7ef5e724aec5205290e7bdb8585,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""137"", ""30"", ""48"", ""115"", ""94"", ""31"", ""11"", ""20"", ""51"", ""139"", ""2"", ""34"", ""136"", ""41"", ""86"", ""104"", ""40"", ""141"", ""96"", ""8"", ""60"", ""85"", ""138"", ""13"", ""111"", ""46"", ""77"", ""35"", ""131"", ""3"", ""81"", ""43""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 5, ""degree_3_4"": 5, ""degree_5_8"": 5, ""degree_9_plus"": 16}","{""0"": 6, ""1"": 4, ""2"": 4, ""3"": 7, ""4"": 4, ""5"": 2, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,16,9,144,0,0.0,555.5792103777003,0.030497592295345103,0.03210272873194221
realworld_completed,ia_enron_only,SASB-random,random,20260513,20,early,114--136,122,734d3cdba2bf6fcc221694caa24d1ae991f0cc8e916cf6852995ff3562a1cce9,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""132"", ""136"", ""12"", ""49"", ""60"", ""1"", ""65"", ""25"", ""90"", ""100"", ""22"", ""69"", ""112"", ""114"", ""30"", ""10"", ""15"", ""37"", ""16"", ""23"", ""55"", ""126"", ""71"", ""68"", ""106"", ""81"", ""59"", ""77"", ""73"", ""96"", ""21"", ""125""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 7, ""degree_5_8"": 8, ""degree_9_plus"": 14}","{""0"": 4, ""1"": 3, ""2"": 6, ""3"": 4, ""4"": 6, ""5"": 5, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,18,5,90,0,0.0,518.0780455837144,0.03210272873194221,0.033707865168539325
realworld_completed,ia_enron_only,SASB-random,random,20260513,21,early,18--73,122,2c048c29cb1d5919aa262080f43eea561505ca5632bc5a080c521d3ec76ce6e7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""91"", ""18"", ""102"", ""139"", ""104"", ""13"", ""39"", ""98"", ""99"", ""40"", ""53"", ""111"", ""105"", ""130"", ""82"", ""96"", ""21"", ""42"", ""89"", ""8"", ""136"", ""62"", ""122"", ""94"", ""110"", ""85"", ""2"", ""0"", ""76"", ""78"", ""127"", ""45""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_2"": 7, ""degree_3_4"": 3, ""degree_5_8"": 8, ""degree_9_plus"": 13}","{""0"": 2, ""1"": 8, ""2"": 2, ""3"": 5, ""4"": 7, ""5"": 7, ""6"": 1}",1.0,1.0,0.0,1,1,0,1,9,14,126,2,0.25,447.5694180545701,0.033707865168539325,0.03531300160513644
realworld_completed,ia_enron_only,SASB-random,random,20260513,22,early,121--133,122,24b40ec980a93e2ec4c1107267dcbbaf6f03991022816ed96f85413e29c66ca8,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""9"", ""24"", ""60"", ""14"", ""36"", ""23"", ""96"", ""114"", ""31"", ""72"", ""116"", ""49"", ""0"", ""115"", ""89"", ""125"", ""90"", ""66"", ""121"", ""88"", ""22"", ""98"", ""28"", ""123"", ""131"", ""46"", ""17"", ""100"", ""126"", ""30"", ""62"", ""64""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 6, ""degree_5_8"": 8, ""degree_9_plus"": 15}","{""0"": 2, ""1"": 7, ""2"": 4, ""3"": 3, ""4"": 3, ""5"": 8, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,12,17,204,1,0.09090909090909091,492.25829433705195,0.03531300160513644,0.03691813804173355
