dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,ia_enron_only,SASB-structured,structured,20260513,0,early,47--68,124,479c947e9cd496a64a9e0018e19d323a86d5bf1fd2493ecc53b630cee0d66dde,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""7"", ""51"", ""85"", ""133"", ""137"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""68"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""84"", ""87"", ""104"", ""47"", ""44"", ""62"", ""122"", ""35"", ""60"", ""91"", ""2"", ""100"", ""66""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 28}","{""0"": 4, ""1"": 6, ""2"": 2, ""3"": 11, ""4"": 1, ""5"": 5, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,9,17,153,0,0.0,1152.9800864820568,0.0,0.0016051364365971107
realworld_completed,ia_enron_only,SASB-structured,structured,20260513,1,early,34--89,124,ddc45d918ef392371fd2d3f06e6118745cf2221ba575f7bdae624239976ac2d4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""7"", ""51"", ""85"", ""133"", ""137"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""117"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""68"", ""84"", ""87"", ""34"", ""6"", ""128"", ""100"", ""22"", ""35"", ""111"", ""18"", ""107"", ""60""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 28}","{""0"": 6, ""1"": 4, ""2"": 2, ""3"": 9, ""4"": 1, ""5"": 6, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,9,11,99,0,0.0,1133.918246401895,0.0016051364365971107,0.0032102728731942215
realworld_completed,ia_enron_only,SASB-structured,structured,20260513,2,early,30--57,124,aea9a46409481f224c6091dd4926b44cdf1beac753838e05e23d23c79317cd9a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""7"", ""51"", ""85"", ""133"", ""137"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""117"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""68"", ""84"", ""87"", ""126"", ""22"", ""129"", ""2"", ""140"", ""60"", ""46"", ""109"", ""111"", ""63""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 5, ""1"": 5, ""2"": 1, ""3"": 10, ""4"": 3, ""5"": 4, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,5,14,70,0,0.0,1445.5679791290713,0.0032102728731942215,0.004815409309791332
realworld_completed,ia_enron_only,SASB-structured,structured,20260513,3,early,33--39,124,a41663449322f520a4ff77b989006752142721cbb4cba8a9fcefadf3839a5d78,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""7"", ""51"", ""85"", ""133"", ""137"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""117"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""68"", ""84"", ""87"", ""126"", ""139"", ""82"", ""20"", ""49"", ""36"", ""23"", ""62"", ""102"", ""33""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 3, ""1"": 6, ""2"": 2, ""3"": 9, ""4"": 2, ""5"": 6, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,6,7,42,1,0.2,1190.2569992990523,0.004815409309791332,0.006420545746388443
realworld_completed,ia_enron_only,SASB-structured,structured,20260513,4,early,51--85,124,a0dc4c2cf178686a9355260cba654e9aa310dee58fc860ffa74b497178401cb7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""7"", ""51"", ""85"", ""133"", ""137"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""117"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""68"", ""84"", ""87"", ""126"", ""55"", ""136"", ""46"", ""2"", ""14"", ""111"", ""56"", ""102"", ""33""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_5_8"": 5, ""degree_9_plus"": 25}","{""0"": 4, ""1"": 5, ""2"": 2, ""3"": 10, ""4"": 3, ""5"": 4, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,30,20,600,5,0.2631578947368421,622.2959029758329,0.006420545746388443,0.008025682182985553
realworld_completed,ia_enron_only,SASB-structured,structured,20260513,5,early,85--96,124,34832fe0fd4f001829662e7b350f27e558dc7db46350643a3e80bbaa9dae55fd,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""7"", ""51"", ""85"", ""133"", ""137"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""117"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""68"", ""84"", ""87"", ""126"", ""121"", ""64"", ""96"", ""13"", ""15"", ""21"", ""38"", ""131"", ""102""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 29}","{""0"": 4, ""1"": 6, ""2"": 1, ""3"": 9, ""4"": 2, ""5"": 5, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,19,9,171,2,0.25,420.3053001705853,0.008025682182985553,0.009630818619582664
realworld_completed,ia_enron_only,SASB-structured,structured,20260513,6,early,25--85,124,230a4f934312d51b16bb6820df56bfe1986f3907935c29e33c84e1425b7966e7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""7"", ""51"", ""133"", ""137"", ""85"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""117"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""68"", ""84"", ""87"", ""126"", ""66"", ""56"", ""25"", ""34"", ""0"", ""9"", ""48"", ""59"", ""19""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 27}","{""0"": 6, ""1"": 4, ""2"": 2, ""3"": 9, ""4"": 2, ""5"": 5, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,12,18,216,1,0.09090909090909091,418.082455373908,0.009630818619582664,0.011235955056179775
realworld_completed,ia_enron_only,SASB-structured,structured,20260513,7,early,85--98,124,35948edb4e31fde4c371211923217417fd8e07ae40809dd054c8168ab5ac80ad,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""7"", ""51"", ""133"", ""137"", ""85"", ""80"", ""114"", ""112"", ""28"", ""26"", ""73"", ""117"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""68"", ""84"", ""87"", ""126"", ""76"", ""31"", ""79"", ""134"", ""119"", ""23"", ""72"", ""9"", ""24""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_0_1"": 2, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 25}","{""0"": 5, ""1"": 5, ""2"": 3, ""3"": 8, ""4"": 3, ""5"": 4, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,17,14,238,1,0.07692307692307693,446.4403504523977,0.011235955056179775,0.012841091492776886
realworld_completed,ia_enron_only,SASB-structured,structured,20260513,8,early,7--88,124,70f8f161bc588292e2de72edef40ad2a3e933cf6bcd89e8a45829b5d46228ff4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""7"", ""51"", ""133"", ""137"", ""80"", ""114"", ""112"", ""28"", ""85"", ""26"", ""73"", ""117"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""68"", ""84"", ""87"", ""126"", ""141"", ""91"", ""124"", ""40"", ""13"", ""101"", ""128"", ""82"", ""88""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 26}","{""0"": 4, ""1"": 6, ""2"": 2, ""3"": 8, ""4"": 1, ""5"": 6, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,42,9,378,5,0.625,436.3258684394811,0.012841091492776886,0.014446227929373997
realworld_completed,ia_enron_only,SASB-structured,structured,20260513,9,early,7--81,123,12874313e117e5abcc1b2e691a3ea7fb056f10fdedfec33f2a588e8d3db1cb8e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""7"", ""51"", ""133"", ""137"", ""80"", ""114"", ""112"", ""28"", ""85"", ""26"", ""73"", ""117"", ""37"", ""67"", ""41"", ""54"", ""106"", ""108"", ""53"", ""68"", ""84"", ""87"", ""126"", ""128"", ""5"", ""81"", ""104"", ""77"", ""129"", ""63"", ""131"", ""52""]","{""boundary"": 12, ""community_rep"": 1, ""degree_core"": 10, ""random_fill"": 9}","{""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 3, ""1"": 4, ""2"": 3, ""3"": 11, ""4"": 1, ""5"": 4, ""6"": 6}",1.0,1.0,0.0,1,1,0,1,41,4,164,2,0.6666666666666666,549.5285007094943,0.014446227929373997,0.016051364365971106
