dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,ia_infect_dublin,SASB-matched,matched,20260513,0,early,194--228,317,cd79996a3fabfb57c370ea75abc904d5a8ad1370cc414328c09f0169b4aa7ca0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""24"", ""243"", ""14"", ""389"", ""137"", ""211"", ""59"", ""358"", ""363"", ""156"", ""86"", ""37"", ""191"", ""213"", ""92"", ""23"", ""127"", ""18"", ""372"", ""189"", ""112"", ""203"", ""362"", ""46"", ""321"", ""126"", ""121"", ""22"", ""221"", ""113"", ""2"", ""167""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 27}","{""0"": 3, ""1"": 5, ""2"": 4, ""3"": 6, ""4"": 5, ""5"": 5, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,30,47,1410,2,0.06896551724137931,15906.345629181435,0.0,0.0003616636528028933
realworld_completed,ia_infect_dublin,SASB-matched,matched,20260513,1,early,160--212,317,74f2d5064a1c86952feeaf2e2bc6314b53a3dec8b6d89c28191dae0f4528eb03,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""218"", ""118"", ""206"", ""87"", ""173"", ""85"", ""397"", ""325"", ""113"", ""102"", ""400"", ""37"", ""403"", ""372"", ""19"", ""239"", ""17"", ""151"", ""111"", ""13"", ""367"", ""271"", ""309"", ""236"", ""389"", ""80"", ""262"", ""349"", ""248"", ""301"", ""274"", ""336""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 1, ""1"": 5, ""2"": 5, ""3"": 8, ""4"": 5, ""5"": 5, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,26,25,650,2,0.08333333333333333,6722.471112213831,0.0003616636528028933,0.0007233273056057866
realworld_completed,ia_infect_dublin,SASB-matched,matched,20260513,2,early,194--260,317,eb5123fa468142e92c2af2192b3ea3249d3eaab1f9927114e14d3be75e3ad4d8,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""112"", ""358"", ""243"", ""173"", ""375"", ""199"", ""226"", ""29"", ""385"", ""107"", ""279"", ""119"", ""291"", ""339"", ""280"", ""127"", ""185"", ""230"", ""96"", ""372"", ""304"", ""92"", ""28"", ""41"", ""201"", ""30"", ""129"", ""134"", ""292"", ""168"", ""190"", ""270""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 29}","{""0"": 2, ""1"": 5, ""2"": 5, ""3"": 8, ""4"": 5, ""5"": 4, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,29,33,957,2,0.07142857142857142,9842.087980211476,0.0007233273056057866,0.00108499095840868
realworld_completed,ia_infect_dublin,SASB-matched,matched,20260513,3,early,219--228,317,d0eb3ee2182bc9fe1933b7eb9fa9172dd2f0afcc76bb74068f5b64a1088bfbb9,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""24"", ""131"", ""118"", ""301"", ""26"", ""58"", ""361"", ""99"", ""391"", ""334"", ""153"", ""212"", ""369"", ""13"", ""271"", ""123"", ""89"", ""381"", ""292"", ""136"", ""290"", ""141"", ""28"", ""199"", ""124"", ""321"", ""148"", ""342"", ""17"", ""307"", ""326"", ""190""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_2"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 30}","{""0"": 2, ""1"": 4, ""2"": 4, ""3"": 7, ""4"": 6, ""5"": 4, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,17,46,782,4,0.25,8993.472557731999,0.00108499095840868,0.0014466546112115732
realworld_completed,ia_infect_dublin,SASB-matched,matched,20260513,4,early,160--194,317,974bb0cf4eabbf77530511b0a20f0922da011df0d17d67264809fc51fef11d72,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""35"", ""275"", ""95"", ""7"", ""106"", ""259"", ""73"", ""14"", ""149"", ""334"", ""351"", ""156"", ""198"", ""111"", ""136"", ""147"", ""29"", ""292"", ""130"", ""372"", ""262"", ""163"", ""220"", ""121"", ""5"", ""85"", ""40"", ""320"", ""356"", ""394"", ""89"", ""352""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 28}","{""0"": 2, ""1"": 4, ""2"": 4, ""3"": 7, ""4"": 7, ""5"": 5, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,25,28,700,1,0.041666666666666664,6939.894423723755,0.0014466546112115732,0.0018083182640144665
realworld_completed,ia_infect_dublin,SASB-matched,matched,20260513,5,early,104--194,317,eedccb9607081df9793aadb756182b5019611abcf6a54746d93b710cef000e20,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""304"", ""169"", ""351"", ""353"", ""156"", ""58"", ""170"", ""260"", ""215"", ""299"", ""99"", ""391"", ""254"", ""92"", ""392"", ""318"", ""23"", ""93"", ""296"", ""96"", ""44"", ""111"", ""63"", ""128"", ""348"", ""182"", ""181"", ""363"", ""89"", ""180"", ""307"", ""38""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_5_8"": 3, ""degree_9_plus"": 29}","{""0"": 1, ""1"": 6, ""2"": 5, ""3"": 6, ""4"": 7, ""5"": 4, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,28,27,756,6,0.23076923076923078,6868.239361454147,0.0018083182640144665,0.00216998191681736
realworld_completed,ia_infect_dublin,SASB-matched,matched,20260513,6,early,194--203,317,fa98d244bc6fbc9de6de9fce8813e66357b754a0442b72fd9312eb1825007c6e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""88"", ""389"", ""34"", ""205"", ""56"", ""332"", ""310"", ""123"", ""385"", ""102"", ""14"", ""119"", ""198"", ""382"", ""151"", ""118"", ""76"", ""230"", ""138"", ""136"", ""290"", ""380"", ""220"", ""390"", ""130"", ""125"", ""183"", ""68"", ""77"", ""95"", ""126"", ""384""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_2"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 28}","{""0"": 3, ""1"": 4, ""2"": 3, ""3"": 6, ""4"": 6, ""5"": 5, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,26,34,884,4,0.16,5552.5109754040195,0.00216998191681736,0.002531645569620253
realworld_completed,ia_infect_dublin,SASB-matched,matched,20260513,7,early,160--228,316,1b3f8c1e31c42970f61717b8a74a14a708acc6b358a2f6682a3e5c0410e2373d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""401"", ""283"", ""209"", ""295"", ""56"", ""326"", ""97"", ""180"", ""294"", ""0"", ""365"", ""206"", ""369"", ""339"", ""138"", ""86"", ""76"", ""96"", ""356"", ""345"", ""158"", ""205"", ""63"", ""258"", ""46"", ""20"", ""79"", ""94"", ""29"", ""362"", ""47"", ""325""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 4, ""2"": 2, ""3"": 6, ""4"": 8, ""5"": 5, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,24,45,1080,2,0.08695652173913043,7449.304253101642,0.002531645569620253,0.0028933092224231465
realworld_completed,ia_infect_dublin,SASB-matched,matched,20260513,8,early,194--339,316,486a491a0241ae80b0888c8bcf74cc2365004678299c741a26ed70bab6f2713b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""176"", ""307"", ""76"", ""357"", ""252"", ""73"", ""161"", ""365"", ""212"", ""156"", ""99"", ""177"", ""369"", ""204"", ""130"", ""123"", ""318"", ""345"", ""296"", ""330"", ""81"", ""389"", ""220"", ""164"", ""251"", ""61"", ""152"", ""300"", ""37"", ""193"", ""279"", ""336""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 1, ""degree_3_4"": 1, ""degree_9_plus"": 30}","{""0"": 1, ""1"": 5, ""2"": 6, ""3"": 5, ""4"": 6, ""5"": 6, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,25,15,375,1,0.07142857142857142,5252.33178997869,0.0028933092224231465,0.0032549728752260397
realworld_completed,ia_infect_dublin,SASB-matched,matched,20260513,9,early,155--194,316,b84244d4422a6d36b742f7f454e1a6826b139a6f0a138108463fec29e4cf8d3a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""98"", ""353"", ""53"", ""389"", ""0"", ""97"", ""211"", ""95"", ""7"", ""393"", ""99"", ""243"", ""25"", ""372"", ""93"", ""209"", ""185"", ""155"", ""19"", ""18"", ""197"", ""214"", ""63"", ""159"", ""169"", ""43"", ""406"", ""106"", ""216"", ""126"", ""80"", ""115""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_2"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 28}","{""0"": 1, ""1"": 5, ""2"": 4, ""3"": 5, ""4"": 5, ""5"": 6, ""6"": 6}",1.0,1.0,0.0,1,1,0,1,25,24,600,4,0.17391304347826086,9185.555937577516,0.0032549728752260397,0.003616636528028933
