dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,ia_infect_dublin,SASB-random,random,20260513,0,early,194--228,317,cd79996a3fabfb57c370ea75abc904d5a8ad1370cc414328c09f0169b4aa7ca0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""216"", ""149"", ""352"", ""207"", ""267"", ""206"", ""209"", ""4"", ""392"", ""173"", ""406"", ""50"", ""373"", ""78"", ""17"", ""59"", ""282"", ""289"", ""200"", ""369"", ""230"", ""284"", ""270"", ""85"", ""377"", ""291"", ""268"", ""80"", ""245"", ""303"", ""365"", ""242""]","{""uniform_random"": 32}","{""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 7, ""degree_9_plus"": 23}","{""0"": 2, ""1"": 6, ""2"": 5, ""3"": 4, ""4"": 3, ""5"": 10, ""6"": 2}",1.0,1.0,0.0,1,1,0,1,30,47,1410,2,0.06896551724137931,11957.10262979991,0.0,0.0003616636528028933
realworld_completed,ia_infect_dublin,SASB-random,random,20260513,1,early,160--194,317,74f2d5064a1c86952feeaf2e2bc6314b53a3dec8b6d89c28191dae0f4528eb03,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""26"", ""59"", ""389"", ""235"", ""148"", ""387"", ""172"", ""240"", ""319"", ""187"", ""279"", ""193"", ""378"", ""382"", ""135"", ""227"", ""104"", ""108"", ""154"", ""77"", ""327"", ""332"", ""25"", ""381"", ""176"", ""35"", ""128"", ""369"", ""12"", ""98"", ""111"", ""189""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 25}","{""0"": 1, ""2"": 8, ""3"": 5, ""4"": 3, ""5"": 7, ""6"": 8}",1.0,1.0,0.0,1,1,0,1,26,29,754,2,0.08,6497.2015964951615,0.0003616636528028933,0.0007233273056057866
realworld_completed,ia_infect_dublin,SASB-random,random,20260513,2,early,160--212,317,fb51c11352f0999721d11d558f210aabf601ab92179266daf95fe6da7fcbea3b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""165"", ""407"", ""260"", ""246"", ""339"", ""335"", ""394"", ""25"", ""40"", ""112"", ""201"", ""17"", ""91"", ""291"", ""312"", ""173"", ""274"", ""392"", ""33"", ""101"", ""28"", ""316"", ""284"", ""387"", ""393"", ""365"", ""256"", ""79"", ""45"", ""243"", ""66"", ""99""]","{""uniform_random"": 32}","{""degree_2"": 1, ""degree_5_8"": 10, ""degree_9_plus"": 21}","{""0"": 1, ""1"": 3, ""2"": 4, ""3"": 3, ""4"": 5, ""5"": 8, ""6"": 8}",1.0,1.0,0.0,1,1,0,1,25,25,625,1,0.041666666666666664,8836.142612696623,0.0007233273056057866,0.00108499095840868
realworld_completed,ia_infect_dublin,SASB-random,random,20260513,3,early,219--228,317,221c10dc390965f9307189467b9ee2544eb2ebe04855cd9ad798ef0ddb3adcca,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""119"", ""206"", ""364"", ""278"", ""112"", ""390"", ""311"", ""306"", ""274"", ""391"", ""333"", ""91"", ""365"", ""132"", ""214"", ""116"", ""249"", ""114"", ""46"", ""47"", ""259"", ""367"", ""362"", ""163"", ""265"", ""407"", ""55"", ""129"", ""35"", ""147"", ""130"", ""232""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 3, ""degree_9_plus"": 22}","{""0"": 3, ""1"": 5, ""2"": 4, ""3"": 7, ""4"": 4, ""5"": 3, ""6"": 6}",1.0,1.0,0.0,1,1,0,1,17,46,782,4,0.25,6894.726424991224,0.00108499095840868,0.0014466546112115732
realworld_completed,ia_infect_dublin,SASB-random,random,20260513,4,early,194--260,317,59012e5697c5942cdab5b37cc007f0f24e541f7a38a3da8c3ecd0e97a9604fd9,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""244"", ""179"", ""362"", ""269"", ""7"", ""139"", ""182"", ""159"", ""169"", ""221"", ""51"", ""283"", ""68"", ""46"", ""338"", ""111"", ""311"", ""363"", ""92"", ""17"", ""134"", ""323"", ""105"", ""399"", ""137"", ""235"", ""355"", ""231"", ""83"", ""330"", ""354"", ""52""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 7, ""degree_9_plus"": 18}","{""0"": 3, ""1"": 3, ""2"": 7, ""3"": 5, ""4"": 2, ""5"": 7, ""6"": 5}",1.0,1.0,0.0,1,1,0,1,28,33,924,2,0.07407407407407407,7417.457256471768,0.0014466546112115732,0.0018083182640144665
realworld_completed,ia_infect_dublin,SASB-random,random,20260513,5,early,104--228,317,eedccb9607081df9793aadb756182b5019611abcf6a54746d93b710cef000e20,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""309"", ""5"", ""240"", ""396"", ""122"", ""95"", ""272"", ""310"", ""224"", ""335"", ""359"", ""120"", ""329"", ""247"", ""372"", ""268"", ""319"", ""155"", ""72"", ""397"", ""3"", ""84"", ""138"", ""28"", ""333"", ""251"", ""38"", ""289"", ""7"", ""83"", ""194"", ""18""]","{""uniform_random"": 32}","{""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 11, ""degree_9_plus"": 16}","{""0"": 5, ""1"": 6, ""2"": 2, ""3"": 6, ""4"": 2, ""5"": 4, ""6"": 7}",1.0,1.0,0.0,1,1,0,1,28,45,1260,1,0.037037037037037035,8354.055186548689,0.0018083182640144665,0.00216998191681736
realworld_completed,ia_infect_dublin,SASB-random,random,20260513,6,early,160--228,317,00fe08fda30b5440f106f627d0edd290d73f8d1c6bb2c236bd03a6f1a10ac554,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""43"", ""44"", ""29"", ""128"", ""240"", ""151"", ""173"", ""406"", ""185"", ""172"", ""397"", ""214"", ""367"", ""369"", ""93"", ""141"", ""72"", ""386"", ""56"", ""2"", ""329"", ""89"", ""198"", ""143"", ""100"", ""263"", ""261"", ""216"", ""40"", ""110"", ""14"", ""242""]","{""uniform_random"": 32}","{""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 4, ""degree_9_plus"": 24}","{""0"": 3, ""1"": 3, ""2"": 5, ""3"": 3, ""4"": 4, ""5"": 8, ""6"": 6}",1.0,1.0,0.0,1,1,0,1,24,44,1056,2,0.08695652173913043,6595.7490680754445,0.00216998191681736,0.002531645569620253
realworld_completed,ia_infect_dublin,SASB-random,random,20260513,7,early,22--64,316,b159a32ce73debd3845cc492f0a9aad085254100f266289c897c2e40da214658,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""92"", ""111"", ""379"", ""218"", ""77"", ""16"", ""141"", ""24"", ""200"", ""145"", ""39"", ""236"", ""371"", ""17"", ""313"", ""359"", ""163"", ""29"", ""51"", ""302"", ""22"", ""18"", ""160"", ""188"", ""185"", ""312"", ""343"", ""117"", ""30"", ""378"", ""310"", ""27""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 8, ""degree_9_plus"": 21}","{""0"": 2, ""1"": 1, ""2"": 6, ""3"": 8, ""4"": 4, ""5"": 2, ""6"": 9}",1.0,1.0,0.0,1,1,0,1,6,50,300,1,0.2,6413.6026340759145,0.002531645569620253,0.0028933092224231465
realworld_completed,ia_infect_dublin,SASB-random,random,20260513,8,early,162--205,316,3233f6b3d2f8e5679e72636a2397f661a127db791f3e5a10adb565107044c8b7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""124"", ""373"", ""216"", ""221"", ""229"", ""208"", ""255"", ""16"", ""111"", ""360"", ""162"", ""390"", ""370"", ""239"", ""306"", ""127"", ""153"", ""326"", ""68"", ""231"", ""266"", ""109"", ""259"", ""186"", ""21"", ""372"", ""345"", ""279"", ""166"", ""82"", ""395"", ""198""]","{""uniform_random"": 32}","{""degree_3_4"": 2, ""degree_5_8"": 7, ""degree_9_plus"": 23}","{""0"": 1, ""1"": 1, ""2"": 9, ""3"": 4, ""4"": 5, ""5"": 3, ""6"": 9}",1.0,1.0,0.0,1,1,0,1,12,16,192,2,0.18181818181818182,7197.991443901831,0.0028933092224231465,0.0032549728752260397
realworld_completed,ia_infect_dublin,SASB-random,random,20260513,9,early,194--339,316,866dcc6ffc352fc6c35b818a177ded2fce27ea36a4d98251e0f8c2565ba7b3f0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""287"", ""63"", ""237"", ""187"", ""384"", ""194"", ""261"", ""112"", ""165"", ""318"", ""110"", ""60"", ""323"", ""181"", ""350"", ""295"", ""381"", ""258"", ""162"", ""270"", ""49"", ""119"", ""263"", ""254"", ""25"", ""393"", ""131"", ""95"", ""268"", ""340"", ""153"", ""372""]","{""uniform_random"": 32}","{""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 4, ""degree_9_plus"": 23}","{""0"": 3, ""1"": 5, ""2"": 5, ""3"": 6, ""4"": 3, ""5"": 4, ""6"": 6}",1.0,1.0,0.0,1,1,0,1,27,15,405,3,0.21428571428571427,7715.807631172607,0.0032549728752260397,0.003616636528028933
