dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,0,early,3--35,222,2f5c51dd9ae772fe9b6e0dc8eef585b6c40eb44c0b601fc351a8edd60aa2279a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""4"", ""92"", ""102"", ""76"", ""64"", ""66"", ""80"", ""78"", ""96"", ""42"", ""18"", ""60"", ""88"", ""3"", ""109"", ""24"", ""2"", ""87"", ""110"", ""75"", ""57"", ""65"", ""27"", ""50"", ""10"", ""37"", ""19"", ""53"", ""1"", ""33"", ""51"", ""90""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 6, ""1"": 7, ""2"": 6, ""3"": 8, ""4"": 1, ""5"": 4}",1.0,1.0,0.0,1,1,0,1,12,98,1176,10,0.9090909090909091,84.2931125161388,0.0,0.0004553734061930783
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,1,early,35--90,222,55673e4889dc15c45fdff0064f6d76eb17a637ed3bd2fb57f0a5ce16c394f54a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""51"", ""1"", ""97"", ""3"", ""80"", ""63"", ""43"", ""41"", ""99"", ""17"", ""6"", ""12"", ""62"", ""91"", ""61"", ""66"", ""9"", ""14"", ""90"", ""107"", ""35"", ""100"", ""59"", ""64"", ""85"", ""82"", ""69"", ""26"", ""111"", ""81"", ""10"", ""22""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 10, ""1"": 3, ""2"": 6, ""3"": 7, ""4"": 2, ""5"": 4}",1.0,1.0,0.0,1,1,0,1,97,16,1552,15,1.0,67.38985241904705,0.0004553734061930783,0.0009107468123861566
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,2,early,35--81,222,c9e184a8936fe2207f1798eb054a97f9a24dc3e0e7776e76a41fede36626770e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""82"", ""81"", ""14"", ""50"", ""37"", ""2"", ""73"", ""84"", ""35"", ""70"", ""49"", ""43"", ""57"", ""64"", ""79"", ""25"", ""58"", ""40"", ""34"", ""13"", ""36"", ""93"", ""30"", ""22"", ""24"", ""28"", ""42"", ""109"", ""107"", ""90"", ""78"", ""41""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_9_plus"": 31}","{""0"": 9, ""1"": 7, ""2"": 6, ""3"": 3, ""4"": 5, ""5"": 2}",1.0,1.0,0.0,1,1,0,1,96,27,2592,25,0.9615384615384616,53.490452971637815,0.0009107468123861566,0.001366120218579235
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,3,early,13--38,222,9b328db29484d856c89b3cd39a74b2526a1c02f5774b68b5743b5ff34a22bcea,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""48"", ""15"", ""32"", ""84"", ""44"", ""107"", ""71"", ""105"", ""111"", ""76"", ""60"", ""94"", ""79"", ""30"", ""42"", ""59"", ""63"", ""67"", ""73"", ""64"", ""103"", ""18"", ""38"", ""109"", ""23"", ""86"", ""92"", ""10"", ""108"", ""16"", ""22"", ""3""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_9_plus"": 31}","{""0"": 5, ""1"": 7, ""2"": 5, ""3"": 7, ""4"": 3, ""5"": 5}",1.0,1.0,0.0,1,1,0,1,69,13,897,8,0.6666666666666666,52.3899146272634,0.001366120218579235,0.0018214936247723133
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,4,early,12--35,222,864241dc8efb2c1220f3ce0ca712bdf72bbaa9aa7ee227b3698c078f4e0390eb,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""110"", ""80"", ""78"", ""68"", ""49"", ""96"", ""24"", ""50"", ""9"", ""77"", ""33"", ""53"", ""27"", ""60"", ""15"", ""41"", ""7"", ""112"", ""71"", ""107"", ""94"", ""108"", ""102"", ""29"", ""12"", ""54"", ""37"", ""87"", ""67"", ""30"", ""76"", ""104""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 6, ""1"": 7, ""2"": 7, ""3"": 4, ""4"": 4, ""5"": 4}",1.0,1.0,0.0,1,1,0,1,22,95,2090,19,0.9047619047619048,54.54019838668273,0.0018214936247723133,0.002276867030965392
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,5,early,19--35,222,ad0cfcfb33e522706278fa77b8233d7f63719f1dfa94ec832bcad29c1dc89a69,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""49"", ""85"", ""90"", ""9"", ""105"", ""77"", ""5"", ""20"", ""84"", ""97"", ""45"", ""98"", ""59"", ""15"", ""8"", ""78"", ""103"", ""76"", ""1"", ""27"", ""66"", ""54"", ""96"", ""44"", ""38"", ""42"", ""111"", ""107"", ""86"", ""10"", ""110"", ""19""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_9_plus"": 31}","{""0"": 6, ""1"": 4, ""2"": 6, ""3"": 9, ""4"": 1, ""5"": 6}",1.0,1.0,0.0,1,1,0,1,27,94,2538,22,0.8461538461538461,46.66826597566601,0.002276867030965392,0.00273224043715847
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,6,early,37--44,222,6e289321ec8cafddc9c0eb71c9b8b81bc46ea8b20ad9960e27a189cb49cefd9a,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""93"", ""37"", ""32"", ""43"", ""57"", ""15"", ""73"", ""16"", ""8"", ""112"", ""65"", ""75"", ""50"", ""13"", ""10"", ""3"", ""24"", ""70"", ""51"", ""25"", ""55"", ""23"", ""68"", ""20"", ""100"", ""28"", ""59"", ""109"", ""67"", ""89"", ""44"", ""58""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 5, ""1"": 7, ""2"": 5, ""3"": 6, ""4"": 4, ""5"": 5}",1.0,1.0,0.0,1,1,0,1,17,82,1394,12,0.75,52.05377761456692,0.00273224043715847,0.0031876138433515485
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,7,early,12--49,222,d1869a4564645418ebbdd1e001bf76c35820ec098732cac98d8cc9cce61aa03c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1"", ""45"", ""15"", ""27"", ""112"", ""16"", ""41"", ""105"", ""102"", ""109"", ""12"", ""19"", ""4"", ""65"", ""32"", ""57"", ""97"", ""101"", ""17"", ""79"", ""87"", ""104"", ""99"", ""100"", ""0"", ""91"", ""60"", ""22"", ""36"", ""56"", ""44"", ""30""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 6, ""1"": 9, ""2"": 4, ""3"": 7, ""4"": 3, ""5"": 3}",1.0,1.0,0.0,1,1,0,0,21,82,1722,15,0.75,49.929743343172106,0.0031876138433515485,0.0036429872495446266
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,8,early,35--68,222,7e3d7674f5c118ec57129f7f1b763f29bd4b6bff343791e49e01d516a88d2134,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""69"", ""4"", ""68"", ""86"", ""54"", ""79"", ""23"", ""37"", ""5"", ""92"", ""112"", ""76"", ""78"", ""34"", ""102"", ""82"", ""46"", ""17"", ""83"", ""28"", ""63"", ""41"", ""35"", ""24"", ""81"", ""45"", ""73"", ""72"", ""110"", ""65"", ""19"", ""49""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 8, ""1"": 7, ""2"": 6, ""3"": 5, ""4"": 4, ""5"": 2}",1.0,1.0,0.0,1,1,0,1,93,22,2046,19,0.9047619047619048,53.76581142074974,0.0036429872495446266,0.004098360655737705
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,9,early,59--90,222,18342c8b32ca2f0ec36cb0c64cee029ec8a313096e0d4f4f7fb34f7e8b0dcf2d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""71"", ""76"", ""96"", ""90"", ""35"", ""53"", ""13"", ""103"", ""89"", ""100"", ""19"", ""75"", ""23"", ""43"", ""104"", ""12"", ""41"", ""34"", ""31"", ""4"", ""54"", ""46"", ""44"", ""47"", ""42"", ""67"", ""107"", ""58"", ""87"", ""56"", ""69"", ""95""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 4, ""1"": 10, ""2"": 4, ""3"": 2, ""4"": 5, ""5"": 7}",1.0,1.0,0.0,1,1,0,1,61,15,915,8,0.5714285714285714,45.79790092586001,0.004098360655737705,0.004553734061930784
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,10,early,35--93,222,ae39820a3d173b13e3116edbf657eaf991217833167cdad8287ebe6c1e2bc280,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""0"", ""47"", ""7"", ""97"", ""53"", ""33"", ""43"", ""86"", ""6"", ""87"", ""10"", ""84"", ""93"", ""100"", ""26"", ""101"", ""88"", ""76"", ""71"", ""30"", ""96"", ""102"", ""94"", ""41"", ""39"", ""52"", ""89"", ""82"", ""32"", ""58"", ""18"", ""78""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_9_plus"": 31}","{""0"": 12, ""1"": 8, ""2"": 8, ""3"": 4}",1.0,1.0,0.0,1,1,0,1,92,32,2944,27,0.8709677419354839,37.15431872086266,0.004553734061930784,0.005009107468123861
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,11,early,8--90,221,3d86ea2cd7d4b201fd997cd1a2eb0227c219d318c4e21473d380bf66e2b50d70,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""90"", ""74"", ""38"", ""66"", ""81"", ""87"", ""3"", ""8"", ""47"", ""1"", ""33"", ""70"", ""63"", ""49"", ""2"", ""55"", ""28"", ""29"", ""13"", ""39"", ""56"", ""88"", ""40"", ""80"", ""34"", ""76"", ""50"", ""9"", ""112"", ""110"", ""24"", ""31""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 8, ""1"": 9, ""2"": 7, ""3"": 8}",1.0,1.0,0.0,1,1,0,1,66,14,924,7,0.5384615384615384,56.69818003421016,0.005009107468123861,0.00546448087431694
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,12,early,35--72,221,745594d1a14ce191d71fdf1666f42b74f6bfefdf65373d2a77fdba3f63abc6c3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""83"", ""66"", ""46"", ""98"", ""2"", ""29"", ""4"", ""70"", ""64"", ""31"", ""89"", ""11"", ""112"", ""49"", ""85"", ""72"", ""6"", ""37"", ""23"", ""67"", ""111"", ""80"", ""88"", ""103"", ""19"", ""28"", ""25"", ""106"", ""87"", ""14"", ""86"", ""0""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 11, ""1"": 5, ""2"": 9, ""3"": 7}",1.0,1.0,0.0,1,1,0,1,91,28,2548,23,0.8518518518518519,39.76248448932806,0.00546448087431694,0.005919854280510018
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,13,early,49--93,221,2f803fdbbb4ad589fe226e164f4cf64b6c2ee3079c1dd44a27b49ec1592cb022,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""36"", ""34"", ""103"", ""93"", ""89"", ""86"", ""75"", ""107"", ""27"", ""4"", ""66"", ""100"", ""42"", ""59"", ""101"", ""16"", ""65"", ""15"", ""14"", ""74"", ""79"", ""44"", ""112"", ""99"", ""69"", ""82"", ""110"", ""50"", ""56"", ""87"", ""71"", ""24""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 5, ""1"": 8, ""2"": 11, ""3"": 8}",1.0,1.0,0.0,1,1,0,1,81,31,2511,25,0.8333333333333334,29.482592222417004,0.005919854280510018,0.006375227686703097
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,14,early,44--68,221,e80f6086e59fb11c0c6ccafaa23b3bb625a53c6a75bbc33de98d9eaea09b3643,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""55"", ""104"", ""42"", ""108"", ""35"", ""33"", ""112"", ""65"", ""1"", ""3"", ""63"", ""18"", ""80"", ""85"", ""62"", ""20"", ""34"", ""83"", ""68"", ""111"", ""102"", ""46"", ""90"", ""6"", ""52"", ""100"", ""43"", ""79"", ""15"", ""26"", ""82"", ""67""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 9, ""1"": 8, ""2"": 6, ""3"": 9}",1.0,1.0,0.0,1,1,0,1,81,21,1701,17,0.85,43.714823505715756,0.006375227686703097,0.006830601092896175
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,15,early,39--68,221,8ea14b1c3cecd63ee1137d43a8a1b55332242d802f403763b80bdfd1b36badeb,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""32"", ""24"", ""74"", ""42"", ""21"", ""90"", ""107"", ""103"", ""8"", ""79"", ""40"", ""71"", ""51"", ""28"", ""29"", ""110"", ""87"", ""64"", ""6"", ""11"", ""16"", ""63"", ""92"", ""31"", ""68"", ""44"", ""69"", ""77"", ""0"", ""93"", ""83"", ""66""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 5, ""1"": 11, ""2"": 9, ""3"": 7}",1.0,1.0,0.0,1,1,0,1,79,20,1580,14,0.7368421052631579,46.352438507217904,0.006830601092896175,0.007285974499089253
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,16,early,29--44,221,f910a28c8c277f48caab0bd097f112eadcbdf2167059f8d3d55cfb24fa8d8125,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""92"", ""27"", ""100"", ""69"", ""29"", ""98"", ""7"", ""71"", ""93"", ""31"", ""84"", ""63"", ""76"", ""89"", ""44"", ""60"", ""103"", ""28"", ""30"", ""53"", ""110"", ""39"", ""86"", ""94"", ""6"", ""26"", ""77"", ""14"", ""25"", ""64"", ""0"", ""99""]","{""uniform_random"": 32}","{""degree_0_1"": 1, ""degree_9_plus"": 31}","{""0"": 9, ""1"": 6, ""2"": 9, ""3"": 8}",1.0,1.0,0.0,1,1,0,1,28,80,2240,20,0.7407407407407407,35.247470356028096,0.007285974499089253,0.007741347905282332
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,17,early,4--68,221,522d51f91e6a9f27764118e027371246cbd3f3e772e5e5c62a9eb9c2c514147f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""94"", ""5"", ""102"", ""69"", ""100"", ""98"", ""97"", ""29"", ""85"", ""30"", ""41"", ""11"", ""62"", ""32"", ""83"", ""73"", ""51"", ""65"", ""75"", ""21"", ""37"", ""25"", ""76"", ""15"", ""2"", ""68"", ""0"", ""59"", ""9"", ""54"", ""90"", ""36""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 10, ""1"": 7, ""2"": 7, ""3"": 8}",1.0,1.0,0.0,1,1,0,0,81,19,1539,13,0.7222222222222222,57.12564932769435,0.007741347905282332,0.00819672131147541
realworld_completed,ia_infect_hyper,SASB-random,random,20260513,18,early,13--68,221,88b5a0610321f882101353d0a8882d82c2185c948f4b23a9bc8d36329b368758,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""71"", ""15"", ""51"", ""7"", ""36"", ""49"", ""3"", ""57"", ""10"", ""1"", ""92"", ""76"", ""90"", ""9"", ""26"", ""6"", ""39"", ""55"", ""2"", ""109"", ""34"", ""77"", ""40"", ""97"", ""95"", ""99"", ""68"", ""80"", ""88"", ""31"", ""63"", ""18""]","{""uniform_random"": 32}","{""degree_9_plus"": 32}","{""0"": 8, ""1"": 7, ""2"": 9, ""3"": 8}",1.0,1.0,0.0,1,1,0,0,68,18,1224,9,0.5294117647058824,43.752101171053035,0.00819672131147541,0.008652094717668488
