dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,inf_usair97,SASB-matched,matched,20260513,0,early,238--255,268,e48b3b06a8fb6a17e97d4da2157076591f2ea25a36d38d41507a9b6643adef1d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""34"", ""218"", ""204"", ""320"", ""92"", ""32"", ""108"", ""149"", ""130"", ""247"", ""132"", ""74"", ""167"", ""3"", ""56"", ""27"", ""194"", ""163"", ""50"", ""115"", ""86"", ""136"", ""24"", ""253"", ""41"", ""193"", ""47"", ""198"", ""295"", ""121"", ""155"", ""17""]","{""matched_boundary"": 12, ""matched_community_rep"": 2, ""matched_degree_core"": 10, ""matched_random_fill"": 8}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 26}","{""0"": 1, ""1"": 6, ""2"": 1, ""3"": 9, ""4"": 9, ""5"": 6}",1.0,0.9849397590361446,0.015060240963855387,1,2,1,1,24,4,96,0,0.0,5000.75,0.0,0.00047036688617121356
realworld_completed,inf_usair97,SASB-matched,matched,20260513,1,early,21--299,267,5c75209dd26b15af0d04d9a8118b8983da4ccdae53f4b4bf0403bc670e496833,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""312"", ""140"", ""148"", ""21"", ""330"", ""304"", ""77"", ""207"", ""137"", ""230"", ""322"", ""116"", ""241"", ""309"", ""231"", ""234"", ""176"", ""271"", ""108"", ""225"", ""166"", ""29"", ""24"", ""208"", ""161"", ""93"", ""216"", ""49"", ""1"", ""45"", ""179"", ""138""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 2, ""degree_9_plus"": 25}","{""1"": 6, ""2"": 3, ""3"": 9, ""4"": 10, ""5"": 4}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,139,29,4031,8,0.2857142857142857,6236.954046326814,0.00047036688617121356,0.0009407337723424271
realworld_completed,inf_usair97,SASB-matched,matched,20260513,2,early,15--299,267,04bfeda17dfb68d22d0931062f062519f33a2ab0e80125d76b2282299cdf26c3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""69"", ""155"", ""103"", ""320"", ""300"", ""293"", ""182"", ""196"", ""99"", ""126"", ""230"", ""194"", ""108"", ""178"", ""309"", ""49"", ""176"", ""313"", ""295"", ""248"", ""247"", ""323"", ""24"", ""305"", ""96"", ""111"", ""171"", ""104"", ""134"", ""84"", ""271"", ""74""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 3, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 26}","{""1"": 4, ""2"": 1, ""3"": 14, ""4"": 8, ""5"": 5}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,70,28,1960,6,0.2222222222222222,2777.620622839796,0.0009407337723424271,0.0014111006585136407
realworld_completed,inf_usair97,SASB-matched,matched,20260513,3,early,295--299,267,141b447f77bf9c4a2138a155ae87d133e8e23899fa8ca6ec2b2a08d90e3e75ac,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""325"", ""103"", ""209"", ""330"", ""312"", ""127"", ""133"", ""81"", ""140"", ""36"", ""115"", ""114"", ""165"", ""231"", ""86"", ""225"", ""273"", ""241"", ""32"", ""85"", ""70"", ""136"", ""24"", ""14"", ""195"", ""202"", ""144"", ""322"", ""218"", ""91"", ""250"", ""271""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_5_8"": 5, ""degree_9_plus"": 27}","{""1"": 8, ""2"": 1, ""3"": 9, ""4"": 10, ""5"": 4}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,78,27,2106,6,0.23076923076923078,3644.409577344414,0.0014111006585136407,0.0018814675446848542
realworld_completed,inf_usair97,SASB-matched,matched,20260513,4,early,114--299,267,c588c41700e62ad9f9951d29b4194faf781f50c7a6e1e23d5186533b7fedbc39,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""330"", ""215"", ""204"", ""69"", ""34"", ""276"", ""304"", ""148"", ""207"", ""115"", ""27"", ""290"", ""162"", ""247"", ""309"", ""322"", ""286"", ""77"", ""127"", ""56"", ""15"", ""236"", ""24"", ""109"", ""226"", ""294"", ""139"", ""59"", ""134"", ""25"", ""119"", ""166""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 1, ""degree_3_4"": 4, ""degree_5_8"": 1, ""degree_9_plus"": 26}","{""1"": 6, ""2"": 1, ""3"": 9, ""4"": 10, ""5"": 6}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,68,26,1768,5,0.2,2717.3888167911505,0.0018814675446848542,0.0023518344308560675
realworld_completed,inf_usair97,SASB-matched,matched,20260513,5,early,165--299,267,242d9b6122e813dd48a1ac3c44b1e80f9333cd6be49886bbe07dcb113635e9f4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""34"", ""131"", ""148"", ""312"", ""21"", ""182"", ""60"", ""130"", ""218"", ""178"", ""166"", ""241"", ""167"", ""225"", ""88"", ""145"", ""273"", ""276"", ""293"", ""83"", ""115"", ""136"", ""24"", ""263"", ""95"", ""81"", ""290"", ""230"", ""201"", ""10"", ""216"", ""161""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 3, ""degree_3_4"": 3, ""degree_9_plus"": 26}","{""1"": 6, ""2"": 3, ""3"": 11, ""4"": 9, ""5"": 3}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,59,25,1475,4,0.16666666666666666,4894.792654184621,0.0023518344308560675,0.0028222013170272815
realworld_completed,inf_usair97,SASB-matched,matched,20260513,6,early,273--299,267,d89ae815a53f813950b90a1db3df895e3bc8d57a630d3dd306cded485200cc33,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""325"", ""148"", ""215"", ""320"", ""64"", ""238"", ""50"", ""204"", ""191"", ""36"", ""29"", ""273"", ""167"", ""166"", ""75"", ""178"", ""116"", ""133"", ""286"", ""136"", ""52"", ""145"", ""24"", ""159"", ""247"", ""73"", ""39"", ""17"", ""318"", ""304"", ""309"", ""4""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 26}","{""1"": 4, ""2"": 1, ""3"": 10, ""4"": 10, ""5"": 7}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,57,24,1368,5,0.21739130434782608,4864.577570778994,0.0028222013170272815,0.003292568203198495
realworld_completed,inf_usair97,SASB-matched,matched,20260513,7,early,246--273,267,e5c3cbaa172b25e735385f5cdb5e3256972e78c7bba78b2e1fbe43752cd198a3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""312"", ""202"", ""137"", ""325"", ""64"", ""276"", ""116"", ""109"", ""130"", ""322"", ""323"", ""32"", ""60"", ""22"", ""27"", ""247"", ""291"", ""295"", ""66"", ""167"", ""3"", ""214"", ""24"", ""160"", ""284"", ""17"", ""250"", ""129"", ""29"", ""318"", ""235"", ""213""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 1, ""degree_9_plus"": 24}","{""1"": 5, ""2"": 2, ""3"": 7, ""4"": 11, ""5"": 7}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,4,56,224,2,0.6666666666666666,3573.837499999999,0.003292568203198495,0.0037629350893697085
realworld_completed,inf_usair97,SASB-matched,matched,20260513,8,early,293--299,267,192c6cb69d5aba530ceec838b97cf549eae4d7b35b7edc152c7d35169f4d7d9e,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""69"", ""137"", ""202"", ""312"", ""64"", ""273"", ""291"", ""99"", ""48"", ""247"", ""36"", ""127"", ""286"", ""85"", ""221"", ""132"", ""313"", ""60"", ""66"", ""290"", ""115"", ""15"", ""24"", ""187"", ""112"", ""167"", ""307"", ""192"", ""177"", ""144"", ""301"", ""216""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 24}","{""1"": 8, ""2"": 2, ""3"": 9, ""4"": 9, ""5"": 4}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,41,23,943,1,0.045454545454545456,4124.152129963907,0.0037629350893697085,0.0042333019755409216
realworld_completed,inf_usair97,SASB-matched,matched,20260513,9,early,238--299,267,e402e480b7028a1afa36fece87f5b0f71b744789a7ee7c7a4f36e390bb2f45a1,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""320"", ""181"", ""202"", ""42"", ""312"", ""293"", ""304"", ""140"", ""174"", ""53"", ""326"", ""60"", ""238"", ""3"", ""66"", ""247"", ""171"", ""194"", ""205"", ""50"", ""229"", ""178"", ""24"", ""95"", ""206"", ""19"", ""114"", ""277"", ""329"", ""170"", ""281"", ""72""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 24}","{""1"": 5, ""2"": 2, ""3"": 12, ""4"": 9, ""5"": 4}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,23,22,506,0,0.0,4306.088177386029,0.0042333019755409216,0.004703668861712135
realworld_completed,inf_usair97,SASB-matched,matched,20260513,10,early,21--50,266,6ea08d7c3477ebbd39fd14fe221814cf9ef650405dab298ed9b7a7a61a65fed6,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""320"", ""130"", ""155"", ""103"", ""295"", ""162"", ""196"", ""53"", ""108"", ""173"", ""36"", ""77"", ""52"", ""182"", ""85"", ""247"", ""64"", ""238"", ""221"", ""70"", ""313"", ""59"", ""24"", ""187"", ""268"", ""145"", ""263"", ""117"", ""113"", ""228"", ""294"", ""172""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 4, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 24}","{""0"": 3, ""1"": 9, ""2"": 7, ""3"": 11, ""4"": 2}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,138,59,8142,42,0.7241379310344828,1638.7847279840057,0.004703668861712135,0.0051740357478833494
realworld_completed,inf_usair97,SASB-matched,matched,20260513,11,early,168--273,266,3cba0e60f8a4d639ef633333c511be13eabd58258a06fc3c7d56a7e13ea8d7b4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""103"", ""202"", ""130"", ""137"", ""313"", ""60"", ""209"", ""193"", ""74"", ""180"", ""322"", ""276"", ""323"", ""165"", ""88"", ""247"", ""15"", ""167"", ""236"", ""64"", ""93"", ""225"", ""24"", ""305"", ""306"", ""65"", ""92"", ""223"", ""287"", ""138"", ""168"", ""47""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 5, ""degree_9_plus"": 24}","{""0"": 3, ""1"": 9, ""2"": 5, ""3"": 10, ""4"": 5}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,8,55,440,2,0.2857142857142857,4336.109613083445,0.0051740357478833494,0.005644402634054563
realworld_completed,inf_usair97,SASB-matched,matched,20260513,12,early,50--92,266,ecd090437ac815c66ead31423e039502af56e0538416fbc89553cd6871ea3d6b,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""137"", ""196"", ""191"", ""320"", ""133"", ""93"", ""218"", ""88"", ""241"", ""219"", ""56"", ""108"", ""131"", ""163"", ""330"", ""49"", ""231"", ""291"", ""236"", ""326"", ""165"", ""22"", ""24"", ""111"", ""155"", ""67"", ""261"", ""123"", ""215"", ""6"", ""26"", ""94""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 3, ""degree_9_plus"": 25}","{""0"": 2, ""1"": 9, ""2"": 7, ""3"": 10, ""4"": 4}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,58,94,5452,32,0.5614035087719298,1990.671485844572,0.005644402634054563,0.0061147695202257765
realworld_completed,inf_usair97,SASB-matched,matched,20260513,13,early,180--315,266,58bdeb11b278d79d6cad89783670e00cf4c2a59c89da881be00d57d201560161,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""312"", ""204"", ""191"", ""42"", ""50"", ""32"", ""174"", ""229"", ""133"", ""140"", ""145"", ""286"", ""83"", ""38"", ""11"", ""126"", ""36"", ""167"", ""178"", ""193"", ""182"", ""166"", ""24"", ""183"", ""34"", ""287"", ""80"", ""251"", ""311"", ""299"", ""315"", ""94""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 1, ""degree_3_4"": 2, ""degree_5_8"": 4, ""degree_9_plus"": 25}","{""0"": 2, ""1"": 11, ""2"": 5, ""3"": 10, ""4"": 4}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,118,5,590,2,0.5,2172.185753002712,0.0061147695202257765,0.00658513640639699
realworld_completed,inf_usair97,SASB-matched,matched,20260513,14,early,201--273,266,562166db580471e08044f0676dbd8bc178d5edfb63745ff92d8679f815ac0aab,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""34"", ""181"", ""81"", ""320"", ""127"", ""176"", ""140"", ""205"", ""290"", ""155"", ""29"", ""93"", ""166"", ""108"", ""3"", ""53"", ""322"", ""295"", ""83"", ""132"", ""38"", ""69"", ""24"", ""261"", ""49"", ""28"", ""321"", ""11"", ""154"", ""146"", ""237"", ""43""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 4, ""degree_9_plus"": 25}","{""0"": 4, ""1"": 10, ""2"": 4, ""3"": 12, ""4"": 2}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,4,54,216,0,0.0,1386.446181913234,0.00658513640639699,0.0070555032925682035
realworld_completed,inf_usair97,SASB-matched,matched,20260513,15,early,223--273,266,d24f139c8a9c7aa0345c3dc17bc736902921c07495737ad45083fd8cdc9400b1,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""42"", ""207"", ""109"", ""312"", ""304"", ""273"", ""219"", ""22"", ""93"", ""202"", ""27"", ""114"", ""248"", ""32"", ""86"", ""322"", ""56"", ""165"", ""99"", ""131"", ""194"", ""59"", ""24"", ""140"", ""55"", ""292"", ""235"", ""104"", ""29"", ""38"", ""110"", ""217""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 26}","{""0"": 2, ""1"": 11, ""2"": 6, ""3"": 11, ""4"": 2}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,5,53,265,0,0.0,3825.152911033498,0.0070555032925682035,0.007525870178739417
realworld_completed,inf_usair97,SASB-matched,matched,20260513,16,early,15--50,266,6fd9a6baf8f2b3fff15cc65cf5223652738c4cff0faf34319298b806ed45cdd0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""300"", ""196"", ""149"", ""21"", ""182"", ""108"", ""219"", ""64"", ""38"", ""181"", ""214"", ""291"", ""36"", ""271"", ""15"", ""49"", ""248"", ""293"", ""309"", ""59"", ""56"", ""165"", ""24"", ""218"", ""120"", ""172"", ""257"", ""145"", ""34"", ""46"", ""138"", ""140""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_5_8"": 1, ""degree_9_plus"": 27}","{""0"": 3, ""1"": 7, ""2"": 8, ""3"": 10, ""4"": 4}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,69,57,3933,22,0.39285714285714285,1424.380340871465,0.007525870178739417,0.00799623706491063
realworld_completed,inf_usair97,SASB-matched,matched,20260513,17,early,295--300,266,0939efccc8843fa6d6734660062eba4636a4aa444242d8328e4dcfe87c7dc547,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""312"", ""218"", ""149"", ""300"", ""127"", ""77"", ""207"", ""88"", ""171"", ""174"", ""108"", ""178"", ""229"", ""116"", ""36"", ""27"", ""70"", ""66"", ""234"", ""114"", ""52"", ""162"", ""24"", ""136"", ""302"", ""261"", ""38"", ""227"", ""110"", ""11"", ""246"", ""1""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_2"": 1, ""degree_3_4"": 4, ""degree_5_8"": 1, ""degree_9_plus"": 26}","{""0"": 4, ""1"": 9, ""2"": 5, ""3"": 11, ""4"": 3}",0.9849397590361446,0.9849397590361446,0.0,2,2,0,1,77,9,693,4,0.5,1338.1741845197214,0.00799623706491063,0.008466603951081843
