dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,soc_dolphins,SASB-matched,matched,20260513,0,early,1--30,64,479f0682428f5c0dca0ad143569aead2b55041c99ee1acdc9d22c65165d1b5a8,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""27"", ""31"", ""60"", ""47"", ""59"", ""32"", ""30"", ""13"", ""40"", ""53"", ""35"", ""5"", ""6"", ""22"", ""9"", ""38"", ""56"", ""14"", ""8"", ""36"", ""17"", ""42"", ""0"", ""41"", ""48"", ""7"", ""44"", ""33"", ""50"", ""34"", ""12"", ""25""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 16, ""degree_9_plus"": 9}","{""0"": 3, ""1"": 7, ""2"": 11, ""3"": 3, ""4"": 7, ""5"": 1}",1.0,1.0,0.0,1,1,0,1,8,7,56,0,0.0,532.3183830693856,0.0,0.006289308176100629
realworld_completed,soc_dolphins,SASB-matched,matched,20260513,1,early,35--59,64,b50834394bb85b0e57f739f30dbefd727bf38c9f51e113ec0e83333f935d4682,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""13"", ""27"", ""22"", ""46"", ""55"", ""30"", ""31"", ""40"", ""53"", ""24"", ""35"", ""36"", ""6"", ""9"", ""47"", ""38"", ""50"", ""14"", ""28"", ""5"", ""17"", ""42"", ""0"", ""18"", ""25"", ""37"", ""11"", ""10"", ""49"", ""4"", ""57"", ""12""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 16, ""degree_9_plus"": 9}","{""0"": 5, ""1"": 6, ""2"": 9, ""3"": 2, ""4"": 7, ""5"": 3}",1.0,1.0,0.0,1,1,0,1,8,5,40,0,0.0,656.8669565246761,0.006289308176100629,0.012578616352201259
realworld_completed,soc_dolphins,SASB-matched,matched,20260513,2,early,1--21,64,ed02eb55c075122b26b710a55ffe436e0f247ed20294b21216811780d37bf0cf,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""13"", ""31"", ""47"", ""60"", ""55"", ""27"", ""40"", ""53"", ""24"", ""32"", ""8"", ""5"", ""6"", ""22"", ""9"", ""28"", ""50"", ""14"", ""35"", ""56"", ""17"", ""2"", ""37"", ""1"", ""20"", ""48"", ""29"", ""46"", ""41"", ""34"", ""44"", ""38""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 18, ""degree_9_plus"": 9}","{""0"": 2, ""1"": 7, ""2"": 13, ""3"": 2, ""4"": 5, ""5"": 3}",1.0,1.0,0.0,1,1,0,0,7,5,35,0,0.0,697.7014781150314,0.012578616352201259,0.018867924528301886
realworld_completed,soc_dolphins,SASB-matched,matched,20260513,3,early,33--53,64,12ae14489bc4607cb6f06a22ef4222f16e8fb3872ea1d248c799d63701aa7515,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""27"", ""6"", ""22"", ""60"", ""55"", ""13"", ""47"", ""53"", ""46"", ""32"", ""5"", ""10"", ""31"", ""40"", ""9"", ""28"", ""61"", ""17"", ""35"", ""36"", ""37"", ""20"", ""0"", ""30"", ""18"", ""48"", ""43"", ""59"", ""57"", ""11"", ""7"", ""45""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 2, ""degree_3_4"": 5, ""degree_5_8"": 16, ""degree_9_plus"": 9}","{""0"": 2, ""1"": 6, ""2"": 9, ""3"": 3, ""4"": 8, ""5"": 4}",1.0,1.0,0.0,1,1,0,0,2,9,18,0,0.0,1102.5498010745296,0.018867924528301886,0.025157232704402517
realworld_completed,soc_dolphins,SASB-matched,matched,20260513,4,early,24--37,64,788c6fe2042f531d7d7ceeb663421607ed02b3c88b516b794327a1ca7cbff9f2,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""6"", ""27"", ""22"", ""55"", ""30"", ""13"", ""47"", ""40"", ""32"", ""35"", ""61"", ""10"", ""31"", ""9"", ""28"", ""53"", ""56"", ""7"", ""8"", ""5"", ""37"", ""24"", ""2"", ""11"", ""46"", ""26"", ""59"", ""58"", ""15"", ""19"", ""4"", ""12""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 2, ""degree_3_4"": 6, ""degree_5_8"": 16, ""degree_9_plus"": 8}","{""0"": 4, ""1"": 5, ""2"": 10, ""3"": 2, ""4"": 7, ""5"": 4}",1.0,1.0,0.0,1,1,0,0,5,6,30,1,0.25,858.1295138888892,0.025157232704402517,0.031446540880503145
realworld_completed,soc_dolphins,SASB-matched,matched,20260513,5,early,24--42,64,766b096dee602f2ff3480814514ab7a028e48c7fa8864380610dddce555a04d0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""27"", ""31"", ""22"", ""60"", ""30"", ""13"", ""40"", ""47"", ""32"", ""8"", ""61"", ""17"", ""6"", ""9"", ""38"", ""53"", ""56"", ""14"", ""35"", ""5"", ""37"", ""20"", ""2"", ""39"", ""50"", ""4"", ""1"", ""58"", ""45"", ""26"", ""52"", ""41""]","{""matched_boundary"": 12, ""matched_community_rep"": 1, ""matched_degree_core"": 10, ""matched_random_fill"": 9}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 4, ""degree_5_8"": 17, ""degree_9_plus"": 8}","{""0"": 3, ""1"": 5, ""2"": 11, ""3"": 2, ""4"": 9, ""5"": 2}",1.0,1.0,0.0,1,1,0,0,4,6,24,1,0.3333333333333333,1013.8914434523812,0.031446540880503145,0.03773584905660377
realworld_completed,soc_dolphins,SASB-matched,matched,20260513,6,early,13--21,64,5d5eaa27289f0ef7222dc6cf4690f01bb5a9756720b67b973e4c44b5ccc37b00,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""27"", ""6"", ""47"", ""55"", ""30"", ""31"", ""40"", ""22"", ""32"", ""28"", ""5"", ""14"", ""13"", ""9"", ""46"", ""50"", ""36"", ""17"", ""35"", ""53"", ""42"", ""20"", ""24"", ""29"", ""45"", ""10"", ""48"", ""59"", ""38"", ""7"", ""37"", ""18""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_0_1"": 1, ""degree_3_4"": 5, ""degree_5_8"": 18, ""degree_9_plus"": 8}","{""0"": 2, ""1"": 8, ""2"": 10, ""3"": 2, ""4"": 6, ""5"": 4}",1.0,1.0,0.0,1,1,0,1,9,4,36,2,0.6666666666666666,850.1473214285717,0.03773584905660377,0.0440251572327044
realworld_completed,soc_dolphins,SASB-matched,matched,20260513,7,early,21--60,64,4697750d45e869b5c7f1a0ca489f2cce8c9ebc3c96032ad505bc8c7838698483,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""6"", ""47"", ""46"", ""60"", ""55"", ""27"", ""40"", ""22"", ""8"", ""28"", ""36"", ""17"", ""31"", ""9"", ""35"", ""61"", ""50"", ""7"", ""32"", ""56"", ""42"", ""20"", ""10"", ""44"", ""12"", ""37"", ""59"", ""52"", ""45"", ""57"", ""53"", ""23""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_0_1"": 1, ""degree_2"": 2, ""degree_3_4"": 4, ""degree_5_8"": 18, ""degree_9_plus"": 7}","{""0"": 3, ""1"": 6, ""2"": 9, ""3"": 3, ""4"": 9, ""5"": 2}",1.0,1.0,0.0,1,1,0,0,3,6,18,0,0.0,1239.2695932539682,0.0440251572327044,0.050314465408805034
realworld_completed,soc_dolphins,SASB-matched,matched,20260513,8,early,21--42,64,1448191ae2dcddaaa406d373208fe977bcd62615529965a351584db0cbc2da28,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""6"", ""22"", ""38"", ""55"", ""31"", ""47"", ""40"", ""8"", ""13"", ""56"", ""17"", ""42"", ""9"", ""27"", ""46"", ""53"", ""36"", ""7"", ""32"", ""50"", ""20"", ""10"", ""44"", ""5"", ""43"", ""54"", ""30"", ""39"", ""28"", ""26"", ""1"", ""34""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_0_1"": 3, ""degree_2"": 1, ""degree_3_4"": 2, ""degree_5_8"": 19, ""degree_9_plus"": 7}","{""0"": 1, ""1"": 7, ""2"": 12, ""3"": 2, ""4"": 8, ""5"": 2}",1.0,0.6451612903225806,0.3548387096774194,1,2,1,1,2,5,10,0,0.0,1712.75,0.050314465408805034,0.05660377358490566
realworld_completed,soc_dolphins,SASB-matched,matched,20260513,9,early,22--38,64,218967fac465a6e1d19495f9d8835907b45779c9b12869537042bc4efadfbd8f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""6"", ""27"", ""47"", ""32"", ""46"", ""8"", ""31"", ""40"", ""28"", ""17"", ""37"", ""55"", ""22"", ""13"", ""7"", ""10"", ""14"", ""35"", ""0"", ""30"", ""2"", ""60"", ""42"", ""49"", ""16"", ""23"", ""29"", ""41"", ""39"", ""12"", ""48"", ""54""]","{""matched_boundary"": 12, ""matched_degree_core"": 10, ""matched_random_fill"": 10}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 6, ""degree_5_8"": 16, ""degree_9_plus"": 6}","{""0"": 5, ""1"": 8, ""2"": 11, ""3"": 3, ""4"": 5}",0.6451612903225806,0.6451612903225806,0.0,2,2,0,1,9,7,63,0,0.0,83.28377178377181,0.05660377358490566,0.06289308176100629
