dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,soc_dolphins,SASB-random,random,20260513,0,early,1--30,64,479f0682428f5c0dca0ad143569aead2b55041c99ee1acdc9d22c65165d1b5a8,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""31"", ""47"", ""26"", ""39"", ""5"", ""4"", ""53"", ""16"", ""55"", ""22"", ""2"", ""6"", ""60"", ""29"", ""1"", ""24"", ""46"", ""40"", ""8"", ""36"", ""37"", ""19"", ""10"", ""0"", ""17"", ""61"", ""51"", ""49"", ""13"", ""23"", ""18"", ""14""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 6, ""degree_5_8"": 15, ""degree_9_plus"": 7}","{""0"": 4, ""1"": 9, ""2"": 7, ""3"": 3, ""4"": 5, ""5"": 4}",1.0,1.0,0.0,1,1,0,1,8,7,56,0,0.0,572.5188430620519,0.0,0.006289308176100629
realworld_completed,soc_dolphins,SASB-random,random,20260513,1,early,35--59,64,b50834394bb85b0e57f739f30dbefd727bf38c9f51e113ec0e83333f935d4682,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""36"", ""15"", ""59"", ""11"", ""53"", ""33"", ""30"", ""6"", ""41"", ""39"", ""28"", ""25"", ""48"", ""26"", ""44"", ""12"", ""0"", ""38"", ""47"", ""57"", ""9"", ""35"", ""45"", ""51"", ""34"", ""5"", ""14"", ""55"", ""61"", ""40"", ""13"", ""21""]","{""uniform_random"": 32}","{""degree_0_1"": 4, ""degree_2"": 4, ""degree_3_4"": 6, ""degree_5_8"": 12, ""degree_9_plus"": 6}","{""0"": 2, ""1"": 5, ""2"": 9, ""3"": 3, ""4"": 10, ""5"": 3}",1.0,1.0,0.0,1,1,0,1,8,5,40,0,0.0,643.0406646461851,0.006289308176100629,0.012578616352201259
realworld_completed,soc_dolphins,SASB-random,random,20260513,2,early,1--21,64,ed02eb55c075122b26b710a55ffe436e0f247ed20294b21216811780d37bf0cf,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""25"", ""61"", ""15"", ""50"", ""29"", ""8"", ""44"", ""18"", ""14"", ""11"", ""60"", ""12"", ""34"", ""31"", ""59"", ""10"", ""40"", ""36"", ""57"", ""47"", ""42"", ""2"", ""5"", ""52"", ""4"", ""41"", ""17"", ""19"", ""23"", ""54"", ""46"", ""55""]","{""uniform_random"": 32}","{""degree_0_1"": 7, ""degree_2"": 3, ""degree_3_4"": 6, ""degree_5_8"": 13, ""degree_9_plus"": 3}","{""0"": 3, ""1"": 7, ""2"": 7, ""3"": 3, ""4"": 8, ""5"": 4}",1.0,1.0,0.0,1,1,0,0,7,5,35,0,0.0,831.29737215155,0.012578616352201259,0.018867924528301886
realworld_completed,soc_dolphins,SASB-random,random,20260513,3,early,33--53,64,12ae14489bc4607cb6f06a22ef4222f16e8fb3872ea1d248c799d63701aa7515,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""1"", ""47"", ""46"", ""37"", ""33"", ""3"", ""30"", ""35"", ""42"", ""51"", ""58"", ""57"", ""0"", ""45"", ""26"", ""54"", ""14"", ""39"", ""18"", ""34"", ""52"", ""61"", ""21"", ""9"", ""24"", ""48"", ""16"", ""29"", ""44"", ""53"", ""12"", ""22""]","{""uniform_random"": 32}","{""degree_0_1"": 5, ""degree_2"": 4, ""degree_3_4"": 9, ""degree_5_8"": 10, ""degree_9_plus"": 4}","{""0"": 5, ""1"": 8, ""2"": 6, ""3"": 2, ""4"": 7, ""5"": 4}",1.0,1.0,0.0,1,1,0,0,2,9,18,0,0.0,1025.5301712327525,0.018867924528301886,0.025157232704402517
realworld_completed,soc_dolphins,SASB-random,random,20260513,4,early,24--37,64,788c6fe2042f531d7d7ceeb663421607ed02b3c88b516b794327a1ca7cbff9f2,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""23"", ""11"", ""15"", ""59"", ""37"", ""30"", ""17"", ""35"", ""40"", ""50"", ""48"", ""1"", ""13"", ""25"", ""43"", ""49"", ""44"", ""32"", ""5"", ""34"", ""47"", ""51"", ""58"", ""31"", ""38"", ""42"", ""39"", ""14"", ""29"", ""19"", ""20"", ""41""]","{""uniform_random"": 32}","{""degree_0_1"": 5, ""degree_2"": 4, ""degree_3_4"": 7, ""degree_5_8"": 12, ""degree_9_plus"": 4}","{""0"": 4, ""1"": 7, ""2"": 9, ""3"": 2, ""4"": 5, ""5"": 5}",1.0,1.0,0.0,1,1,0,0,5,6,30,1,0.25,791.1027777777778,0.025157232704402517,0.031446540880503145
realworld_completed,soc_dolphins,SASB-random,random,20260513,5,early,24--42,64,766b096dee602f2ff3480814514ab7a028e48c7fa8864380610dddce555a04d0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""18"", ""41"", ""49"", ""0"", ""16"", ""35"", ""13"", ""17"", ""4"", ""23"", ""50"", ""46"", ""24"", ""51"", ""54"", ""7"", ""25"", ""39"", ""20"", ""9"", ""19"", ""32"", ""48"", ""43"", ""27"", ""57"", ""36"", ""37"", ""14"", ""33"", ""31"", ""22""]","{""uniform_random"": 32}","{""degree_0_1"": 6, ""degree_2"": 3, ""degree_3_4"": 7, ""degree_5_8"": 11, ""degree_9_plus"": 5}","{""0"": 3, ""1"": 6, ""2"": 11, ""3"": 2, ""4"": 6, ""5"": 4}",1.0,1.0,0.0,1,1,0,0,4,6,24,1,0.3333333333333333,1031.4304315476193,0.031446540880503145,0.03773584905660377
realworld_completed,soc_dolphins,SASB-random,random,20260513,6,early,13--21,64,5d5eaa27289f0ef7222dc6cf4690f01bb5a9756720b67b973e4c44b5ccc37b00,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""29"", ""27"", ""47"", ""19"", ""43"", ""45"", ""42"", ""21"", ""50"", ""35"", ""18"", ""10"", ""53"", ""39"", ""12"", ""14"", ""54"", ""59"", ""24"", ""1"", ""31"", ""37"", ""56"", ""61"", ""60"", ""33"", ""51"", ""34"", ""32"", ""11"", ""57"", ""9""]","{""uniform_random"": 32}","{""degree_0_1"": 6, ""degree_2"": 1, ""degree_3_4"": 9, ""degree_5_8"": 12, ""degree_9_plus"": 4}","{""0"": 3, ""1"": 6, ""2"": 6, ""3"": 2, ""4"": 8, ""5"": 7}",1.0,1.0,0.0,1,1,0,1,9,4,36,2,0.6666666666666666,948.9367559523814,0.03773584905660377,0.0440251572327044
realworld_completed,soc_dolphins,SASB-random,random,20260513,7,early,21--60,64,4697750d45e869b5c7f1a0ca489f2cce8c9ebc3c96032ad505bc8c7838698483,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""58"", ""46"", ""8"", ""36"", ""29"", ""6"", ""13"", ""14"", ""59"", ""35"", ""19"", ""7"", ""33"", ""1"", ""54"", ""50"", ""4"", ""44"", ""56"", ""42"", ""23"", ""45"", ""20"", ""9"", ""34"", ""39"", ""49"", ""32"", ""47"", ""41"", ""28"", ""21""]","{""uniform_random"": 32}","{""degree_0_1"": 5, ""degree_2"": 3, ""degree_3_4"": 7, ""degree_5_8"": 14, ""degree_9_plus"": 3}","{""0"": 3, ""1"": 5, ""2"": 12, ""3"": 2, ""4"": 5, ""5"": 5}",1.0,1.0,0.0,1,1,0,0,3,6,18,0,0.0,1247.6500496031745,0.0440251572327044,0.050314465408805034
realworld_completed,soc_dolphins,SASB-random,random,20260513,8,early,21--42,64,1448191ae2dcddaaa406d373208fe977bcd62615529965a351584db0cbc2da28,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""4"", ""26"", ""55"", ""33"", ""35"", ""32"", ""43"", ""24"", ""36"", ""5"", ""19"", ""38"", ""11"", ""27"", ""17"", ""60"", ""21"", ""8"", ""12"", ""58"", ""18"", ""13"", ""20"", ""37"", ""53"", ""49"", ""28"", ""50"", ""46"", ""41"", ""7"", ""61""]","{""uniform_random"": 32}","{""degree_0_1"": 3, ""degree_2"": 3, ""degree_3_4"": 7, ""degree_5_8"": 18, ""degree_9_plus"": 1}","{""0"": 4, ""1"": 2, ""2"": 10, ""3"": 3, ""4"": 7, ""5"": 6}",1.0,0.6451612903225806,0.3548387096774194,1,2,1,1,2,5,10,0,0.0,1817.375,0.050314465408805034,0.05660377358490566
realworld_completed,soc_dolphins,SASB-random,random,20260513,9,early,22--38,64,218967fac465a6e1d19495f9d8835907b45779c9b12869537042bc4efadfbd8f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""0"", ""16"", ""7"", ""8"", ""32"", ""10"", ""13"", ""4"", ""44"", ""47"", ""39"", ""31"", ""54"", ""38"", ""3"", ""33"", ""58"", ""51"", ""41"", ""30"", ""40"", ""17"", ""27"", ""2"", ""29"", ""37"", ""49"", ""35"", ""12"", ""14"", ""6"", ""60""]","{""uniform_random"": 32}","{""degree_0_1"": 5, ""degree_2"": 4, ""degree_3_4"": 4, ""degree_5_8"": 14, ""degree_9_plus"": 5}","{""0"": 4, ""1"": 9, ""2"": 9, ""3"": 6, ""4"": 4}",0.6451612903225806,0.6451612903225806,0.0,2,2,0,1,9,7,63,0,0.0,97.50019425019426,0.05660377358490566,0.06289308176100629
realworld_completed,soc_dolphins,SASB-random,random,20260513,10,early,28--44,64,4e355d9010a6282ef9d0511f557cbfbe15da365a30579587dbda154fa4a5f2ae,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""0"", ""51"", ""22"", ""28"", ""13"", ""38"", ""47"", ""2"", ""16"", ""14"", ""7"", ""17"", ""44"", ""46"", ""27"", ""41"", ""40"", ""39"", ""54"", ""10"", ""12"", ""32"", ""29"", ""48"", ""37"", ""6"", ""55"", ""58"", ""35"", ""8"", ""60"", ""42""]","{""uniform_random"": 32}","{""degree_0_1"": 2, ""degree_2"": 3, ""degree_3_4"": 6, ""degree_5_8"": 17, ""degree_9_plus"": 4}","{""0"": 5, ""1"": 9, ""2"": 11, ""3"": 4, ""4"": 3}",0.6451612903225806,0.6451612903225806,0.0,2,2,0,1,5,2,10,0,0.0,84.375,0.06289308176100629,0.06918238993710692
realworld_completed,soc_dolphins,SASB-random,random,20260513,11,early,31--38,64,63ba7f3ecabf2b60258989c3ddc544de0d10d68c66c8b1df1e3a3b90703a81d7,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""30"", ""7"", ""31"", ""33"", ""54"", ""41"", ""38"", ""49"", ""58"", ""55"", ""29"", ""28"", ""14"", ""27"", ""6"", ""10"", ""35"", ""2"", ""37"", ""44"", ""51"", ""17"", ""0"", ""3"", ""8"", ""48"", ""16"", ""12"", ""13"", ""40"", ""60"", ""47""]","{""uniform_random"": 32}","{""degree_0_1"": 5, ""degree_2"": 3, ""degree_3_4"": 5, ""degree_5_8"": 14, ""degree_9_plus"": 5}","{""0"": 4, ""1"": 9, ""2"": 8, ""3"": 6, ""4"": 5}",0.6451612903225806,0.6451612903225806,0.0,2,2,0,0,11,6,66,2,0.4,102.86584249084251,0.06918238993710692,0.07547169811320754
realworld_completed,soc_dolphins,SASB-random,random,20260513,12,early,31--58,64,d457d5b57affdb48151a5302a731145e55178a02e92d69fc5a3e722725173daf,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""23"", ""51"", ""41"", ""37"", ""38"", ""34"", ""46"", ""55"", ""54"", ""2"", ""32"", ""12"", ""30"", ""29"", ""58"", ""60"", ""17"", ""13"", ""28"", ""10"", ""40"", ""35"", ""4"", ""48"", ""39"", ""31"", ""0"", ""44"", ""42"", ""22"", ""27"", ""7""]","{""uniform_random"": 32}","{""degree_0_1"": 5, ""degree_2"": 2, ""degree_3_4"": 7, ""degree_5_8"": 15, ""degree_9_plus"": 3}","{""0"": 5, ""1"": 8, ""2"": 10, ""3"": 5, ""4"": 4}",0.6451612903225806,0.6451612903225806,0.0,2,2,0,1,10,3,30,0,0.0,81.80357142857142,0.07547169811320754,0.08176100628930817
realworld_completed,soc_dolphins,SASB-random,random,20260513,13,early,27--38,64,4ea347ec9369cf006089ea69516733bd1ece6684e735fa3b2481b9643be13139,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""7"", ""28"", ""41"", ""37"", ""54"", ""29"", ""32"", ""49"", ""35"", ""23"", ""31"", ""44"", ""60"", ""0"", ""16"", ""13"", ""10"", ""39"", ""22"", ""55"", ""6"", ""17"", ""58"", ""42"", ""51"", ""4"", ""33"", ""27"", ""30"", ""3"", ""38"", ""12""]","{""uniform_random"": 32}","{""degree_0_1"": 6, ""degree_2"": 4, ""degree_3_4"": 6, ""degree_5_8"": 13, ""degree_9_plus"": 3}","{""0"": 4, ""1"": 7, ""2"": 9, ""3"": 6, ""4"": 6}",0.6451612903225806,0.6451612903225806,0.0,2,2,0,1,10,5,50,2,0.5,95.95833333333333,0.08176100628930817,0.0880503144654088
realworld_completed,soc_dolphins,SASB-random,random,20260513,14,early,46--47,64,e49e83b749c141b628fe0904585e6999c39ede80da4d1acfafb7eb63f9490e81,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""33"", ""32"", ""31"", ""37"", ""17"", ""44"", ""46"", ""3"", ""4"", ""13"", ""14"", ""41"", ""49"", ""27"", ""10"", ""6"", ""38"", ""55"", ""28"", ""60"", ""34"", ""8"", ""39"", ""22"", ""54"", ""30"", ""48"", ""23"", ""16"", ""40"", ""0"", ""47""]","{""uniform_random"": 32}","{""degree_0_1"": 6, ""degree_2"": 2, ""degree_3_4"": 6, ""degree_5_8"": 13, ""degree_9_plus"": 5}","{""0"": 2, ""1"": 8, ""2"": 11, ""3"": 5, ""4"": 6}",0.6451612903225806,0.6451612903225806,0.0,2,2,0,1,7,10,70,1,0.16666666666666666,95.28571428571428,0.0880503144654088,0.09433962264150944
