dataset,graph_id,graph_name,graph_type,community_strength,method,source_policy,seed,step,removed_edges,remove_ratio,gcc_ratio,gcc_size
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,0,0,0.0,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,1,1,0.00034317089910775565,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,2,2,0.0006863417982155113,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,3,3,0.001029512697323267,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,4,4,0.0013726835964310226,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,5,5,0.0017158544955387784,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,6,6,0.002059025394646534,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,7,7,0.0024021962937542897,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,8,8,0.002745367192862045,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,9,9,0.0030885380919698007,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,10,10,0.0034317089910775567,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,11,11,0.0037748798901853123,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,12,12,0.004118050789293068,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,13,13,0.004461221688400824,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,14,14,0.004804392587508579,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,15,15,0.005147563486616335,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,16,16,0.00549073438572409,1.0,889
realworld_completed,soc_wiki_vote,soc-wiki-Vote,social,unknown,SASB-random,random,20260513,17,17,0.005833905284831846,1.0,889
