dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,soc_wiki_vote,SASB-structured,structured,20260513,0,early,113--193,367,f8f07c7ece00ed91a39f493016584d82059dba3c0455230b952578e9a7215bf2,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""369"", ""193"", ""500"", ""78"", ""117"", ""145"", ""332"", ""311"", ""495"", ""153"", ""542"", ""575"", ""485"", ""352"", ""707"", ""736"", ""595"", ""663"", ""387"", ""425"", ""386"", ""450"", ""667"", ""619"", ""321"", ""625"", ""692"", ""846"", ""137"", ""807"", ""456"", ""772""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 3, ""degree_9_plus"": 23}","{""0"": 2, ""1"": 1, ""2"": 1, ""3"": 12, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 10, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,5,92,460,0,0.0,43452.0362698068,0.0,0.00034317089910775565
realworld_completed,soc_wiki_vote,SASB-structured,structured,20260513,1,early,575--625,367,312f6f63d9e9ad2d65730de269c3d111838727fbc68f4bc4613c0b7af04fb269,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""369"", ""193"", ""500"", ""78"", ""117"", ""145"", ""332"", ""311"", ""495"", ""153"", ""542"", ""575"", ""485"", ""352"", ""707"", ""736"", ""595"", ""663"", ""387"", ""425"", ""386"", ""450"", ""667"", ""619"", ""321"", ""625"", ""93"", ""102"", ""459"", ""855"", ""464"", ""571""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 1, ""degree_5_8"": 4, ""degree_9_plus"": 23}","{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 13, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 7, ""8"": 1}",1.0,1.0,0.0,1,1,0,0,32,2,64,0,0.0,25246.016575470745,0.00034317089910775565,0.0006863417982155113
realworld_completed,soc_wiki_vote,SASB-structured,structured,20260513,2,early,193--707,367,b0fefa22d62580de822804c97fb23e7da1cc4d0f5122aa7287c4d224eb939cc4,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""369"", ""193"", ""500"", ""78"", ""117"", ""145"", ""332"", ""311"", ""495"", ""153"", ""542"", ""563"", ""485"", ""352"", ""707"", ""736"", ""595"", ""663"", ""387"", ""425"", ""386"", ""450"", ""667"", ""619"", ""321"", ""504"", ""654"", ""398"", ""474"", ""740"", ""616"", ""405""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 2, ""1"": 1, ""2"": 1, ""3"": 15, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 8, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,91,43,3913,4,0.09523809523809523,31521.06047558582,0.0006863417982155113,0.001029512697323267
realworld_completed,soc_wiki_vote,SASB-structured,structured,20260513,3,early,369--736,367,cef8ea7f3c31880a39b38b85d3865aed935fda5dbb54d6e9ac6f4bae212a02a1,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""369"", ""193"", ""500"", ""78"", ""117"", ""145"", ""332"", ""311"", ""495"", ""153"", ""542"", ""563"", ""485"", ""352"", ""736"", ""707"", ""595"", ""663"", ""387"", ""425"", ""386"", ""450"", ""667"", ""619"", ""321"", ""504"", ""501"", ""8"", ""664"", ""84"", ""873"", ""777""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 2, ""degree_2"": 1, ""degree_3_4"": 3, ""degree_5_8"": 3, ""degree_9_plus"": 23}","{""0"": 2, ""1"": 1, ""2"": 3, ""3"": 12, ""4"": 3, ""5"": 1, ""6"": 1, ""7"": 8, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,102,43,4386,15,0.35714285714285715,24895.073602727593,0.001029512697323267,0.0013726835964310226
realworld_completed,soc_wiki_vote,SASB-structured,structured,20260513,4,early,124--485,367,a86d5256aaf39e8c4e071c49056f3c64c48ed148b9774240d5bd59cdadbd948d,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""369"", ""193"", ""500"", ""78"", ""117"", ""145"", ""332"", ""311"", ""495"", ""153"", ""542"", ""563"", ""485"", ""352"", ""707"", ""736"", ""595"", ""663"", ""387"", ""425"", ""386"", ""450"", ""667"", ""619"", ""321"", ""504"", ""164"", ""824"", ""490"", ""182"", ""783"", ""493""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 28}","{""0"": 2, ""1"": 1, ""2"": 2, ""3"": 13, ""4"": 4, ""5"": 1, ""6"": 1, ""7"": 7, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,15,60,900,1,0.07142857142857142,23741.879900256266,0.0013726835964310226,0.0017158544955387784
realworld_completed,soc_wiki_vote,SASB-structured,structured,20260513,5,early,124--575,367,8e7aa5ced14018b964e9fdad7a2002ecce1c0b115baa68bd5f073ac119d9ff34,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""369"", ""193"", ""500"", ""78"", ""117"", ""145"", ""332"", ""311"", ""495"", ""153"", ""542"", ""563"", ""485"", ""352"", ""707"", ""736"", ""595"", ""663"", ""387"", ""425"", ""386"", ""450"", ""667"", ""619"", ""321"", ""504"", ""309"", ""253"", ""298"", ""538"", ""443"", ""178""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 27}","{""0"": 2, ""1"": 1, ""2"": 1, ""3"": 16, ""4"": 4, ""5"": 1, ""6"": 1, ""7"": 5, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,14,31,434,0,0.0,20875.578921633958,0.0017158544955387784,0.002059025394646534
realworld_completed,soc_wiki_vote,SASB-structured,structured,20260513,6,early,193--500,367,17138d790db870a21113b1e3e2438663052bf80dc30a1262ba45438b84afd7e0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""369"", ""193"", ""500"", ""78"", ""117"", ""145"", ""332"", ""311"", ""495"", ""153"", ""542"", ""563"", ""485"", ""352"", ""707"", ""736"", ""595"", ""663"", ""387"", ""425"", ""386"", ""450"", ""667"", ""619"", ""321"", ""504"", ""608"", ""809"", ""397"", ""298"", ""835"", ""767""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 24}","{""0"": 3, ""1"": 1, ""2"": 2, ""3"": 13, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 8, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,90,50,4500,7,0.14285714285714285,24149.656835144775,0.002059025394646534,0.0024021962937542897
realworld_completed,soc_wiki_vote,SASB-structured,structured,20260513,7,early,193--321,367,37aa675deea4488fee1587c7fd6d186fead814fc3f3f0f6de808a05cd7d1a6ea,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""369"", ""193"", ""500"", ""78"", ""117"", ""145"", ""332"", ""311"", ""495"", ""153"", ""542"", ""563"", ""485"", ""352"", ""707"", ""736"", ""595"", ""663"", ""387"", ""425"", ""386"", ""450"", ""667"", ""619"", ""321"", ""504"", ""17"", ""31"", ""45"", ""498"", ""606"", ""298""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 1, ""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 26}","{""0"": 2, ""1"": 1, ""2"": 4, ""3"": 14, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 6, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,89,6,534,1,0.2,17612.656081896937,0.0024021962937542897,0.002745367192862045
realworld_completed,soc_wiki_vote,SASB-structured,structured,20260513,8,early,193--722,367,7958de2808154fe5b922fb3d32261f3053e954d0e7cce1d6f760f660bf81f22f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""369"", ""193"", ""500"", ""78"", ""117"", ""145"", ""332"", ""311"", ""495"", ""153"", ""542"", ""563"", ""485"", ""352"", ""707"", ""736"", ""595"", ""663"", ""387"", ""425"", ""386"", ""450"", ""667"", ""619"", ""321"", ""504"", ""108"", ""148"", ""23"", ""99"", ""292"", ""714""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_2"": 1, ""degree_3_4"": 1, ""degree_5_8"": 6, ""degree_9_plus"": 24}","{""0"": 2, ""1"": 1, ""2"": 2, ""3"": 13, ""4"": 5, ""5"": 1, ""6"": 1, ""7"": 6, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,88,23,2024,2,0.09090909090909091,26399.204144076404,0.002745367192862045,0.0030885380919698007
realworld_completed,soc_wiki_vote,SASB-structured,structured,20260513,9,early,321--332,366,06ddee6b2562dcda52581107a72cc20d4c2fb995f4864ad8a2beaab9ab110db3,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""369"", ""193"", ""500"", ""78"", ""117"", ""145"", ""332"", ""311"", ""495"", ""153"", ""542"", ""563"", ""485"", ""352"", ""707"", ""736"", ""595"", ""663"", ""387"", ""425"", ""386"", ""450"", ""667"", ""619"", ""321"", ""504"", ""170"", ""464"", ""704"", ""800"", ""805"", ""552""]","{""boundary"": 12, ""community_rep"": 4, ""degree_core"": 10, ""random_fill"": 6}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 1, ""degree_5_8"": 3, ""degree_9_plus"": 24}","{""0"": 2, ""1"": 1, ""2"": 2, ""3"": 14, ""4"": 2, ""5"": 1, ""6"": 1, ""7"": 8, ""8"": 1}",1.0,1.0,0.0,1,1,0,1,5,56,280,0,0.0,22025.593364247412,0.0030885380919698007,0.0034317089910775567
