dataset,graph_id,method,source_policy,seed,step,attack_phase,selected_edge,candidate_set_size,candidate_set_hash,candidate_set_backend,source_budget,true_source_traversal_count,source_count,source_nodes,source_strata_counts,source_degree_bins,source_community_counts,gcc_before,gcc_after,delta_gcc,num_components_before,num_components_after,is_bridge_before_removal,is_inter_community_edge,degree_u,degree_v,degree_product,common_neighbors,edge_embeddedness,sampled_betweenness_score,remove_ratio_before,remove_ratio_after
realworld_completed,web_polblogs,SASB-matched,matched,20260513,0,early,125--199,309,aa087b7a3f6fecbdfe3bd4b98e7f1183f7f2fc756cac22a1bace1737e924d9ca,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""254"", ""454"", ""384"", ""536"", ""590"", ""90"", ""504"", ""206"", ""185"", ""570"", ""323"", ""121"", ""125"", ""597"", ""579"", ""58"", ""153"", ""25"", ""621"", ""512"", ""423"", ""316"", ""633"", ""238"", ""429"", ""432"", ""107"", ""270"", ""151"", ""204"", ""575"", ""520""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_0_1"": 2, ""degree_2"": 3, ""degree_3_4"": 2, ""degree_5_8"": 2, ""degree_9_plus"": 23}","{""0"": 10, ""1"": 5, ""2"": 9, ""3"": 5, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,32,14,448,1,0.07692307692307693,27774.84598134558,0.0,0.0004385964912280702
realworld_completed,web_polblogs,SASB-matched,matched,20260513,1,early,479--522,309,a26f545fcf3ea8b72a31807fcb3bbf813411376a051a0cf430fb2909b6e12684,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""306"", ""503"", ""221"", ""206"", ""30"", ""629"", ""375"", ""550"", ""199"", ""287"", ""611"", ""556"", ""61"", ""377"", ""38"", ""110"", ""635"", ""57"", ""125"", ""157"", ""124"", ""517"", ""350"", ""305"", ""325"", ""434"", ""25"", ""456"", ""11"", ""444"", ""76"", ""585""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 25}","{""0"": 13, ""1"": 3, ""2"": 7, ""3"": 6, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,22,14,308,0,0.0,27483.25449056135,0.0004385964912280702,0.0008771929824561404
realworld_completed,web_polblogs,SASB-matched,matched,20260513,2,early,182--588,309,ef08939271866a0a5f8f943cc178145f64ff174109336a619c67223c62b1ad6c,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""416"", ""588"", ""384"", ""461"", ""56"", ""85"", ""194"", ""316"", ""199"", ""463"", ""69"", ""23"", ""96"", ""307"", ""152"", ""616"", ""534"", ""609"", ""423"", ""58"", ""390"", ""324"", ""209"", ""142"", ""343"", ""331"", ""86"", ""107"", ""365"", ""520"", ""338"", ""114""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 4, ""degree_9_plus"": 24}","{""0"": 10, ""1"": 6, ""2"": 7, ""3"": 5, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,40,33,1320,1,0.03125,22009.21969112051,0.0008771929824561404,0.0013157894736842105
realworld_completed,web_polblogs,SASB-matched,matched,20260513,3,early,182--351,309,15dbb2baedc4b5d3a0c71b66d28e92135721204344f098a4339267dcabf70eec,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""536"", ""597"", ""405"", ""517"", ""30"", ""590"", ""504"", ""310"", ""349"", ""421"", ""171"", ""90"", ""423"", ""227"", ""445"", ""152"", ""73"", ""86"", ""479"", ""153"", ""125"", ""198"", ""507"", ""120"", ""119"", ""475"", ""147"", ""163"", ""342"", ""384"", ""162"", ""611""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_0_1"": 1, ""degree_2"": 4, ""degree_3_4"": 1, ""degree_5_8"": 1, ""degree_9_plus"": 25}","{""0"": 10, ""1"": 6, ""2"": 6, ""3"": 6, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,39,56,2184,2,0.05263157894736842,17788.745287315956,0.0013157894736842105,0.0017543859649122807
realworld_completed,web_polblogs,SASB-matched,matched,20260513,4,early,125--351,309,b4ee4a45a8f5443c7c49021c7e0fa1d199990ba6bebdde2c38bd5fe6ae0d7773,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""310"", ""244"", ""453"", ""206"", ""614"", ""46"", ""403"", ""254"", ""199"", ""447"", ""104"", ""23"", ""423"", ""404"", ""139"", ""182"", ""579"", ""86"", ""135"", ""38"", ""568"", ""517"", ""329"", ""548"", ""428"", ""454"", ""200"", ""514"", ""367"", ""8"", ""138"", ""229""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_0_1"": 2, ""degree_2"": 2, ""degree_3_4"": 3, ""degree_5_8"": 1, ""degree_9_plus"": 24}","{""0"": 9, ""1"": 4, ""2"": 7, ""3"": 8, ""6"": 4}",1.0,1.0,0.0,1,1,0,1,31,55,1705,3,0.1,11876.08024203143,0.0017543859649122807,0.0021929824561403508
realworld_completed,web_polblogs,SASB-matched,matched,20260513,5,early,522--610,309,493ba5aca2cd6d1f67025dda9018a82625953fcd05ae3e13ee4fada568e77773,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""552"", ""253"", ""287"", ""316"", ""23"", ""46"", ""194"", ""461"", ""185"", ""447"", ""83"", ""121"", ""479"", ""286"", ""621"", ""601"", ""609"", ""24"", ""149"", ""616"", ""66"", ""324"", ""407"", ""532"", ""222"", ""454"", ""89"", ""57"", ""404"", ""509"", ""511"", ""52""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_0_1"": 2, ""degree_2"": 4, ""degree_3_4"": 1, ""degree_9_plus"": 25}","{""0"": 11, ""1"": 4, ""2"": 8, ""3"": 6, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,13,7,91,0,0.0,15324.78209091898,0.0021929824561403508,0.002631578947368421
realworld_completed,web_polblogs,SASB-matched,matched,20260513,6,early,125--232,309,1d2d3be62c335088a99404daef8b720132d7e8f206da892f5ba784a7a369f213,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""254"", ""433"", ""522"", ""324"", ""56"", ""556"", ""415"", ""316"", ""194"", ""444"", ""390"", ""625"", ""125"", ""300"", ""66"", ""96"", ""61"", ""173"", ""157"", ""77"", ""568"", ""461"", ""228"", ""469"", ""136"", ""589"", ""110"", ""97"", ""112"", ""548"", ""636"", ""456""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_0_1"": 3, ""degree_2"": 3, ""degree_3_4"": 1, ""degree_9_plus"": 25}","{""0"": 13, ""1"": 4, ""2"": 8, ""3"": 5, ""6"": 2}",1.0,1.0,0.0,1,1,0,1,30,14,420,1,0.07692307692307693,14425.397927667656,0.002631578947368421,0.0030701754385964912
realworld_completed,web_polblogs,SASB-matched,matched,20260513,7,early,173--433,309,0da78b9c2960591792e02ea0a043df54232e56d607f76ebd57110484088f6131,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""552"", ""405"", ""404"", ""342"", ""121"", ""30"", ""375"", ""536"", ""194"", ""277"", ""616"", ""629"", ""601"", ""307"", ""635"", ""124"", ""157"", ""423"", ""512"", ""148"", ""25"", ""517"", ""55"", ""119"", ""101"", ""188"", ""400"", ""640"", ""200"", ""131"", ""155"", ""29""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_2"": 5, ""degree_3_4"": 4, ""degree_5_8"": 1, ""degree_9_plus"": 22}","{""0"": 12, ""1"": 5, ""2"": 7, ""3"": 6, ""6"": 2}",1.0,1.0,0.0,1,1,0,1,38,30,1140,6,0.20689655172413793,14348.83837779593,0.0030701754385964912,0.0035087719298245615
realworld_completed,web_polblogs,SASB-matched,matched,20260513,8,early,28--351,309,75d6558ebeee339a7178eea7157356e7ceb1a1681a8b4feb2ba561479cb5ffe0,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""342"", ""444"", ""307"", ""439"", ""56"", ""85"", ""194"", ""310"", ""403"", ""232"", ""479"", ""107"", ""110"", ""460"", ""601"", ""111"", ""61"", ""157"", ""77"", ""609"", ""38"", ""536"", ""296"", ""155"", ""509"", ""119"", ""285"", ""319"", ""433"", ""144"", ""181"", ""1""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_0_1"": 1, ""degree_2"": 3, ""degree_3_4"": 3, ""degree_5_8"": 2, ""degree_9_plus"": 23}","{""0"": 10, ""1"": 5, ""2"": 10, ""3"": 5, ""6"": 2}",1.0,1.0,0.0,1,1,0,1,25,54,1350,6,0.25,19565.334123840465,0.0035087719298245615,0.003947368421052632
realworld_completed,web_polblogs,SASB-matched,matched,20260513,9,early,107--620,309,b102b2b3b99787b2de6be1f41d164b902af8aa6791c31af1474669e7de09cc8f,"theory.candidate_features(conservative, delta_mode=none)",32,32,32,"[""550"", ""221"", ""307"", ""306"", ""625"", ""121"", ""504"", ""206"", ""513"", ""589"", ""235"", ""85"", ""104"", ""454"", ""621"", ""152"", ""212"", ""125"", ""579"", ""58"", ""96"", ""416"", ""1"", ""203"", ""136"", ""257"", ""457"", ""551"", ""538"", ""168"", ""470"", ""28""]","{""matched_boundary"": 12, ""matched_community_rep"": 3, ""matched_degree_core"": 10, ""matched_random_fill"": 7}","{""degree_0_1"": 2, ""degree_2"": 4, ""degree_3_4"": 2, ""degree_5_8"": 1, ""degree_9_plus"": 23}","{""0"": 13, ""1"": 5, ""2"": 6, ""3"": 5, ""6"": 3}",1.0,1.0,0.0,1,1,0,1,33,8,264,1,0.14285714285714285,19686.996861631804,0.003947368421052632,0.0043859649122807015
