dataset,canonical_field,source_column,status
synthetic45,graph_id,graph_id,present
synthetic45,step,step,present
synthetic45,method,method,present
synthetic45,selected_edge,selected_edge,present
synthetic45,gcc_before,gcc_before,present
synthetic45,gcc_after,gcc_after,present
synthetic45,delta_gcc,delta_gcc,present
synthetic45,num_components_before,num_components_before,present
synthetic45,num_components_after,num_components_after,present
synthetic45,is_bridge_before_removal,is_bridge_before_removal,present
synthetic45,is_inter_community_edge,is_inter_community_edge,present
synthetic45,degree_u,degree_u,present
synthetic45,degree_v,degree_v,present
synthetic45,degree_product,degree_product,present
synthetic45,common_neighbors,common_neighbors,present
synthetic45,edge_embeddedness,edge_embeddedness,present
synthetic45,full_edge_betweenness_score,full_edge_betweenness_score,present
synthetic45,sampled_betweenness_score,sampled_betweenness_score,present
synthetic45,attack_phase,attack_phase,present
realworld_completed_24of28,graph_id,graph_id,present
realworld_completed_24of28,step,step,present
realworld_completed_24of28,method,method,present
realworld_completed_24of28,selected_edge,selected_edge,present
realworld_completed_24of28,gcc_before,gcc_before,present
realworld_completed_24of28,gcc_after,gcc_after,present
realworld_completed_24of28,delta_gcc,delta_gcc,present
realworld_completed_24of28,num_components_before,num_components_before,present
realworld_completed_24of28,num_components_after,num_components_after,present
realworld_completed_24of28,is_bridge_before_removal,is_bridge_before_removal,present
realworld_completed_24of28,is_inter_community_edge,is_inter_community_edge,present
realworld_completed_24of28,degree_u,degree_u,present
realworld_completed_24of28,degree_v,degree_v,present
realworld_completed_24of28,degree_product,degree_product,present
realworld_completed_24of28,common_neighbors,common_neighbors,present
realworld_completed_24of28,edge_embeddedness,edge_embeddedness,present
realworld_completed_24of28,full_edge_betweenness_score,full_edge_betweenness_score,present
realworld_completed_24of28,sampled_betweenness_score,sampled_betweenness_score,present
realworld_completed_24of28,attack_phase,attack_phase,present
