dataset_label,dataset,method,attack_phase,graph_count,selected_edges,inter_community_ratio,bridge_ratio,mean_common_neighbors,mean_edge_embeddedness,mean_min_endpoint_degree,positive_delta_gcc_rate,conditional_mean_delta_gcc,mean_num_components_after
realworld_completed_24of28,realworld_completed,M5,early,24,17762.0,0.6184879615468134,0.22601861083388242,2.924195361076411,0.23446351739101826,8.12113956039645,0.1094096128137173,0.023510557121517946,64.31102333444979
realworld_completed_24of28,realworld_completed,M5,late,24,17753.0,0.09004398015564184,0.5546585825265229,2.1212202369170385,0.39732064400109673,3.3503609345035184,0.0287638491961236,0.004133517538498507,565.6308068045703
realworld_completed_24of28,realworld_completed,M5,middle,24,17759.0,0.32943292431725685,0.3680605432304403,3.118092556086015,0.4038158767593449,5.40868867888127,0.0528333685604529,0.004724717419953735,258.31410818626716
realworld_completed_24of28,realworld_completed,SASB,early,24,17762.0,0.7887130748269217,0.18994926926567532,3.963148820792537,0.2155386481287418,10.924297275417436,0.07936678670202867,0.051820698870635014,47.04243026452179
realworld_completed_24of28,realworld_completed,SASB,late,24,17753.0,0.10149863124671094,0.5977744759774081,1.2794498103079954,0.3526129568858017,2.606671686729227,0.021990419788877696,0.004663196378072391,545.3785045010987
realworld_completed_24of28,realworld_completed,SASB,middle,24,17759.0,0.4745975298470002,0.3610427188283827,2.920158021058619,0.3434953335081444,6.591280341991399,0.036627409353601995,0.02285043352362062,218.36189939986502
synthetic45,synthetic45,M5,early,45,8450.0,0.6310841706760008,0.1018028067217372,0.2804267562200745,0.056165620582565925,5.056924075303382,0.08833925148167066,0.05636270932808908,8.680555686592088
synthetic45,synthetic45,M5,late,45,8420.0,0.18793586447654834,0.6234010662664425,0.30325669219706625,0.21099567749722506,1.7835603555817525,0.06126082131964992,0.009259087967529212,93.76875511593737
synthetic45,synthetic45,M5,middle,45,8435.0,0.5570511336641909,0.23290770507891306,0.3146699863144468,0.12643540910576428,3.540485935982078,0.11332068600333738,0.01815031692321401,33.90061672567218
synthetic45,synthetic45,SASB,early,45,8450.0,0.8260217349725198,0.05419362310968443,0.2803726496672504,0.04635460449605629,5.752466225040214,0.042066672812223024,0.16493228720140132,3.2817056953225276
synthetic45,synthetic45,SASB,late,45,8420.0,0.166505462406023,0.6759288683181659,0.28243346426376503,0.21911172489792957,1.568180113642424,0.04454098282235022,0.0071586822747351396,88.72122331576315
synthetic45,synthetic45,SASB,middle,45,8435.0,0.6594142606108352,0.22818486223877327,0.33550047469668265,0.1274699169172632,3.601837210561553,0.09871358819452045,0.025610353912565283,20.16440352421591
